# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.310
metadata : {}


# id : NWRW1800000041.310.1.1
[프리미엄 리포트]韓-칠레 FTA 10년… 농민도 정부도 틀렸다

[프리미엄	[/SS+프리미엄/NNG
리포트]韓-칠레	리포트/NNG+]/SS+韓/SH+-/SO+칠레/NNP
FTA	FTA/SL
10년…	10/SN+년/NNB+…/SE
농민도	농민/NNG+도/JX
정부도	정부/NNG+도/JX
틀렸다	틀리/VV+었/EP+다/EF


# id : NWRW1800000041.310.2.1
망할거라던 포도농가 소득 2배로… 과일농 폐업지원금 2400억 ‘헛돈’ 개선될거라던 무역적자는 4배로… 지나친 비관-낙관 모두 허상 판명

망할거라던	망하/VV+ㄹ/ETM+거/NNB+이/VCP+라던/ETM
포도농가	포도/NNG+농가/NNG
소득	소득/NNG
2배로…	2/SN+배/NNG+로/JKB+…/SE
과일농	과일농/NNG
폐업지원금	폐업/NNG+지원금/NNG
2400억	2400/SN+억/NR
‘헛돈’	‘/SS+헛/XPN+돈/NNG+’/SS
개선될거라던	개선/NNG+되/XSV+ㄹ/ETM+거/NNB+이/VCP+라던/ETM
무역적자는	무역/NNG+적자/NNG+는/JX
4배로…	4/SN+배/NNG+로/JKB+…/SE
지나친	지나치/VA+ㄴ/ETM
비관-낙관	비관/NNG+-/SO+낙관/NNG
모두	모두/MAG
허상	허상/NNG
판명	판명/NNG


# id : NWRW1800000041.310.3.1
노무현 정부 첫해였던 2003년 전국 곳곳은 농민시위로 몸살을 앓았다.

노무현	노무현/NNP
정부	정부/NNG
첫해였던	첫해/NNG+이/VCP+었/EP+던/ETM
2003년	2003/SN+년/NNB
전국	전국/NNG
곳곳은	곳곳/NNG+은/JX
농민시위로	농민/NNG+시위/NNG+로/JKB
몸살을	몸살/NNG+을/JKO
앓았다.	앓/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.310.3.2
그해 2월 한-칠레 자유무역협정(FTA) 합의문서에 양국이 공식 서명한 뒤 농민들이 “국내 농가가 공멸할 것”이라며 거리로 나선 것이었다.

그해	그해/NNG
2월	2/SN+월/NNB
한-칠레	한/NNP+-/SO+칠레/NNP
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
합의문서에	합의/NNG+문서/NNG+에/JKB
양국이	양국/NNG+이/JKS
공식	공식/NNG
서명한	서명/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
농민들이	농민/NNG+들/XSN+이/JKS
“국내	“/SS+국내/NNG
농가가	농가/NNG+가/JKS
공멸할	공멸/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
거리로	거리/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.310.4.1
정부는 FTA의 경제적 효과를 내세워 반대 여론 잠재우기에 나섰다.

정부는	정부/NNG+는/JX
FTA의	FTA/SL+의/JKG
경제적	경제/NNG+적/XSN
효과를	효과/NNG+를/JKO
내세워	내세우/VV+어/EC
반대	반대/NNG
여론	여론/NNG
잠재우기에	잠재우/VV+기/ETN+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.310.4.2
국내 포도 성수기인 5∼10월에는 관세를 45%로 유지하는 ‘계절 관세’를 칠레산 포도에 적용하기로 했지만 성난 농심을 달래기엔 역부족이었다.

국내	국내/NNG
포도	포도/NNG
성수기인	성수기/NNG+이/VCP+ㄴ/ETM
5∼10월에는	5/SN+∼/SO+10/SN+월/NNB+에/JKB+는/JX
관세를	관세/NNG+를/JKO
45%로	45/SN+%/SW+로/JKB
유지하는	유지/NNG+하/XSV+는/ETM
‘계절	‘/SS+계절/NNG
관세’를	관세/NNG+’/SS+를/JKO
칠레산	칠레/NNP+산/XSN
포도에	포도/NNG+에/JKB
적용하기로	적용/NNG+하/XSV+기/ETN+로/JKB
했지만	하/VV+았/EP+지만/EC
성난	성나/VV+ㄴ/ETM
농심을	농심/NNG+을/JKO
달래기엔	달래/VV+기/ETN+에/JKB+ㄴ/JX
