# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.109
metadata : {}


# id : NWRW1800000033.109.1.1
[에너지 기업]독일 태양광 업체 인수 세계 3대 회사로 발돋음

[에너지	[/SS+에너지/NNG
기업]독일	기업/NNG+]/SS+독일/NNP
태양광	태양광/NNG
업체	업체/NNG
인수	인수/NNG
세계	세계/NNG
3대	3/SN+대/NNG
회사로	회사/NNG+로/JKB
발돋음	발돋음/NNG


# id : NWRW1800000033.109.2.1
한화그룹은 8월 세계적인 태양광 업체인 독일의 큐셀을 인수하며 세계 3대 태양광 전문회사로 발돋움했다.

한화그룹은	한화그룹/NNP+은/JX
8월	8/SN+월/NNB
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
태양광	태양광/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
독일의	독일/NNP+의/JKG
큐셀을	큐셀/NNP+을/JKO
인수하며	인수/NNG+하/XSV+며/EC
세계	세계/NNG
3대	3/SN+대/NNG
전문회사로	전문/NNG+회사/NNG+로/JKB
발돋움했다.	발돋움/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.109.2.2
기존 한화솔라원 중국 공장의 연간 생산능력(1.3GW)에 한화큐셀의 독일공장(200MW), 말레이시아 공장(800MW)까지 더해 한화그룹은 연간 2.3GW의 셀 생산능력을 갖추게 됐다.

기존	기존/NNG
한화솔라원	한화솔라원/NNP
중국	중국/NNP
공장의	공장/NNG+의/JKG
연간	연간/NNG
생산능력(1.3GW)에	생산/NNG+능력/NNG+(/SS+1/SN+./SP+3/SN+GW/SW+)/SS+에/JKB
한화큐셀의	한화큐셀/NNP+의/JKG
독일공장(200MW),	독일/NNP+공장/NNG+(/SS+200/SN+MW/SW+)/SS+,/SP
말레이시아	말레이시아/NNP
공장(800MW)까지	공장/NNG+(/SS+800/SN+MW/SW+)/SS+까지/JX
더해	더/MAG+하/XSV+아/EC
한화그룹은	한화그룹/NNP+은/JX
2.3GW의	2/SN+./SP+3/SN+GW/SW+의/JKG
셀	셀/NNG
생산능력을	생산/NNG+능력/NNG+을/JKO
갖추게	갖추/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.109.3.1
큐셀 인수효과는 단순히 생산력 강화에 그치지 않는다.

큐셀	큐셀/NNP
인수효과는	인수/NNG+효과/NNG+는/JX
단순히	단순히/MAG
생산력	생산력/NNG
강화에	강화/NNG+에/JKB
그치지	그치/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000033.109.3.2
중국 한 곳에 그쳤던 생산기지가 동남아시아, 유럽 등으로 다양해지면서 중국산 셀에 대한 반(反)덤핑 규제를 자연스럽게 피할 수 있게 된 것이다.

중국	중국/NNP
한	한/MMN
곳에	곳/NNG+에/JKB
그쳤던	그치/VV+었/EP+던/ETM
생산기지가	생산/NNG+기지/NNG+가/JKS
동남아시아,	동남아시아/NNP+,/SP
유럽	유럽/NNP
등으로	등/NNB+으로/JKB
다양해지면서	다양/NNG+하/XSA+아/EC+지/VX+면서/EC
