# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.327
metadata : {}


# id : NWRW1800000037.327.1.1
임원들보다 과장님 더 챙기는 CEO

임원들보다	임원/NNG+들/XSN+보다/JKB
과장님	과장/NNG+님/XSN
더	더/MAG
챙기는	챙기/VV+는/ETM
CEO	CEO/SL


# id : NWRW1800000037.327.2.1
구자균 LS산전 부회장, 3년째 과장 승진자 가족 초청 축하행사

구자균	구자균/NNP
LS산전	LS산전/NNP
부회장,	부회장/NNG+,/SP
3년째	3/SN+년/NNB+째/XSN
과장	과장/NNG
승진자	승진자/NNG
가족	가족/NNG
초청	초청/NNG
축하행사	축하/NNG+행사/NNG


# id : NWRW1800000037.327.3.1
“새로운 업무방식과 아이디어를 개발하고, 후배들도 이끌어야 하는 과장 자리에 오른 것을 진심으로 축하합니다.

“새로운	“/SS+새롭/VA+ㄴ/ETM
업무방식과	업무/NNG+방식/NNG+과/JC
아이디어를	아이디어/NNG+를/JKO
개발하고,	개발/NNG+하/XSV+고/EC+,/SP
후배들도	후배/NNG+들/XSN+도/JX
이끌어야	이끌/VV+어야/EC
하는	하/VX+는/ETM
과장	과장/NNG
자리에	자리/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
것을	것/NNB+을/JKO
진심으로	진심/NNG+으로/JKB
축하합니다.	축하/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000037.327.3.2
조금은 벅찰 수 있는 비현실적인 목표를 세우고, 상대방의 입장에서 소통해 주십시오.”

조금은	조금/NNG+은/JX
벅찰	벅차/VA+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
비현실적인	비/XPN+현실/NNG+적/XSN+이/VCP+ㄴ/ETM
목표를	목표/NNG+를/JKO
세우고,	세우/VV+고/EC+,/SP
상대방의	상대방/NNG+의/JKG
입장에서	입장/NNG+에서/JKB
소통해	소통/NNG+하/XSV+아/EC
주십시오.”	주/VX+시/EP+ㅂ시오/EF+./SF+”/SS


# id : NWRW1800000037.327.4.1
구자균 LS산전 부회장(56)이 6일 서울 중구 소공동 롯데호텔에서 올해 과장으로 승진한 직원들을 대상으로 축하행사를 열고 “직장에서나 가정에서나 인정받고 존경받는 리더가 돼 달라”며 이같이 당부했다.

구자균	구자균/NNP
LS산전	LS산전/NNP
부회장(56)이	부회장/NNG+(/SS+56/SN+)/SS+이/JKS
6일	6/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
소공동	소공동/NNP
롯데호텔에서	롯데호텔/NNP+에서/JKB
올해	올해/NNG
과장으로	과장/NNG+으로/JKB
승진한	승진/NNG+하/XSV+ㄴ/ETM
직원들을	직원/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
축하행사를	축하/NNG+행사/NNG+를/JKO
열고	열/VV+고/EC
“직장에서나	“/SS+직장/NNG+에서/JKB+나/JX
가정에서나	가정/NNG+에서/JKB+나/JX
인정받고	인정/NNG+받/XSV+고/EC
존경받는	존경/NNG+받/XSV+는/ETM
리더가	리더/NNG+가/JKC
돼	되/VV+어/EC
달라”며	달/VX+라/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.327.5.1
대부분의 기업은 진급 축하행사를 할 때 임원들을 초청한다.

대부분의	대/XPN+부분/NNG+의/JKG
기업은	기업/NNG+은/JX
진급	진급/NNG
축하행사를	축하/NNG+행사/NNG+를/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
임원들을	임원/NNG+들/XSN+을/JKO
초청한다.	초청/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.327.5.2
하지만 구 부회장은 실무를 맡는 30, 40대 ‘젊은 피’가 중요하다고 여겨 2011년부터 매년 이 같은 행사를 열고 있다.

하지만	하지만/MAJ
구	구/NNP
부회장은	부회장/NNG+은/JX
실무를	실무/NNG+를/JKO
맡는	맡/VV+는/ETM
30,	30/SN+,/SP
40대	40/SN+대/NNB
‘젊은	‘/SS+젊/VA+은/ETM
피’가	피/NNG+’/SS+가/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
여겨	여기/VV+어/EC
2011년부터	2011/SN+년/NNB+부터/JX
매년	매년/MAG
이	이/MMD
같은	같/VA+은/ETM
행사를	행사/NNG+를/JKO
열고	열/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.327.5.3
올해 행사의 주인공은 전국 사업장의 과장 승진자 67명과 그들의 가족이었다.

올해	올해/NNG
행사의	행사/NNG+의/JKG
주인공은	주인공/NNG+은/JX
전국	전국/NNG
사업장의	사업장/NNG+의/JKG
과장	과장/NNG
승진자	승진자/NNG
67명과	67/SN+명/NNB+과/JC
그들의	그/NP+들/XSN+의/JKG
가족이었다.	가족/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.327.5.4
구 부회장 외에 김원일 전무, 박해룡 이사 등 임원들도 부부 동반으로 참석해 후배들을 축하했다.

구	구/NNP
부회장	부회장/NNG
외에	외/NNB+에/JKB
김원일	김원일/NNP
전무,	전무/NNG+,/SP
박해룡	박해룡/NNP
이사	이사/NNG
등	등/NNB
임원들도	임원/NNG+들/XSN+도/JX
부부	부부/NNG
동반으로	동반/NNG+으로/JKB
참석해	참석/NNG+하/XSV+아/EC
후배들을	후배/NNG+들/XSN+을/JKO
축하했다.	축하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.327.6.1
유하나 교육문화팀 과장(34·여)은 “승진한 것도 기쁜데 가족까지 초청해 축하해 주니 기쁨이 배가 됐다”며 “LS산전이 글로벌 1등 기업이 되도록 더욱 노력하겠다”고 말했다.

유하나	유하나/NNP
교육문화팀	교육/NNG+문화/NNG+팀/NNG
과장(34·여)은	과장/NNG+(/SS+34/SN+·/SP+여/NNG+)/SS+은/JX
“승진한	“/SS+승진/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
기쁜데	기쁘/VA+ㄴ데/EC
가족까지	가족/NNG+까지/JX
초청해	초청/NNG+하/XSV+아/EC
축하해	축하/NNG+하/XSV+아/EC
주니	주/VX+니/EC
기쁨이	기쁨/NNG+이/JKS
배가	배/NNG+가/JKS
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“LS산전이	“/SS+LS산전/NNP+이/JKS
글로벌	글로벌/NNG
1등	1/SN+등/NNB
기업이	기업/NNG+이/JKC
되도록	되/VV+도록/EC
더욱	더욱/MAG
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.327.7.1
구 부회장은 축사에서 “언더스탠드(understand)라는 영어 단어를 떼어 놓고 보면 ‘아래에(under)’, ‘선다(stand)’는 뜻”이라며 “상대의 아래에 서서 많이 듣고 적게 말하면 가장 이상적인 방식의 이해와 소통을 경험할 수 있다”고 강조했다.

구	구/NNP
부회장은	부회장/NNG+은/JX
축사에서	축사/NNG+에서/JKB
“언더스탠드(understand)라는	“/SS+언더스탠드/NNG+(/SS+understand/SL+)/SS+이/VCP+라는/ETM
영어	영어/NNP
단어를	단어/NNG+를/JKO
떼어	떼/VV+어/EC
놓고	놓/VX+고/EC
보면	보/VX+면/EC
‘아래에(under)’,	‘/SS+아래/NNG+에/JKB+(/SS+under/SL+)/SS+’/SS+,/SP
‘선다(stand)’는	‘/SS+서/VV+ㄴ다/EF+(/SS+stand/SL+)/SS+’/SS+는/JX
뜻”이라며	뜻/NNG+”/SS+이/VCP+라며/EC
“상대의	“/SS+상대/NNG+의/JKG
아래에	아래/NNG+에/JKB
서서	서/VV+어서/EC
많이	많이/MAG
듣고	듣/VV+고/EC
적게	적/VA+게/EC
말하면	말/NNG+하/XSV+면/EC
가장	가장/MAG
