# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.99
metadata : {}


# id : NWRW1800000024.99.1.1
국민연금, 주식투자허용 범위 늘려

국민연금,	국민연금/NNG+,/SP
주식투자허용	주식/NNG+투자/NNG+허용/NNG
범위	범위/NNG
늘려	늘리/VV+어/EF


# id : NWRW1800000024.99.2.1
국민연금기금이 국내외 주식이나 채권에 더 많이 투자할 수 있게 된다.

국민연금기금이	국민연금/NNG+기금/NNG+이/JKS
국내외	국내외/NNG
주식이나	주식/NNG+이나/JC
채권에	채권/NNG+에/JKB
더	더/MAG
많이	많이/MAG
투자할	투자/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.99.3.1
보건복지가족부는 25일 서울의 한 호텔에서 전재희 장관 주재로 국민연금기금운용위원회를 열어 국민연금 기금의 국내 주식 투자 목표 비율의 변동 범위를 현재 ±5%포인트에서 ±7%포인트로 확대하는 기금운용계획 변경안을 의결했다고 밝혔다.

보건복지가족부는	보건/NNG+복지/NNG+가족부/NNG+는/JX
25일	25/SN+일/NNB
서울의	서울/NNP+의/JKG
한	한/MMN
호텔에서	호텔/NNG+에서/JKB
전재희	전재희/NNP
장관	장관/NNG
주재로	주재/NNG+로/JKB
국민연금기금운용위원회를	국민연금/NNG+기금/NNG+운용/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
국민연금	국민연금/NNG
기금의	기금/NNG+의/JKG
국내	국내/NNG
주식	주식/NNG
투자	투자/NNG
목표	목표/NNG
비율의	비율/NNG+의/JKG
변동	변동/NNG
범위를	범위/NNG+를/JKO
현재	현재/MAG
±5%포인트에서	±/SW+5/SN+%포인트/NNG+에서/JKB
±7%포인트로	±/SW+7/SN+%포인트/NNG+로/JKB
확대하는	확대/NNG+하/XSV+는/ETM
기금운용계획	기금/NNG+운용/NNG+계획/NNG
변경안을	변경안/NNG+을/JKO
의결했다고	의결/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.99.3.2
이에 따라 연금기금의 주식 투자 목표 비율은 기존 12~22%에서 10~24%로 확대된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
연금기금의	연금/NNG+기금/NNG+의/JKG
주식	주식/NNG
투자	투자/NNG
목표	목표/NNG
비율은	비율/NNG+은/JX
기존	기존/NNG
12~22%에서	12/SN+~/SO+22/SN+%/SW+에서/JKB
10~24%로	10/SN+~/SO+24/SN+%/SW+로/JKB
확대된다.	확대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.99.3.3
채권 투자 허용 범위는 기존 ±10%포인트에서 ±13%포인트로 넓어졌다.

채권	채권/NNG
투자	투자/NNG
허용	허용/NNG
범위는	범위/NNG+는/JX
기존	기존/NNG
±10%포인트에서	±/SW+10/SN+%포인트/NNG+에서/JKB
±13%포인트로	±/SW+13/SN+%포인트/NNG+로/JKB
넓어졌다.	넓어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.99.3.4
국외 주식에 대한 투자 허용 범위는 기존 ±1.5%포인트에서 ±2.5%포인트로 확대했다.

국외	국외/NNG
주식에	주식/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
투자	투자/NNG
허용	허용/NNG
범위는	범위/NNG+는/JX
기존	기존/NNG
±1.5%포인트에서	±/SW+1/SN+./SP+5/SN+%포인트/NNG+에서/JKB
±2.5%포인트로	±/SW+2/SN+./SP+5/SN+%포인트/NNG+로/JKB
확대했다.	확대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.99.4.1
현재 국민연금 기금의 자산별 투자 목표 비중은 국내 주식 17%, 해외 주식 3.6%, 국내 채권 69.3%, 해외 채권 4.1%, 대체투자 6.0%이다.

현재	현재/MAG
국민연금	국민연금/NNG
기금의	기금/NNG+의/JKG
자산별	자산/NNG+별/XSN
투자	투자/NNG
목표	목표/NNG
비중은	비중/NNG+은/JX
국내	국내/NNG
주식	주식/NNG
17%,	17/SN+%/SW+,/SP
해외	해외/NNG
3.6%,	3/SN+./SP+6/SN+%/SW+,/SP
채권	채권/NNG
69.3%,	69/SN+./SP+3/SN+%/SW+,/SP
4.1%,	4/SN+./SP+1/SN+%/SW+,/SP
대체투자	대체/NNG+투자/NNG
6.0%이다.	6/SN+./SP+0/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000024.99.5.1
현대증권 배성영 수석연구원은 “시장 상황에 따라 좀더 탄력적으로 기금을 운용하겠다는 정도의 의미로 보인다”며 “주가지수가 많이 내려가 지난해와 같은 금액을 투자하더라도 보유 주식수는 늘게 되는 상황이어서, 주식시장에 큰 영향을 주지는 않을 것 같다”고 말했다.

현대증권	현대증권/NNP
배성영	배성영/NNP
수석연구원은	수석/NNG+연구원/NNG+은/JX
“시장	“/SS+시장/NNG
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
좀더	좀/MAG+더/MAG
탄력적으로	탄력/NNG+적/XSN+으로/JKB
기금을	기금/NNG+을/JKO
운용하겠다는	운용/NNG+하/XSV+겠/EP+다는/ETM
정도의	정도/NNG+의/JKG
의미로	의미/NNG+로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“주가지수가	“/SS+주가/NNG+지수/NNG+가/JKS
많이	많이/MAG
내려가	내려가/VV+아/EC
지난해와	지난해/NNG+와/JKB
같은	같/VA+은/ETM
금액을	금액/NNG+을/JKO
투자하더라도	투자/NNG+하/XSV+더라도/EC
보유	보유/NNG
주식수는	주식/NNG+수/NNG+는/JX
늘게	늘/VV+게/EC
되는	되/VV+는/ETM
상황이어서,	상황/NNG+이/VCP+어서/EC+,/SP
주식시장에	주식/NNG+시장/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
주지는	주/VV+지/EC+는/JX
않을	않/VX+을/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.99.6.1
