# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.211
metadata : {}


# id : NWRW1800000041.211.1.1
2013년 잘못 거둔 세금 3조… 이자만 1500억 돌려줘

2013년	2013/SN+년/NNB
잘못	잘못/MAG
거둔	거두/VV+ㄴ/ETM
세금	세금/NNG
3조…	3/SN+조/NR+…/SE
이자만	이자/NNG+만/JX
1500억	1500/SN+억/NR
돌려줘	돌려주/VV+어/EF


# id : NWRW1800000041.211.2.1
국세청 집계… 안찾아간 환급금 544억

국세청	국세청/NNG
집계…	집계/NNG+…/SE
안찾아간	안/MAG+찾아가/VV+ㄴ/ETM
환급금	환급금/NNG
544억	544/SN+억/NR


# id : NWRW1800000041.211.3.1
지난해 국세청이 세금을 잘못 부과해 납세자에게 돌려주면서 이자로 지급한 금액이 1500억 원에 육박한 것으로 나타났다.

지난해	지난해/NNG
국세청이	국세청/NNG+이/JKS
세금을	세금/NNG+을/JKO
잘못	잘못/MAG
부과해	부과/NNG+하/XSV+아/EC
납세자에게	납세자/NNG+에게/JKB
돌려주면서	돌려주/VV+면서/EC
이자로	이자/NNG+로/JKB
지급한	지급/NNG+하/XSV+ㄴ/ETM
금액이	금액/NNG+이/JKS
1500억	1500/SN+억/NR
원에	원/NNB+에/JKB
육박한	육박/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.211.4.1
24일 국세청에 따르면 지난해 납세 불복에 따른 국세환급가산금은 1492억 원으로 전체 환급 가산금(2973억 원)의 50.2%를 차지했다.

24일	24/SN+일/NNB
국세청에	국세청/NNG+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
납세	납세/NNG
불복에	불복/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
국세환급가산금은	국세/NNG+환급/NNG+가산금/NNG+은/JX
1492억	1492/SN+억/NR
원으로	원/NNB+으로/JKB
전체	전체/NNG
환급	환급/NNG
가산금(2973억	가산금/NNG+(/SS+2973/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
50.2%를	50/SN+./SP+2/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.211.5.1
국세청은 세금을 잘못 부과하거나 납세자가 실수 등으로 세금을 더 낸 경우 세액 원금과 함께 그에 따른 이자를 함께 지급하고 있다.

국세청은	국세청/NNG+은/JX
세금을	세금/NNG+을/JKO
잘못	잘못/MAG
부과하거나	부과/NNG+하/XSV+거나/EC
납세자가	납세자/NNG+가/JKS
실수	실수/NNG
등으로	등/NNB+으로/JKB
더	더/MAG
낸	내/VV+ㄴ/ETM
경우	경우/NNG
세액	세액/NNG
원금과	원금/NNG+과/JKB
함께	함께/MAG
그에	그/NP+에/JKB
따른	따르/VV+ㄴ/ETM
이자를	이자/NNG+를/JKO
지급하고	지급/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.211.5.2
환급가산금 중에 납세자 착오납부 등에 의한 가산금은 1095억 원, 세법 변경 등에 따른 가산금은 385억 원에 이르렀다.

환급가산금	환급/NNG+가산금/NNG
중에	중/NNB+에/JKB
납세자	납세자/NNG
착오납부	착오/NNG+납부/NNG
등에	등/NNB+에/JKB
의한	의하/VV+ㄴ/ETM
가산금은	가산금/NNG+은/JX
1095억	1095/SN+억/NR
원,	원/NNB+,/SP
세법	세법/NNG
변경	변경/NNG
따른	따르/VV+ㄴ/ETM
385억	385/SN+억/NR
원에	원/NNB+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.211.6.1
환급가산금이 늘어난 것은 잘못 거둔 세금이 많았기 때문이다.

환급가산금이	환급/NNG+가산금/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
것은	것/NNB+은/JX
잘못	잘못/MAG
거둔	거두/VV+ㄴ/ETM
세금이	세금/NNG+이/JKS
많았기	많/VA+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.211.6.2
지난해 국세청이 납세자에게 잘못 거뒀다가 돌려준 규모는 3조336억 원으로, 이전 최대치였던 2011년(2조9409억 원)보다 927억 원 늘어났다.

지난해	지난해/NNG
국세청이	국세청/NNG+이/JKS
납세자에게	납세자/NNG+에게/JKB
잘못	잘못/MAG
거뒀다가	거두/VV+었/EP+다가/EC
돌려준	돌려주/VV+ㄴ/ETM
규모는	규모/NNG+는/JX
3조336억	3/SN+조/NR+336/SN+억/NR
원으로,	원/NNB+으로/JKB+,/SP
이전	이전/NNG
최대치였던	최대/NNG+치/XSN+이/VCP+었/EP+던/ETM
2011년(2조9409억	2011/SN+년/NNB+(/SS+2/SN+조/NR+9409/SN+억/NR
원)보다	원/NNB+)/SS+보다/JKB
927억	927/SN+억/NR
원	원/NNB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.211.7.1
이를 포함한 전체 국세환급액은 △2011년 60조5250억 원 △2012년 61조7469억 원 △2013년 64조7745억 원 등으로 매년 증가 추세에 있다.

이를	이/NP+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
전체	전체/NNG
국세환급액은	국세/NNG+환급액/NNG+은/JX
△2011년	△/SW+2011/SN+년/NNB
60조5250억	60/SN+조/NR+5250/SN+억/NR
원	원/NNB
△2012년	△/SW+2012/SN+년/NNB
61조7469억	61/SN+조/NR+7469/SN+억/NR
△2013년	△/SW+2013/SN+년/NNB
64조7745억	64/SN+조/NR+7745/SN+억/NR
등으로	등/NNB+으로/JKB
매년	매년/MAG
증가	증가/NNG
추세에	추세/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.211.7.2
국세청 측은 “환급액 중 상당 규모는 납세자의 과·오납으로 발생한다”고 설명했다.

국세청	국세청/NNG
