# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.27
metadata : {}


# id : NWRW1800000046.27.1.1
[who] "마윈, 난 당신을 믿었는데"… 7000억원 날린 中 여배우

[who]	[/SS+who/SL+]/SS
"마윈,	"/SS+마윈/NNP+,/SP
난	나/NP+ㄴ/JX
당신을	당신/NP+을/JKO
믿었는데"…	믿/VV+었/EP+는데/EC+"/SS+…/SE
7000억원	7000/SN+억/NR+원/NNB
날린	날리/VV+ㄴ/ETM
中	中/SH
여배우	여배우/NNG


# id : NWRW1800000046.27.2.1
'연예계의 버핏' 자오웨이… 절친 마윈 조언 듣고 투자, 中 주가 폭락 직격탄 맞아

'연예계의	'/SS+연예/NNG+계/XSN+의/JKG
버핏'	버핏/NNP+'/SS
자오웨이…	자오웨이/NNP+…/SE
절친	절친/NNG
마윈	마윈/NNP
조언	조언/NNG
듣고	듣/VV+고/EC
투자,	투자/NNG+,/SP
中	中/SH
주가	주가/NNG
폭락	폭락/NNG
직격탄	직격탄/NNG
맞아	맞/VV+아/EF


# id : NWRW1800000046.27.3.1
중국 정상급 여배우 자오웨이(趙薇·39)가 '절친'마윈(馬雲·51) 알리바바그룹 회장 말만 믿고 주식에 거액을 투자했다가 한 달 새 7000억원 이상을 날렸다고 중국 언론이 9일 보도했다.

중국	중국/NNP
정상급	정상급/NNG
여배우	여배우/NNG
자오웨이(趙薇·39)가	자오웨이/NNP+(/SS+趙薇/SH+·/SP+39/SN+)/SS+가/JKS
'절친'마윈(馬雲·51)	'/SS+절친/NNG+'/SS+마윈/NNP+(/SS+馬雲/SH+·/SP+51/SN+)/SS
알리바바그룹	알리바바그룹/NNP
회장	회장/NNG
말만	말/NNG+만/JX
믿고	믿/VV+고/EC
주식에	주식/NNG+에/JKB
거액을	거액/NNG+을/JKO
투자했다가	투자/NNG+하/XSV+았/EP+다가/EC
한	한/MMN
달	달/NNB
새	새/NNG
7000억원	7000/SN+억/NR+원/NNB
이상을	이상/NNG+을/JKO
날렸다고	날리/VV+었/EP+다고/EC
언론이	언론/NNG+이/JKS
9일	9/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.27.4.1
자오웨이는 마윈의 조언을 받아 지난해부터 남편과 함께 회사 3곳에 투자했지만 중국 주가 폭락의 직격탄을 맞았다.

자오웨이는	자오웨이/NNP+는/JX
마윈의	마윈/NNP+의/JKG
조언을	조언/NNG+을/JKO
받아	받/VV+아/EC
지난해부터	지난해/NNG+부터/JX
남편과	남편/NNG+과/JKB
함께	함께/MAG
회사	회사/NNG
3곳에	3/SN+곳/NNG+에/JKB
투자했지만	투자/NNG+하/XSV+았/EP+지만/EC
중국	중국/NNP
주가	주가/NNG
폭락의	폭락/NNG+의/JKG
직격탄을	직격탄/NNG+을/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.27.4.2
지난해 12월 마윈이 대주주인 홍콩 '알리바바 필름'에 31억홍콩달러(4515억원)를 투자했으나 주가가 70% 가까이 떨어지면서 지난 8일 14억7300만홍콩달러(2151억원)의 손해를 입었다.

지난해	지난해/NNG
12월	12/SN+월/NNB
마윈이	마윈/NNP+이/JKS
대주주인	대/XPN+주주/NNG+이/VCP+ㄴ/ETM
홍콩	홍콩/NNP
'알리바바	'/SS+알리바바/NNP
필름'에	필름/NNP+'/SS+에/JKB
31억홍콩달러(4515억원)를	31/SN+억/NR+홍콩/NNP+달러/NNG+(/SS+4515/SN+억/NR+원/NNB+)/SS+를/JKO
투자했으나	투자/NNG+하/XSV+았/EP+으나/EC
주가가	주가/NNG+가/JKS
70%	70/SN+%/SW
가까이	가까이/MAG
떨어지면서	떨어지/VV+면서/EC
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
14억7300만홍콩달러(2151억원)의	14/SN+억/NR+7300/SN+만/NR+홍콩/NNP+달러/NNG+(/SS+2151/SN+억/NR+원/NNB+)/SS+의/JKG
손해를	손해/NNG+를/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.27.4.3
올해 2월 117만주를 사들인 저장(浙江) '탕더(唐德)영화미디어' 주식은 반값으로 떨어져 1억1000만위안(200억원)을 날렸다.

올해	올해/NNG
2월	2/SN+월/NNB
117만주를	117/SN+만/NR+주/NNG+를/JKO
사들인	사들이/VV+ㄴ/ETM
저장(浙江)	저장/NNP+(/SS+浙江/SH+)/SS
'탕더(唐德)영화미디어'	'/SS+탕더/NNP+(/SS+唐德/SH+)/SS+영화/NNG+미디어/NNG+'/SS
주식은	주식/NNG+은/JX
반값으로	반값/NNG+으로/JKB
떨어져	떨어지/VV+어/EC
1억1000만위안(200억원)을	1/SN+억/NR+1000/SN+만/NR+위안/NNB+(/SS+200/SN+억/NR+원/NNB+)/SS+을/JKO
날렸다.	날리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.27.4.4
5월 8일 마윈을 따라 3억6000만주를 사들인 홍콩 금융회사 '루이둥(瑞東)그룹' 주식은 주가가 45% 이상 폭락해 가장 많은 21억6000만홍콩달러(3154억원)를 손해 봤다.

5월	5/SN+월/NNB
8일	8/SN+일/NNB
마윈을	마윈/NNP+을/JKO
따라	따르/VV+아/EC
3억6000만주를	3/SN+억/NR+6000/SN+만/NR+주/NNG+를/JKO
사들인	사들이/VV+ㄴ/ETM
홍콩	홍콩/NNP
금융회사	금융/NNG+회사/NNG
'루이둥(瑞東)그룹'	'/SS+루이둥/NNP+(/SS+瑞東/SH+)/SS+그룹/NNG+'/SS
주식은	주식/NNG+은/JX
주가가	주가/NNG+가/JKS
45%	45/SN+%/SW
이상	이상/NNG
폭락해	폭락/NNG+하/XSV+아/EC
가장	가장/MAG
많은	많/VA+은/ETM
21억6000만홍콩달러(3154억원)를	21/SN+억/NR+6000/SN+만/NR+홍콩/NNP+달러/NNG+(/SS+3154/SN+억/NR+원/NNB+)/SS+를/JKO
손해	손해/NNG
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.27.4.5
이 주식을 살 때만 해도 자오는 평가 수익 74억3000만홍콩달러(1조800억원)를 기록하며 '연예계의 워런 버핏'으로 대서특필됐었다.

이	이/MMD
주식을	주식/NNG+을/JKO
살	사/VV+ㄹ/ETM
때만	때/NNG+만/JX
해도	하/VV+아도/EC
자오는	자오/NNP+는/JX
평가	평가/NNG
수익	수익/NNG
