# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.374
metadata : {}


# id : NWRW1800000041.374.1.1
[수도권]서울, 설 연휴 고속-시외버스 32% 증편

[수도권]서울,	[/SS+수도/NNG+권/XSN+]/SS+서울/NNP+,/SP
설	설/NNG
연휴	연휴/NNG
고속-시외버스	고속/NNG+-/SO+시외버스/NNG
32%	32/SN+%/SW
증편	증편/NNG


# id : NWRW1800000041.374.2.1
버스-지하철 새벽 2시까지 연장… 시립묘지 경유 버스 운행도 늘려

버스-지하철	버스/NNG+-/SO+지하철/NNG
새벽	새벽/NNG
2시까지	2/SN+시/NNB+까지/JX
연장…	연장/NNG+…/SE
시립묘지	시립/NNG+묘지/NNG
경유	경유/NNG
버스	버스/NNG
운행도	운행/NNG+도/JX
늘려	늘리/VV+어/EF


# id : NWRW1800000041.374.3.1
서울시가 설 연휴 기간에 고속·시외버스를 증편해 운행한다.

서울시가	서울시/NNP+가/JKS
설	설/NNG
연휴	연휴/NNG
기간에	기간/NNG+에/JKB
고속·시외버스를	고속/NNG+·/SP+시외버스/NNG+를/JKO
증편해	증편/NNG+하/XSV+아/EC
운행한다.	운행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.374.3.2
귀경 편의를 위해 시내버스 및 지하철 운행도 오전 2시까지 연장한다.

귀경	귀경/NNG
편의를	편의/NNG+를/JKO
위해	위하/VV+아/EC
시내버스	시내버스/NNG
및	및/MAG
지하철	지하철/NNG
운행도	운행/NNG+도/JX
오전	오전/NNG
2시까지	2/SN+시/NNB+까지/JX
연장한다.	연장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.374.3.3
시는 24일부터 다음 달 3일까지 이 같은 내용의 ‘설날 7대 특별 종합 대책’을 운영한다고 21일 밝혔다.

시는	시/NNG+는/JX
24일부터	24/SN+일/NNB+부터/JX
다음	다음/NNG
달	달/NNG
3일까지	3/SN+일/NNB+까지/JX
이	이/NP
같은	같/VA+은/ETM
내용의	내용/NNG+의/JKG
‘설날	‘/SS+설날/NNG
7대	7/SN+대/NNG
특별	특별/NNG
종합	종합/NNG
대책’을	대책/NNG+’/SS+을/JKO
운영한다고	운영/NNG+하/XSV+ㄴ다고/EC
21일	21/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.374.4.1
고속·시외버스는 29일부터 2월 2일까지 평상시(4820회)보다 32% 늘려 6364회 운행한다.

고속·시외버스는	고속/NNG+·/SP+시외버스/NNG+는/JX
29일부터	29/SN+일/NNB+부터/JX
2월	2/SN+월/NNB
2일까지	2/SN+일/NNB+까지/JX
평상시(4820회)보다	평상시/NNG+(/SS+4820/SN+회/NNB+)/SS+보다/JKB
32%	32/SN+%/SW
늘려	늘리/VV+어/EC
6364회	6364/SN+회/NNB
운행한다.	운행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.374.4.2
경부고속도로 버스전용차로는 29일∼2월 1일 오전 7시부터 다음 날 오전 1시까지로 연장한다.

경부고속도로	경부고속도로/NNP
버스전용차로는	버스/NNG+전용/NNG+차로/NNG+는/JX
29일∼2월	29/SN+일/NNB+∼/SO+2/SN+월/NNB
1일	1/SN+일/NNB
오전	오전/NNG
7시부터	7/SN+시/NNB+부터/JX
다음	다음/NNG
날	날/NNG
1시까지로	1/SN+시/NNB+까지/JX+로/JKB
연장한다.	연장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.374.4.3
귀경 인파가 집중될 것으로 보이는 31일∼2월 1일에는 주요 기차역과 터미널을 경유하는 시내버스(막차 출발 시간 기준)와 서울 지하철(종점 도착 시간 기준)이 다음 날 오전 2시까지 연장 운행된다.

귀경	귀경/NNG
인파가	인파/NNG+가/JKS
집중될	집중/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보이는	보이/VV+는/ETM
31일∼2월	31/SN+일/NNB+∼/SO+2/SN+월/NNB
1일에는	1/SN+일/NNB+에/JKB+는/JX
주요	주요/NNG
기차역과	기차역/NNG+과/JC
터미널을	터미널/NNG+을/JKO
경유하는	경유/NNG+하/XSV+는/ETM
시내버스(막차	시내버스/NNG+(/SS+막차/NNG
출발	출발/NNG
시간	시간/NNG
기준)와	기준/NNG+)/SS+와/JKB
서울	서울/NNP
지하철(종점	지하철/NNG+(/SS+종점/NNG
도착	도착/NNG
기준)이	기준/NNG+)/SS+이/JKS
다음	다음/NNG
날	날/NNG
오전	오전/NNG
2시까지	2/SN+시/NNB+까지/JX
연장	연장/NNG
운행된다.	운행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.374.5.1
시립묘지 성묘객을 위해 30일∼2월 1일 용미리, 망우리 등 시립묘지를 거치는 4개 노선 시내버스를 평상시보다 68회 늘린다.

시립묘지	시립/NNG+묘지/NNG
성묘객을	성묘객/NNG+을/JKO
위해	위하/VV+아/EC
30일∼2월	30/SN+일/NNB+∼/SO+2/SN+월/NNB
1일	1/SN+일/NNB
용미리,	용미리/NNP+,/SP
망우리	망우리/NNP
등	등/NNB
시립묘지를	시립/NNG+묘지/NNG+를/JKO
거치는	거치/VV+는/ETM
4개	4/SN+개/NNB
노선	노선/NNG
시내버스를	시내버스/NNG+를/JKO
평상시보다	평상시/NNG+보다/JKB
68회	68/SN+회/NNB
늘린다.	늘리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.374.5.2
용미리에서는 30일부터 2월 2일까지 오전 7시 30분∼오후 6시 순환버스를 무료 운행한다.

용미리에서는	용미리/NNP+에서/JKB+는/JX
30일부터	30/SN+일/NNB+부터/JX
2월	2/SN+월/NNB
2일까지	2/SN+일/NNB+까지/JX
오전	오전/NNG
7시	7/SN+시/NNB
30분∼오후	30/SN+분/NNB+∼/SO+오후/NNG
6시	6/SN+시/NNB
순환버스를	순환/NNG+버스/NNG+를/JKO
무료	무료/NNG
운행한다.	운행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.374.5.3
시는 연휴 기간 인파가 붐빌 것으로 예상되는 터미널과 시립묘지 등에 119구급대를 집중 배치해 사고에 대비하기로 했다.

시는	시/NNG+는/JX
연휴	연휴/NNG
기간	기간/NNG
인파가	인파/NNG+가/JKS
붐빌	붐비/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
터미널과	터미널/NNG+과/JC
시립묘지	시립/NNG+묘지/NNG
등에	등/NNB+에/JKB
119구급대를	119/SN+구급대/NNG+를/JKO
집중	집중/NNG
배치해	배치/NNG+하/XSV+아/EC
사고에	사고/NNG+에/JKB
대비하기로	대비/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.374.5.4
또 24시간 운영하는 응급실 외에 당직 의료기관과 당번 약국이 연휴 기간 돌아가며 문을 연다.

또	또/MAG
24시간	24/SN+시간/NNB
운영하는	운영/NNG+하/XSV+는/ETM
응급실	응급실/NNG
외에	외/NNB+에/JKB
당직	당직/NNG
의료기관과	의료/NNG+기관/NNG+과/JC
당번	당번/NNG
약국이	약국/NNG+이/JKS
연휴	연휴/NNG
기간	기간/NNG
돌아가며	돌아가/VV+며/EC
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.374.5.5
문을 여는 의료기관과 약국의 명단은 중앙응급의료센터 홈페이지(e-gen.or.kr)와 스마트폰 ‘응급의료정보제공’ 애플리케이션을 내려받아 조회하면 된다.

문을	문/NNG+을/JKO
여는	열/VV+는/ETM
의료기관과	의료/NNG+기관/NNG+과/JC
약국의	약국/NNG+의/JKG
명단은	명단/NNG+은/JX
중앙응급의료센터	중앙/NNG+응급/NNG+의료/NNG+센터/NNG
홈페이지(e-gen.or.kr)와	홈페이지/NNG+(/SS+e/SL+-/SO+gen/SL+./SP+or/SL+./SP+kr/SL+)/SS+와/JC
스마트폰	스마트폰/NNG
‘응급의료정보제공’	‘/SS+응급/NNG+의료/NNG+정보/NNG+제공/NNG+’/SS
애플리케이션을	애플리케이션/NNG+을/JKO
내려받아	내려받/VV+아/EC
조회하면	조회/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.374.6.1
연휴 기간 서울의 각종 문화시설과 공원에서는 다양한 문화행사가 마련된다.

연휴	연휴/NNG
기간	기간/NNG
서울의	서울/NNP+의/JKG
각종	각종/NNG
문화시설과	문화/NNG+시설/NNG+과/JC
공원에서는	공원/NNG+에서/JKB+는/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
문화행사가	문화/NNG+행사/NNG+가/JKS
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.374.6.2
