# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.392
metadata : {}


# id : NWRW1800000054.392.1.1
靑 "공동성명 7시간 지연은 'Free' 한 단어 때문"

靑	靑/SH
"공동성명	"/SS+공동/NNG+성명/NNG
7시간	7/SN+시간/NNB
지연은	지연/NNG+은/JX
'Free'	'/SS+Free/SL+'/SS
한	한/MMN
단어	단어/NNG
때문"	때문/NNB+"/SS


# id : NWRW1800000054.392.2.1
트럼프, 자유무역 文案에 반대

트럼프,	트럼프/NNP+,/SP
자유무역	자유/NNG+무역/NNG
文案에	文案/SH+에/JKB
반대	반대/NNG


# id : NWRW1800000054.392.3.1
청와대는 3일 한·미 정상회담 뒷얘기를 일부 공개했다.

청와대는	청와대/NNP+는/JX
3일	3/SN+일/NNB
한·미	한·미/NNP
정상회담	정상/NNG+회담/NNG
뒷얘기를	뒷얘기/NNG+를/JKO
일부	일부/NNG
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.392.4.1
정상회담 이후 7시간 동안 공동성명 발표가 지연된 이유는 '경제성장 촉진을 위한 공정한 무역(Advancing Fair Trade to Promote Economic Growth)'이라는 공동성명 문안 조정 때문으로 알려졌다.

정상회담	정상/NNG+회담/NNG
이후	이후/NNG
7시간	7/SN+시간/NNB
동안	동안/NNG
공동성명	공동/NNG+성명/NNG
발표가	발표/NNG+가/JKS
지연된	지연/NNG+되/XSV+ㄴ/ETM
이유는	이유/NNG+는/JX
'경제성장	'/SS+경제/NNG+성장/NNG
촉진을	촉진/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공정한	공정/NNG+하/XSA+ㄴ/ETM
무역(Advancing	무역/NNG+(/SS+Advancing/SL
Fair	Fair/SL
Trade	Trade/SL
to	to/SL
Promote	Promote/SL
Economic	Economic/SL
Growth)'이라는	Growth/SL+)/SS+'/SS+이/VCP+라는/ETM
문안	문안/NNG
조정	조정/NNG
때문으로	때문/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.392.4.2
당초엔 '공정한 무역(Fair Trade)'이 아니라 '자유롭고 공정한 무역(Free and Fair Trade)'으로 합의했지만, 트럼프 대통령이 'Free'라는 단어의 삭제를 지시한 것으로 알려졌다.

당초엔	당초/NNG+에/JKB+ㄴ/JX
'공정한	'/SS+공정/NNG+하/XSA+ㄴ/ETM
무역(Fair	무역/NNG+(/SS+Fair/SL
Trade)'이	Trade/SL+)/SS+'/SS+이/JKC
아니라	아니/VCN+라/EC
'자유롭고	'/SS+자유/NNG+롭/XSA+고/EC
공정한	공정/NNG+하/XSA+ㄴ/ETM
무역(Free	무역/NNG+(/SS+Free/SL
and	and/SL
Fair	Fair/SL
Trade)'으로	Trade/SL+)/SS+'/SS+으로/JKB
합의했지만,	합의/NNG+하/XSV+았/EP+지만/EC+,/SP
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
'Free'라는	'/SS+Free/SL+'/SS+이/VCP+라는/ETM
단어의	단어/NNG+의/JKG
삭제를	삭제/NNG+를/JKO
지시한	지시/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.392.4.3
