# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.186
metadata : {}


# id : NWRW1800000032.186.1.1
하얀 캔버스 여백에 채워진 빽빽한 긴장

하얀	하얗/VA+ㄴ/ETM
캔버스	캔버스/NNG
여백에	여백/NNG+에/JKB
채워진	채우/VV+어/EC+지/VX+ㄴ/ETM
빽빽한	빽빽하/VA+ㄴ/ETM
긴장	긴장/NNG


# id : NWRW1800000032.186.2.1
이우환 작가, ‘대화’ 주제로 10년만에 개인전 열어

이우환	이우환/NNP
작가,	작가/NNG+,/SP
‘대화’	‘/SS+대화/NNG+’/SS
주제로	주제/NNG+로/JKB
10년만에	10/SN+년/NNB+만/NNB+에/JKB
개인전	개인전/NNG
열어	열/VV+어/EF


# id : NWRW1800000032.186.3.1
아시아 세번째로 뉴욕 구겐하임미술관 회고전도

아시아	아시아/NNP
세번째로	세/MMN+번/NNB+째/XSN+로/JKB
뉴욕	뉴욕/NNP
구겐하임미술관	구겐하임미술관/NNP
회고전도	회고전/NNG+도/JX


# id : NWRW1800000032.186.4.1
지난 6~9월 미국 뉴욕 구겐하임미술관에서 첫 회고전을 마친 이우환(75·사진) 작가가 15일부터 12월18일까지 서울 사간동 갤러리현대 신관에서 개인전 ‘대화’를 연다.

지난	지나/VV+ㄴ/ETM
6~9월	6/SN+~/SO+9/SN+월/NNB
미국	미국/NNP
뉴욕	뉴욕/NNP
구겐하임미술관에서	구겐하임미술관/NNP+에서/JKB
첫	첫/MMN
회고전을	회고전/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
이우환(75·사진)	이우환/NNP+(/SS+75/SN+·/SP+사진/NNG+)/SS
작가가	작가/NNG+가/JKS
15일부터	15/SN+일/NNB+부터/JX
12월18일까지	12/SN+월/NNB+18/SN+일/NNB+까지/JX
서울	서울/NNP
사간동	사간동/NNP
갤러리현대	갤러리현대/NNP
신관에서	신관/NNG+에서/JKB
개인전	개인전/NNG
‘대화’를	‘/SS+대화/NNG+’/SS+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.186.5.1
텅빈 화폭에 단지 작은 회색 점만을 찍은 특유의 미니멀한 이미지가 등장하는 기존의 ‘대화’ 연작들을 새롭게 재해석한 전시다.

텅빈	텅/MAG+비/VV+ㄴ/ETM
화폭에	화폭/NNG+에/JKB
단지	단지/MAG
작은	작/VA+은/ETM
회색	회색/NNG
점만을	점/NNG+만/JX+을/JKO
찍은	찍/VV+은/ETM
특유의	특유/NNG+의/JKG
미니멀한	미니멀/NNG+하/XSA+ㄴ/ETM
이미지가	이미지/NNG+가/JKS
등장하는	등장/NNG+하/XSV+는/ETM
기존의	기존/NNG+의/JKG
