# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.316
metadata : {}


# id : NWRW1800000038.316.1.1
[강경희의 터치! 코리아] 한국 교육, 창조경제의 적?

[강경희의	[/SS+강경희/NNP+의/JKG
터치!	터치/NNG+!/SF
코리아]	코리아/NNP+]/SS
한국	한국/NNP
교육,	교육/NNG+,/SP
창조경제의	창조/NNG+경제/NNG+의/JKG
적?	적/NNG+?/SF


# id : NWRW1800000038.316.2.1
교육열 높은 수도권 고등학교에서 고2 담임을 맡은 교사가 얼마 전 경험한 얘기다.

교육열	교육열/NNG
높은	높/VA+은/ETM
수도권	수도/NNG+권/XSN
고등학교에서	고등학교/NNG+에서/JKB
고2	고/NNG+2/SN
담임을	담임/NNG+을/JKO
맡은	맡/VV+은/ETM
교사가	교사/NNG+가/JKS
얼마	얼마/NNG
전	전/NNG
경험한	경험/NNG+하/XSV+ㄴ/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.316.2.2
반 학생이 할머니 상(喪)을 당해 중간고사를 치르지 못했다.

반	반/NNG
학생이	학생/NNG+이/JKS
할머니	할머니/NNG
상(喪)을	상/NNG+(/SS+喪/SH+)/SS+을/JKO
당해	당하/VV+아/EC
중간고사를	중간고사/NNG+를/JKO
치르지	치르/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.316.2.3
그 학생한테 "할머님 상은 잘 치렀니? 기말고사 성적으로 중간고사 성적이 인정되니 기말고사 잘 봐라"고 위로의 말을 건넸는데, 수업 끝나자마자 학생들 여러 명이 교사를 찾아왔다고 한다.

그	그/MMD
학생한테	학생/NNG+한테/JKB
"할머님	"/SS+할머님/NNG
상은	상/NNG+은/JX
잘	잘/MAG
치렀니?	치르/VV+었/EP+니/EF+?/SF
기말고사	기말고사/NNG
성적으로	성적/NNG+으로/JKB
중간고사	중간고사/NNG
성적이	성적/NNG+이/JKS
인정되니	인정/NNG+되/XSV+니/EC
봐라"고	보/VV+아라/EF+"/SS+고/JKQ
위로의	위로/NNG+의/JKG
말을	말/NNG+을/JKO
건넸는데,	건네/VV+었/EP+는데/EC+,/SP
수업	수업/NNG
끝나자마자	끝나/VV+자마자/EC
학생들	학생/NNG+들/XSN
여러	여러/MMN
명이	명/NNB+이/JKS
교사를	교사/NNG+를/JKO
찾아왔다고	찾아오/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.316.2.4
"선생님, 제발 기말고사 어렵게 내주세요!" 할머니 돌아가신 친구를 위로하기는커녕, 장례식 치르느라 결시(缺試)한 급우가 쉬운 기말고사 덕에 중간고사까지 유리한 성적을 받게 될까 조바심부터 내는 10대한테 교사는 충격받았다고 했다.

"선생님,	"/SS+선생/NNG+님/XSN+,/SP
제발	제발/MAG
기말고사	기말고사/NNG
어렵게	어렵/VA+게/EC
내주세요!"	내주/VV+시/EP+어요/EF+!/SF+"/SS
