# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.46
metadata : {}


# id : NWRW1800000045.46.1.1
“혼자 튀는 에이스보다 함께 뛰는 B급이 낫다”

“혼자	“/SS+혼자/NNG
튀는	튀/VV+는/ETM
에이스보다	에이스/NNG+보다/JKB
함께	함께/MAG
뛰는	뛰/VV+는/ETM
B급이	B/SL+급/NNG+이/JKS
낫다”	낫/VA+다/EF+”/SS


# id : NWRW1800000045.46.2.1
조던을 농구황제로 만든 ‘코트의 전설’ 스미스 감독의 리더십

조던을	조던/NNP+을/JKO
농구황제로	농구/NNG+황제/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
‘코트의	‘/SS+코트/NNG+의/JKG
전설’	전설/NNG+’/SS
스미스	스미스/NNP
감독의	감독/NNG+의/JKG
리더십	리더십/NNG


# id : NWRW1800000045.46.3.1
이달 8일 83세를 일기로 별세한 딘 스미스 전 미국 노스캐롤라이나대(UNC) 농구 감독은 ‘농구 황제’ 마이클 조던을 키운 스승으로 잘 알려진 사람이다.

이달	이달/NNG
8일	8/SN+일/NNB
83세를	83/SN+세/NNB+를/JKO
일기로	일기/NNG+로/JKB
별세한	별세/NNG+하/XSV+ㄴ/ETM
딘	딘/NNP
스미스	스미스/NNP
전	전/MMD
미국	미국/NNP
노스캐롤라이나대(UNC)	노스캐롤라이나대/NNP+(/SS+UNC/SL+)/SS
농구	농구/NNG
감독은	감독/NNG+은/JX
‘농구	‘/SS+농구/NNG
황제’	황제/NNG+’/SS
마이클	마이클/NNP
조던을	조던/NNP+을/JKO
키운	키우/VV+ㄴ/ETM
스승으로	스승/NNG+으로/JKB
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
사람이다.	사람/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.46.3.2
현재 미국프로농구(NBA) 샬럿 호니츠 구단주인 조던은 그를 추모하며 “나의 두 번째 아버지”라고 했다.

현재	현재/MAG
미국프로농구(NBA)	미국/NNP+프로/NNG+농구/NNG+(/SS+NBA/SL+)/SS
샬럿	샬럿/NNP
호니츠	호니츠/NNP
구단주인	구단주/NNG+이/VCP+ㄴ/ETM
조던은	조던/NNP+은/JX
그를	그/NP+를/JKO
추모하며	추모/NNG+하/XSV+며/EC
“나의	“/SS+나/NP+의/JKG
두	두/MMN
번째	번/NNB+째/XSN
아버지”라고	아버지/NNG+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.46.3.3
그에게서 무엇을 어떻게 배웠기에 이런 최고의 헌사를 내놓았을까.

그에게서	그/NP+에게서/JKB
무엇을	무엇/NP+을/JKO
어떻게	어떻/VA+게/EC
배웠기에	배우/VV+었/EP+기에/EC
이런	이런/MMD
최고의	최고/NNG+의/JKG
헌사를	헌사/NNG+를/JKO
내놓았을까.	내놓/VV+았/EP+을까/EF+./SF


# id : NWRW1800000045.46.4.1
스미스 감독이 중요하게 여겼던 것은 ‘팀워크’였다.

스미스	스미스/NNP
감독이	감독/NNG+이/JKS
중요하게	중요/NNG+하/XSA+게/EC
여겼던	여기/VV+었/EP+던/ETM
것은	것/NNB+은/JX
‘팀워크’였다.	‘/SS+팀워크/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.46.4.2
그는 자서전 ‘캐롤라이나 웨이’에서 자신의 감독 철학을 ‘열심히 뛰고, 함께 뛰고, 영리하게 뛰어라(Play hard, Play together, Play smart)’라는 여섯 단어로 요약하면서 “재능은 있지만 희생하지 않는 다섯 명보다 재능은 부족해도 한 팀으로 뭉치려는 다섯 명이 훨씬 낫다”고 썼다.

그는	그/NP+는/JX
자서전	자서전/NNG
‘캐롤라이나	‘/SS+캐롤라이나/NNP
웨이’에서	웨이/NNP+’/SS+에서/JKB
자신의	자신/NNG+의/JKG
감독	감독/NNG
철학을	철학/NNG+을/JKO
‘열심히	‘/SS+열심히/MAG
뛰고,	뛰/VV+고/EC+,/SP
함께	함께/MAG
영리하게	영리하/VA+게/EC
뛰어라(Play	뛰/VV+어라/EF+(/SS+Play/SL
hard,	hard/SL+,/SP
Play	Play/SL
together,	together/SL+,/SP
smart)’라는	smart/SL+)/SS+’/SS+이/VCP+라는/ETM
여섯	여섯/NR
단어로	단어/NNG+로/JKB
요약하면서	요약/NNG+하/XSV+면서/EC
