# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.27
metadata : {}


# id : NWRW1800000049.27.1.1
‘예상가격 1조’ 금호타이어 20일 매각 공고

‘예상가격	‘/SS+예상/NNG+가격/NNG
1조’	1/SN+조/NR+’/SS
금호타이어	금호타이어/NNP
20일	20/SN+일/NNB
매각	매각/NNG
공고	공고/NNG


# id : NWRW1800000049.27.2.1
박삼구 회장 인수성공 여부에 관심… 외국기업 경합땐 가격 더 오를수도

박삼구	박삼구/NNP
회장	회장/NNG
인수성공	인수/NNG+성공/NNG
여부에	여부/NNG+에/JKB
관심…	관심/NNG+…/SE
외국기업	외국/NNG+기업/NNG
경합땐	경합/NNG+때/NNG+ㄴ/JX
가격	가격/NNG
더	더/MAG
오를수도	오르/VV+ㄹ/ETM+수/NNB+도/JX


# id : NWRW1800000049.27.3.1
금호타이어가 매물로 나온다.

금호타이어가	금호타이어/NNP+가/JKS
매물로	매물/NNG+로/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.27.3.2
가격은 1조 원 안팎이 될 것으로 추산된다.

가격은	가격/NNG+은/JX
1조	1/SN+조/NR
원	원/NNB
안팎이	안팎/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.27.4.1
19일 금호타이어와 금호타이어 채권단에 따르면 금호타이어 매각 주간사회사인 크레디트스위스는 매각 조건과 일정을 담은 매각 공고를 20일 낼 예정이다.

19일	19/SN+일/NNB
금호타이어와	금호타이어/NNP+와/JC
금호타이어	금호타이어/NNP
채권단에	채권단/NNG+에/JKB
따르면	따르/VV+면/EC
매각	매각/NNG
주간사회사인	주간사/NNG+회사/NNG+이/VCP+ㄴ/ETM
크레디트스위스는	크레디트스위스/NNP+는/JX
조건과	조건/NNG+과/JC
일정을	일정/NNG+을/JKO
담은	담/VV+은/ETM
공고를	공고/NNG+를/JKO
20일	20/SN+일/NNB
낼	내/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.27.4.2
한국타이어에 이어 국내 2위 타이어업체인 금호타이어는 올 하반기 국내 인수합병(M&A) 시장 최대어로 꼽힌다.

한국타이어에	한국타이어/NNP+에/JKB
이어	잇/VV+어/EC
국내	국내/NNG
2위	2/SN+위/NNB
타이어업체인	타이어/NNG+업체/NNG+이/VCP+ㄴ/ETM
금호타이어는	금호타이어/NNP+는/JX
올	올/NNG
하반기	하반기/NNG
인수합병(M&A)	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS
시장	시장/NNG
최대어로	최대어/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.27.5.1
우리은행과 KDB산업은행 등 채권단이 보유한 금호타이어 지분(42.1%)은 6500억∼7500억 원으로 평가된다.

우리은행과	우리은행/NNP+과/JC
KDB산업은행	KDB산업은행/NNP
등	등/NNB
채권단이	채권단/NNG+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
금호타이어	금호타이어/NNP
지분(42.1%)은	지분/NNG+(/SS+42/SN+./SP+1/SN+%/SW+)/SS+은/JX
6500억∼7500억	6500/SN+억/NR+∼/SO+7500/SN+억/NR
원으로	원/NNB+으로/JKB
평가된다.	평가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.27.5.2
