# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.315
metadata : {}


# id : NWRW1800000046.315.1.1
[野 새 대표 문재인] 惜敗(석패) 박지원 "진 것은 진 것… 勝者 잘해주길"

[野	[/SS+野/SH
새	새/MMA
대표	대표/NNG
문재인]	문재인/NNP+]/SS
惜敗(석패)	惜敗/SH+(/SS+석패/NNG+)/SS
박지원	박지원/NNP
"진	"/SS+지/VV+ㄴ/ETM
것은	것/NNB+은/JX
진	지/VV+ㄴ/ETM
것…	것/NNB+…/SE
勝者	勝者/SH
잘해주길"	잘/MAG+하/XSV+아/EC+주/VX+기/ETN+ㄹ/JKO+"/SS


# id : NWRW1800000046.315.2.1
새 지도부의 현충원 참배엔 "쉬고 싶다" 불참 뜻 밝혀

새	새/MMA
지도부의	지도부/NNG+의/JKG
현충원	현충원/NNP
참배엔	참배/NNG+에/JKB+ㄴ/JX
"쉬고	"/SS+쉬/VV+고/EC
싶다"	싶/VX+다/EF+"/SS
불참	불참/NNG
뜻	뜻/NNG
밝혀	밝히/VV+어/EF


# id : NWRW1800000046.315.3.1
새정치민주연합 2·8 전당대회에서 2위를 한 박지원 의원은 선거 결과 발표 직후 "결과에 승복하고 승자가 잘해주길 바란다"며 "저는 당원으로서 의무를 다할 것"이라고 말했다.

새정치민주연합	새정치민주연합/NNP
2·8	2/SN+·/SP+8/SN
전당대회에서	전당/NNG+대회/NNG+에서/JKB
2위를	2/SN+위/NNB+를/JKO
한	하/VV+ㄴ/ETM
박지원	박지원/NNP
의원은	의원/NNG+은/JX
선거	선거/NNG
결과	결과/NNG
발표	발표/NNG
직후	직후/NNG
"결과에	"/SS+결과/NNG+에/JKB
승복하고	승복/NNG+하/XSV+고/EC
승자가	승자/NNG+가/JKS
잘해주길	잘/MAG+하/XSV+아/EC+주/VX+기/ETN+ㄹ/JKO
바란다"며	바라/VV+ㄴ다/EF+"/SS+며/EC
"저는	"/SS+저/NP+는/JX
당원으로서	당원/NNG+으로서/JKB
의무를	의무/NNG+를/JKO
다할	다/MAG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.315.3.2
박 의원은 경선에서 41.8%를 얻어 3.5%포인트 차로 졌다.

박	박/NNP
의원은	의원/NNG+은/JX
경선에서	경선/NNG+에서/JKB
41.8%를	41/SN+./SP+8/SN+%/SW+를/JKO
얻어	얻/VV+어/EC
3.5%포인트	3/SN+./SP+5/SN+%포인트/NNG
차로	차/NNG+로/JKB
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.315.3.3
그는 "표차가 거의 없다"는 평가에 대해 "생각 안 한다.

그는	그/NP+는/JX
"표차가	"/SS+표/NNG+차/NNG+가/JKS
거의	거의/MAG
없다"는	없/VA+다/EF+"/SS+는/ETM
평가에	평가/NNG+에/JKB
대해	대하/VV+아/EC
"생각	"/SS+생각/NNG
안	안/MAG
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.315.3.4
진 것은 진 것"이라고 했다.

진	지/VV+ㄴ/ETM
것은	것/NNB+은/JX
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.315.4.1
이번 경선이 시작될 무렵에는 박 의원의 열세(劣勢)를 점치는 사람이 많았다.

이번	이번/NNG
경선이	경선/NNG+이/JKS
시작될	시작/NNG+되/XSV+ㄹ/ETM
무렵에는	무렵/NNB+에/JKB+는/JX
박	박/NNP
의원의	의원/NNG+의/JKG
열세(劣勢)를	열세/NNG+(/SS+劣勢/SH+)/SS+를/JKO
점치는	점치/VV+는/ETM
사람이	사람/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.315.4.2
'양강 구도'로 맞붙게 된 상대가 대선에서 1460만 표를 얻은 문재인 의원인 데다, 박 의원이 '노련미'는 있으나 상대적으로 참신한 이미지가 떨어진다는 분석에서였다.

'양강	'/SS+양/MMN+강/NNB
구도'로	구도/NNG+'/SS+로/JKB
맞붙게	맞붙/VV+게/EC
된	되/VV+ㄴ/ETM
상대가	상대/NNG+가/JKS
대선에서	대선/NNG+에서/JKB
1460만	1460/SN+만/NR
표를	표/NNG+를/JKO
얻은	얻/VV+은/ETM
문재인	문재인/NNP
의원인	의원/NNG+이/VCP+ㄴ/ETM
데다,	데/NNB+다/JX+,/SP
박	박/NNP
의원이	의원/NNG+이/JKS
'노련미'는	'/SS+노련미/NNG+'/SS+는/JX
있으나	있/VA+으나/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
참신한	참신하/VA+ㄴ/ETM
이미지가	이미지/NNG+가/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
분석에서였다.	분석/NNG+에서/JKB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.315.4.3
그러나 박 의원은 특유의 전투력을 보여줬다.

그러나	그러나/MAJ
박	박/NNP
의원은	의원/NNG+은/JX
특유의	특유/NNG+의/JKG
전투력을	전투력/NNG+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.315.4.4
우선 80년대부터 당 생활을 하며 다져온 지지층이 바닥을 받쳐줬다.

우선	우선/MAG
80년대부터	80/SN+년대/NNB+부터/JX
당	당/NNG
생활을	생활/NNG+을/JKO
하며	하/VV+며/EC
다져온	다지/VV+어/EC+오/VX+ㄴ/ETM
지지층이	지지/NNG+층/XSN+이/JKS
바닥을	바닥/NNG+을/JKO
받쳐줬다.	받치/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.315.4.5
또 그동안 당에 기여한 공로를 인정받으며 일반 당원들 지지도 많이 받았다.

또	또/MAG
그동안	그동안/NNG
당에	당/NNG+에/JKB
기여한	기여/NNG+하/XSV+ㄴ/ETM
공로를	공로/NNG+를/JKO
인정받으며	인정/NNG+받/XSV+으며/EC
일반	일반/NNG
당원들	당원/NNG+들/XSN
지지도	지지/NNG+도/JX
많이	많이/MAG
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.315.4.6
선거전 막바지에는 여론조사 규칙을 두고 문 대표 측과 '감정싸움'까지 가면서 이를 끝까지 쟁점화시켜 아슬아슬한 접전으로 만들어냈다.

선거전	선거전/NNG
막바지에는	막바지/NNG+에/JKB+는/JX
여론조사	여론/NNG+조사/NNG
규칙을	규칙/NNG+을/JKO
두고	두/VV+고/EC
문	문/NNP
대표	대표/NNG
측과	측/NNB+과/JKB
'감정싸움'까지	'/SS+감정싸움/NNG+'/SS+까지/JX
가면서	가/VV+면서/EC
이를	이/NP+를/JKO
끝까지	끝/NNG+까지/JX
쟁점화시켜	쟁점/NNG+화/XSN+시키/XSV+어/EC
아슬아슬한	아슬아슬/MAG+하/XSA+ㄴ/ETM
접전으로	접전/NNG+으로/JKB
만들어냈다.	만들/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.315.5.1
당 관계자는 "승패를 떠나서 박 의원이 이번 전대의 주인공이라는 얘기도 많다"며 "누구도 '한 번 잡으면 놓지 않는' 박 의원의 전투력과 집념을 부인하기는 어려울 것"이라고 말했다.

당	당/NNG
관계자는	관계자/NNG+는/JX
"승패를	"/SS+승패/NNG+를/JKO
떠나서	떠나/VV+아서/EC
박	박/NNP
의원이	의원/NNG+이/JKS
이번	이번/NNG
전대의	전대/NNG+의/JKG
주인공이라는	주인공/NNG+이/VCP+라는/ETM
얘기도	얘기/NNG+도/JX
많다"며	많/VA+다/EF+"/SS+며/EC
"누구도	"/SS+누구/NP+도/JX
'한	'/SS+한/MMN
번	번/NNB
잡으면	잡/VV+으면/EC
놓지	놓/VV+지/EC
않는'	않/VX+는/ETM+'/SS
의원의	의원/NNG+의/JKG
전투력과	전투력/NNG+과/JC
집념을	집념/NNG+을/JKO
부인하기는	부인/NNG+하/XSV+기/ETN+는/JX
어려울	어렵/VA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.315.5.2
박 의원은 선거전에서 "(친노 진영과 싸워보니) 안철수, 손학규의 마음을 알겠다" "나더러 탈당하라는 주문도 많다" "김대중 대통령은 (노무현 정부의) 대북 송금 특검으로 투석까지 받았다" 등 위험 수위를 넘나드는 말을 하기도 했다.

박	박/NNP
의원은	의원/NNG+은/JX
선거전에서	선거전/NNG+에서/JKB
"(친노	"/SS+(/SS+친/XPN+노/NNP
진영과	진영/NNG+과/JKB
싸워보니)	싸우/VV+어/EC+보/VX+니/EC+)/SS
안철수,	안철수/NNP+,/SP
손학규의	손학규/NNP+의/JKG
마음을	마음/NNG+을/JKO
알겠다"	알/VV+겠/EP+다/EF+"/SS
"나더러	"/SS+나/NP+더러/JKB
탈당하라는	탈당/NNG+하/XSV+라는/ETM
주문도	주문/NNG+도/JX
많다"	많/VA+다/EF+"/SS
"김대중	"/SS+김대중/NNP
대통령은	대통령/NNG+은/JX
(노무현	(/SS+노무현/NNP
정부의)	정부/NNG+의/JKG+)/SS
대북	대북/NNG
송금	송금/NNG
특검으로	특검/NNG+으로/JKB
투석까지	투석/NNG+까지/JX
