# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.425
metadata : {}


# id : NWRW1800000022.425.1.1
[강원] 강원, 의료관광 기반 강화 시급하다

[강원]	[/SS+강원/NNP+]/SS
강원,	강원/NNP+,/SP
의료관광	의료/NNG+관광/NNG
기반	기반/NNG
강화	강화/NNG
시급하다	시급하/VA+다/EF


# id : NWRW1800000022.425.2.1
강원광역경제권의 선도산업인 의료관광 주도권을 지키려면 기반강화가 시급한 것으로 나타났다.

강원광역경제권의	강원/NNP+광역/NNG+경제/NNG+권/XSN+의/JKG
선도산업인	선도/NNG+산업/NNG+이/VCP+ㄴ/ETM
의료관광	의료/NNG+관광/NNG
주도권을	주도/NNG+권/XSN+을/JKO
지키려면	지키/VV+려면/EC
기반강화가	기반/NNG+강화/NNG+가/JKS
시급한	시급하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.425.2.2
강원도 의료 기반이 열악한 상황에서 전국 대부분 지자체들이 의료관광시장 선점을 위한 경쟁에 나서고 있기 때문이다.

강원도	강원도/NNP
의료	의료/NNG
기반이	기반/NNG+이/JKS
열악한	열악하/VA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
전국	전국/NNG
대부분	대/XPN+부분/NNG
지자체들이	지자체/NNG+들/XSN+이/JKS
의료관광시장	의료/NNG+관광/NNG+시장/NNG
선점을	선점/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
경쟁에	경쟁/NNG+에/JKB
나서고	나서/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.425.3.1
이명박 대통령은 최근 대구에서 열린 지역발전위원회 회의에서 "한국에 와야만 효과적으로 치료받을 수 있다는 의료관광객을 유치하는 것이 중요하다. 태국이나 싱가포르와 많이 비교하는데 구분돼야 한다"고 의료관광을 고급의료로 특화할 것을 주문했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
최근	최근/MAG
대구에서	대구/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
