# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.264
metadata : {}


# id : NWRW1800000038.264.1.1
박인비 빠진 LPGA 타이완 챔피언십… 페테르센, 1라운드 선두

박인비	박인비/NNP
빠진	빠지/VV+ㄴ/ETM
LPGA	LPGA/SL
타이완	타이완/NNP
챔피언십…	챔피언십/NNG+…/SE
페테르센,	페테르센/NNP+,/SP
1라운드	1/SN+라운드/NNG
선두	선두/NNG


# id : NWRW1800000038.264.2.1
여자 골프 세계 랭킹 1위 박인비(25)가 불참한 미국여자프로골프(LPGA) 투어 대회 첫날 수잔 페테르센(노르웨이·세계 2위)이 단독 선두로 나섰다.

여자	여자/NNG
골프	골프/NNG
세계	세계/NNG
랭킹	랭킹/NNG
1위	1/SN+위/NNB
박인비(25)가	박인비/NNP+(/SS+25/SN+)/SS+가/JKS
불참한	불참/NNG+하/XSV+ㄴ/ETM
미국여자프로골프(LPGA)	미국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS
투어	투어/NNG
대회	대회/NNG
첫날	첫날/NNG
수잔	수잔/NNP
페테르센(노르웨이·세계	페테르센/NNP+(/SS+노르웨이/NNP+·/SP+세계/NNG
2위)이	2/SN+위/NNB+)/SS+이/JKS
단독	단독/NNG
선두로	선두/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.264.2.2
페테르센은 올 시즌 상금왕과 올해의 선수 랭킹 선두를 달리는 박인비를 바짝 뒤쫓고 있다.

페테르센은	페테르센/NNP+은/JX
올	올/NNG
시즌	시즌/NNG
상금왕과	상금왕/NNG+과/JC
올해의	올해/NNG+의/JKG
선수	선수/NNG
랭킹	랭킹/NNG
선두를	선두/NNG+를/JKO
달리는	달리/VV+는/ETM
박인비를	박인비/NNP+를/JKO
바짝	바짝/MAG
뒤쫓고	뒤쫓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.264.3.1
페테르센은 24일 대만 타오유안의 선라이즈골프장(파72·6390달러)에서 열린 선라이즈 타이완 챔피언십(총상금 200만달러) 1라운드에서 버디 6개, 보기 2개로 4언더파 68타를 쳤다.

페테르센은	페테르센/NNP+은/JX
24일	24/SN+일/NNB
대만	대만/NNP
타오유안의	타오유안/NNP+의/JKG
선라이즈골프장(파72·6390달러)에서	선라이즈/NNP+골프장/NNG+(/SS+파/NNG+72/SN+·/SP+6390/SN+달러/NNB+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
선라이즈	선라이즈/NNP
타이완	타이완/NNP
챔피언십(총상금	챔피언십/NNG+(/SS+총상금/NNG
200만달러)	200/SN+만/NR+달러/NNB+)/SS
1라운드에서	1/SN+라운드/NNG+에서/JKB
버디	버디/NNG
6개,	6/SN+개/NNB+,/SP
보기	보기/NNG
2개로	2/SN+개/NNB+로/JKB
4언더파	4/SN+언더/NNG+파/NNG
68타를	68/SN+타/NNG+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.264.4.1
이 대회 디펜딩 챔피언인 페테르센은 아이린 조(미국) 등 공동 2위(1언더파) 그룹을 3타 차로 앞섰다.

이	이/MMD
대회	대회/NNG
디펜딩	디펜딩/NNG
챔피언인	챔피언/NNG+이/VCP+ㄴ/ETM
페테르센은	페테르센/NNP+은/JX
아이린	아이린/NNP
조(미국)	조/NNP+(/SS+미국/NNP+)/SS
등	등/NNB
공동	공동/NNG
2위(1언더파)	2/SN+위/NNB+(/SS+1/SN+언더/NNG+파/NNG+)/SS
그룹을	그룹/NNG+을/JKO
3타	3/SN+타/NNG
차로	차/NNG+로/JKB
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.264.4.2
박인비는 이번 주 한국여자프로골프 투어 KB금융 스타챔피언십에 출전 중이다.

박인비는	박인비/NNP+는/JX
이번	이번/NNG
주	주/NNG
한국여자프로골프	한국/NNP+여자/NNG+프로/NNG+골프/NNG
투어	투어/NNG
KB금융	KB금융/NNP
스타챔피언십에	스타/NNG+챔피언십/NNG+에/JKB
출전	출전/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.264.5.1
페테르센은 박인비가 한국 선수 최초로 LPGA 올해의 선수상을 받는 데 강력한 위협이 되고 있다.

페테르센은	페테르센/NNP+은/JX
박인비가	박인비/NNP+가/JKS
한국	한국/NNP
선수	선수/NNG
최초로	최초/NNG+로/JKB
LPGA	LPGA/SL
올해의	올해/NNG+의/JKG
선수상을	선수상/NNG+을/JKO
받는	받/VV+는/ETM
데	데/NNB
강력한	강력/NNG+하/XSA+ㄴ/ETM
위협이	위협/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.264.5.2
