# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.377
metadata : {}


# id : NWRW1800000041.377.1.1
[수도권]월미은하레일, 스카이 바이크로 거듭날까

[수도권]월미은하레일,	[/SS+수도/NNG+권/XSN+]/SS+월미은하레일/NNP+,/SP
스카이	스카이/NNG
바이크로	바이크/NNG+로/JKB
거듭날까	거듭나/VV+ㄹ까/EF


# id : NWRW1800000041.377.2.1
안전문제로 4년째 흉물 방치… 2개 컨소시엄서 재활용 제안

안전문제로	안전/NNG+문제/NNG+로/JKB
4년째	4/SN+년/NNB+째/XSN
흉물	흉물/NNG
방치…	방치/NNG+…/SE
2개	2/SN+개/NNB
컨소시엄서	컨소시엄/NNG+서/JKB
재활용	재/XPN+활용/NNG
제안	제안/NNG


# id : NWRW1800000041.377.3.1
인천교통공사는 안전 문제로 4년 넘게 개통하지 못하고 있는 국내 최초의 도심관광 모노레일인 ‘월미은하레일’의 재활용 사업에 2개 컨소시엄이 참여했다고 18일 밝혔다.

인천교통공사는	인천교통공사/NNP+는/JX
안전	안전/NNG
문제로	문제/NNG+로/JKB
4년	4/SN+년/NNB
넘게	넘/VV+게/EC
개통하지	개통/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
국내	국내/NNG
최초의	최초/NNG+의/JKG
도심관광	도심/NNG+관광/NNG
모노레일인	모노레일/NNG+이/VCP+ㄴ/ETM
‘월미은하레일’의	‘/SS+월미은하레일/NNP+’/SS+의/JKG
재활용	재/XPN+활용/NNG
사업에	사업/NNG+에/JKB
2개	2/SN+개/NNB
컨소시엄이	컨소시엄/NNG+이/JKS
참여했다고	참여/NNG+하/XSV+았/EP+다고/EC
18일	18/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.377.4.1
공사가 재공모한 결과 2개 컨소시엄이 190억∼198억 원을 들여 월미은하레일을 레일바이크로 재개통하기로 제안했다.

공사가	공사/NNG+가/JKS
재공모한	재/XPN+공모/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
2개	2/SN+개/NNB
컨소시엄이	컨소시엄/NNG+이/JKS
190억∼198억	190/SN+억/NR+∼/SO+198/SN+억/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
월미은하레일을	월미은하레일/NNP+을/JKO
레일바이크로	레일/NNG+바이크/NNG+로/JKB
재개통하기로	재/XPN+개통/NNG+하/XSV+기/ETN+로/JKB
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.377.4.2
지상에서 6∼15m 높이로 건설된 교각과 레일을 부분 재시공해 전동 및 수동 겸용의 ‘하늘 위 레일바이크’를 운행하기로 한 것이다.

지상에서	지상/NNG+에서/JKB
6∼15m	6/SN+∼/SO+15/SN+m/SW
높이로	높이/NNG+로/JKB
건설된	건설/NNG+되/XSV+ㄴ/ETM
교각과	교각/NNG+과/JC
레일을	레일/NNG+을/JKO
부분	부분/NNG
재시공해	재/XPN+시공/NNG+하/XSV+아/EC
전동	전동/NNG
및	및/MAG
수동	수동/NNG
겸용의	겸용/NNG+의/JKG
‘하늘	‘/SS+하늘/NNG
위	위/NNG
레일바이크’를	레일/NNG+바이크/NNG+’/SS+를/JKO
운행하기로	운행/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.377.4.3
이 시설이 완공되면 이용자가 교각 위 레일에서 자동 및 수동으로 조절할 수 있는 전동형 차량을 타고 경인전철 인천역∼월미도 간 6.1km를 순환 관광할 수 있게 된다.

이	이/MMD
시설이	시설/NNG+이/JKS
완공되면	완공/NNG+되/XSV+면/EC
이용자가	이용자/NNG+가/JKS
교각	교각/NNG
위	위/NNG
레일에서	레일/NNG+에서/JKB
자동	자동/NNG
및	및/MAG
수동으로	수동/NNG+으로/JKB
조절할	조절/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
전동형	전동/NNG+형/XSN
차량을	차량/NNG+을/JKO
타고	타/VV+고/EC
경인전철	경인/NNP+전철/NNG
인천역∼월미도	인천역/NNP+∼/SO+월미도/NNP
간	간/NNB
6.1km를	6/SN+./SP+1/SN+km/SW+를/JKO
순환	순환/NNG
관광할	관광/NNG+하/XSV+ㄹ/ETM
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.377.5.1
이들 컨소시엄은 18개월간 보수공사를 마친 뒤 20년간 매년 5억∼8억 원가량의 레일 사용료를 내면서 운영하기로 했다.

이들	이/NP+들/XSN
컨소시엄은	컨소시엄/NNG+은/JX
18개월간	18/SN+개월/NNB+간/XSN
보수공사를	보수/NNG+공사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
20년간	20/SN+년/NNB+간/XSN
매년	매년/MAG
5억∼8억	5/SN+억/NR+∼/SO+8/SN+억/NR
원가량의	원/NNB+가량/XSN+의/JKG
레일	레일/NNG
사용료를	사용료/NNG+를/JKO
내면서	내/VV+면서/EC
운영하기로	운영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.377.5.2
이후 재계약을 통해 운영을 계속하거나 공사 측에 시설 및 운영권을 넘겨주는 조건이다.

이후	이후/NNG
재계약을	재/XPN+계약/NNG+을/JKO
통해	통하/VV+아/EC
운영을	운영/NNG+을/JKO
