# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.224
metadata : {}


# id : NWRW1800000053.224.1.1
급류 타는 ‘2030 월드컵 南北中日 공동 개최’ 논의… 가능성 있지만 넘어야 할 산 많아

급류	급류/NNG
타는	타/VV+는/ETM
‘2030	‘/SS+2030/SN
월드컵	월드컵/NNG
南北中日	南北中日/SH
공동	공동/NNG
개최’	개최/NNG+’/SS
논의…	논의/NNG+…/SE
가능성	가능/NNG+성/XSN
있지만	있/VA+지만/EC
넘어야	넘/VV+어야/EC
할	하/VX+ㄹ/ETM
산	산/NNG
많아	많/VA+아/EF


# id : NWRW1800000053.224.2.1
정몽규 축구협회장이 3월 첫 제안 북미 3국도 2026대회 공동개최 추진

정몽규	정몽규/NNP
축구협회장이	축구협회장/NNG+이/JKS
3월	3/SN+월/NNB
첫	첫/MMN
제안	제안/NNG
북미	북미/NNP
3국도	3국/NNG+도/JX
2026대회	2026/SN+대회/NNG
공동개최	공동/NNG+개최/NNG
추진	추진/NNG


# id : NWRW1800000053.224.3.1
단독 개최 의지 강한 中日설득이 관건

단독	단독/NNG
개최	개최/NNG
의지	의지/NNG
강한	강하/VA+ㄴ/ETM
中日설득이	中日/SH+설득/NNG+이/JKS
관건	관건/NNG


# id : NWRW1800000053.224.4.1
문재인 대통령이 12일 잔니 인판티노 국제축구연맹(FIFA) 회장에게 제안한 동북아 4개국의 2030년 월드컵 공동개최 방안은 FIFA 평의원에 당선된 정몽규 대한축구협회 회장이 올해 3월 처음 제안한 것이다.

문재인	문재인/NNP
대통령이	대통령/NNG+이/JKS
12일	12/SN+일/NNB
잔니	잔니/NNP
인판티노	인판티노/NNP
국제축구연맹(FIFA)	국제축구연맹/NNP+(/SS+FIFA/SL+)/SS
회장에게	회장/NNG+에게/JKB
제안한	제안/NNG+하/XSV+ㄴ/ETM
동북아	동북아/NNP
4개국의	4/SN+개국/NNB+의/JKG
2030년	2030/SN+년/NNB
월드컵	월드컵/NNG
