# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.209
metadata : {}


# id : NWRW1800000040.209.1.1
외톨이 대구 고교생, 애완 거북이 남긴채…

외톨이	외톨이/NNG
대구	대구/NNP
고교생,	고교/NNG+생/XSN+,/SP
애완	애완/NNG
거북이	거북이/NNG
남긴채…	남기/VV+ㄴ/ETM+채/NNB+…/SE


# id : NWRW1800000040.209.2.1
방에서 숨진채 발견…자살로 추정

방에서	방/NNG+에서/JKB
숨진채	숨지/VV+ㄴ/ETM+채/NNB
발견…자살로	발견/NNG+…/SE+자살/NNG+로/JKB
추정	추정/NNG


# id : NWRW1800000040.209.3.1
평소 또래·가족과 거의 대화 안해

평소	평소/NNG
또래·가족과	또래/NNG+·/SP+가족/NNG+과/JKB
거의	거의/MAG
대화	대화/NNG
안해	안/MAG+하/VV+아/EF


# id : NWRW1800000040.209.4.1
친구가 거의 없이 외톨이로 지내온 것으로 알려진 고교생이 집에서 코와 입에 테이프가 감긴 상태로 숨진 채 발견됐다.

친구가	친구/NNG+가/JKS
거의	거의/MAG
없이	없이/MAG
외톨이로	외톨이/NNG+로/JKB
지내온	지내/VV+어/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
고교생이	고교/NNG+생/XSN+이/JKS
집에서	집/NNG+에서/JKB
코와	코/NNG+와/JC
입에	입/NNG+에/JKB
테이프가	테이프/NNG+가/JKS
감긴	감기/VV+ㄴ/ETM
상태로	상태/NNG+로/JKB
숨진	숨지/VV+ㄴ/ETM
채	채/NNB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.209.5.1
18일 0시21분께 대구 남구 단독주택 2층 안방에서 ㅎ(16·고교 2년)군이 코와 입 부위에 마스크 모양의 투명한 비닐테이프가 붙은 채 이불 위에 엎드려 숨져 있는 것을 부모가 발견해 경찰에 신고했다.

18일	18/SN+일/NNB
0시21분께	0/SN+시/NNB+21/SN+분/NNB+께/XSN
대구	대구/NNP
남구	남구/NNP
단독주택	단독/NNG+주택/NNG
2층	2/SN+층/NNG
안방에서	안방/NNG+에서/JKB
ㅎ(16·고교	ㅎ/NNG+(/SS+16/SN+·/SP+고교/NNG
2년)군이	2/SN+년/NNB+)/SS+군/NNB+이/JKS
코와	코/NNG+와/JC
입	입/NNG
부위에	부위/NNG+에/JKB
마스크	마스크/NNG
모양의	모양/NNG+의/JKG
투명한	투명/NNG+하/XSA+ㄴ/ETM
비닐테이프가	비닐/NNG+테이프/NNG+가/JKS
붙은	붙/VV+은/ETM
채	채/NNB
이불	이불/NNG
위에	위/NNG+에/JKB
엎드려	엎드리/VV+어/EC
숨져	숨지/VV+어/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
부모가	부모/NNG+가/JKS
발견해	발견/NNG+하/XSV+아/EC
경찰에	경찰/NNG+에/JKB
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.209.5.2
ㅎ군의 방 안 쓰레기통에서는 마스크 모양으로 만든 투명한 비닐테이프가 여러개 발견됐다.

ㅎ군의	ㅎ/NNG+군/NNB+의/JKG
방	방/NNG
안	안/NNG
쓰레기통에서는	쓰레기통/NNG+에서/JKB+는/JX
마스크	마스크/NNG
모양으로	모양/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
투명한	투명/NNG+하/XSA+ㄴ/ETM
비닐테이프가	비닐/NNG+테이프/NNG+가/JKS
여러개	여러/MMN+개/NNB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.209.5.3
현관문은 안에서 잠겨 있었고, 외부에서 침입하거나 저항한 흔적, 유서는 발견되지 않았다.

현관문은	현관문/NNG+은/JX
안에서	안/NNG+에서/JKB
잠겨	잠기/VV+어/EC
있었고,	있/VX+었/EP+고/EC+,/SP
외부에서	외부/NNG+에서/JKB
침입하거나	침입/NNG+하/XSV+거나/EC
저항한	저항/NNG+하/XSV+ㄴ/ETM
흔적,	흔적/NNG+,/SP
유서는	유서/NNG+는/JX
발견되지	발견/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.209.6.1
교사인 아버지(49)와 공무원인 어머니(50)는 지난 16일 오후 3시께 경북 청도군 친척집에서 제사를 지내러 집을 나서 귀가할 때까지 집을 비웠다.

교사인	교사/NNG+이/VCP+ㄴ/ETM
아버지(49)와	아버지/NNG+(/SS+49/SN+)/SS+와/JC
공무원인	공무원/NNG+이/VCP+ㄴ/ETM
어머니(50)는	어머니/NNG+(/SS+50/SN+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
오후	오후/NNG
3시께	3/SN+시/NNB+께/XSN
