# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.316
metadata : {}


# id : NWRW1800000034.316.1.1
국민은 포기한 '퇴직금 누진제', 적자 공기업은 챙겼다

국민은	국민/NNG+은/JX
포기한	포기/NNG+하/XSV+ㄴ/ETM
'퇴직금	'/SS+퇴직금/NNG
누진제',	누진/NNG+제/XSN+'/SS+,/SP
적자	적자/NNG
공기업은	공기업/NNG+은/JX
챙겼다	챙기/VV+었/EP+다/EF


# id : NWRW1800000034.316.2.1
서울메트로·도시철도公, 세금으로 적자 메우면서 8년간 197억 과다 지급… 퇴직충당금 1697억 쌓아

서울메트로·도시철도公,	서울메트로/NNP+·/SP+도시/NNG+철도/NNG+公/SH+,/SP
세금으로	세금/NNG+으로/JKB
적자	적자/NNG
메우면서	메우/VV+면서/EC
8년간	8/SN+년/NNB+간/XSN
197억	197/SN+억/NR
과다	과다/NNG
지급…	지급/NNG+…/SE
퇴직충당금	퇴직/NNG+충당금/NNG
1697억	1697/SN+억/NR
쌓아	쌓/VV+아/EC


# id : NWRW1800000034.316.3.1
서울 지하철을 운영하는 공기업 서울메트로와 서울도시철도공사에는 '퇴직금 누진제'라는 제도가 있다.

서울	서울/NNP
지하철을	지하철/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
공기업	공기업/NNG
서울메트로와	서울메트로/NNP+와/JC
서울도시철도공사에는	서울도시철도공사/NNP+에/JKB+는/JX
'퇴직금	'/SS+퇴직금/NNG
누진제'라는	누진/NNG+제/XSN+'/SS+이/VCP+라는/ETM
제도가	제도/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000034.316.4.1
법정퇴직금에 누진율(1.5~1.7배)을 곱해 퇴직금을 계산해주는 것으로, 오래 다닐수록 퇴직금이 불어난다.

법정퇴직금에	법정/NNG+퇴직금/NNG+에/JKB
누진율(1.5~1.7배)을	누진/NNG+율/XSN+(/SS+1/SN+./SP+5/SN+~/SO+1/SN+./SP+7/SN+배/NNG+)/SS+을/JKO
곱해	곱/NNG+하/XSV+아/EC
퇴직금을	퇴직금/NNG+을/JKO
계산해주는	계산/NNG+하/XSV+아/EC+주/VX+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
오래	오래/MAG
다닐수록	다니/VV+ㄹ수록/EC
