# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.4
metadata : {}


# id : NWRW1800000021.4.1.1
속끓는 평택-동두천… 느긋한 서울시

속끓는	속/NNG+끓/VV+는/ETM
평택-동두천…	평택/NNP+-/SO+동두천/NNP+…/SE
느긋한	느긋하/VA+ㄴ/ETM
서울시	서울시/NNP


# id : NWRW1800000021.4.2.1
“한마디로 평택을 초토화하자는 거죠, 초토화.”

“한마디로	“/SS+한마디/NNG+로/JKB
평택을	평택/NNP+을/JKO
초토화하자는	초토/NNG+화/XSN+하/XSV+자는/ETM
거죠,	거/NNB+이/VCP+죠/EF+,/SP
초토화.”	초토/NNG+화/XSN+./SF+”/SS


# id : NWRW1800000021.4.3.1
5일 오후 경기 평택시 팽성읍 안정리에서 만난 공인중개사 이모(53) 씨는 미군기지 이전이 또다시 2016년으로 연기된다는 소식에 분통을 터뜨렸다.

5일	5/SN+일/NNB
오후	오후/NNG
경기	경기/NNP
평택시	평택시/NNP
팽성읍	팽성읍/NNP
안정리에서	안정리/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
공인중개사	공인/NNG+중개사/NNG
이모(53)	이/NNP+모/NP+(/SS+53/SN+)/SS
씨는	씨/NNB+는/JX
미군기지	미군/NNG+기지/NNG
이전이	이전/NNG+이/JKS
또다시	또다시/MAG
2016년으로	2016/SN+년/NNB+으로/JKB
연기된다는	연기/NNG+되/XSV+ㄴ다는/ETM
소식에	소식/NNG+에/JKB
분통을	분통/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.4.4.1
미군기지가 옮겨와 지역경제가 활성화할 것으로 믿고 5년 전 이곳에 온 이 씨는 “주변을 둘러봐라, 돌아다니는 사람이 있느냐”면서 “이곳에는 아무것도 이뤄진 것이 없다”고 주장했다.

미군기지가	미군/NNG+기지/NNG+가/JKS
옮겨와	옮기/VV+어/EC+오/VV+아/EC
지역경제가	지역/NNG+경제/NNG+가/JKS
활성화할	활성/NNG+화/XSN+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
믿고	믿/VV+고/EC
5년	5/SN+년/NNB
전	전/NNG
이곳에	이곳/NP+에/JKB
온	오/VV+ㄴ/ETM
이	이/NNP
씨는	씨/NNB+는/JX
“주변을	“/SS+주변/NNG+을/JKO
둘러봐라,	둘러보/VV+아라/EF+,/SP
돌아다니는	돌아다니/VV+는/ETM
사람이	사람/NNG+이/JKS
있느냐”면서	있/VA+느냐/EF+”/SS+면서/EC
“이곳에는	“/SS+이곳/NP+에/JKB+는/JX
아무것도	아무것/NNG+도/JX
이뤄진	이뤄지/VV+ㄴ/ETM
것이	것/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.4.4.2
