# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.364
metadata : {}


# id : NWRW1800000044.364.1.1
정성근, 지난해 “공지영·조국 등 북한 가서 살 자유 있다”

정성근,	정성근/NNP+,/SP
지난해	지난해/NNG
“공지영·조국	“/SS+공지영/NNP+·/SP+조국/NNP
등	등/NNB
북한	북한/NNP
가서	가/VV+아서/EC
살	살/VV+ㄹ/ETM
자유	자유/NNG
있다”	있/VA+다/EF+”/SS


# id : NWRW1800000044.364.2.1
[한겨레] 비판적 지식인에 SNS서 이념공세

[한겨레]	[/SS+한겨레/NNP+]/SS
비판적	비판/NNG+적/XSN
지식인에	지식인/NNG+에/JKB
SNS서	SNS/SL+서/JKB
이념공세	이념/NNG+공세/NNG


# id : NWRW1800000044.364.3.1
정의구현사제단 향해 “축출해야”

정의구현사제단	정의구현사제단/NNP
향해	향하/VV+아/EC
“축출해야”	“/SS+축출/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000044.364.4.1
조정식 의원 “박근혜 호위무사 자처

조정식	조정식/NNP
의원	의원/NNG
“박근혜	“/SS+박근혜/NNP
호위무사	호위/NNG+무사/NNG
자처	자처/NNG


# id : NWRW1800000044.364.5.1
문화·종교 관련 공무수행 부적절”

문화·종교	문화/NNG+·/SP+종교/NNG
관련	관련/NNG
공무수행	공무/NNG+수행/NNG
부적절”	부적절/XR+”/SS


# id : NWRW1800000044.364.6.1
정성근 문화체육관광부 장관 후보자가 2012년부터 소셜네트워크서비스(SNS)상에서 원색적 이념 공세를 펼쳐온 사실이 20일 드러났다.

정성근	정성근/NNP
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
장관	장관/NNG
후보자가	후보자/NNG+가/JKS
2012년부터	2012/SN+년/NNB+부터/JX
소셜네트워크서비스(SNS)상에서	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+상/XSN+에서/JKB
원색적	원색/NNG+적/XSN
이념	이념/NNG
공세를	공세/NNG+를/JKO
펼쳐온	펼치/VV+어/EC+오/VX+ㄴ/ETM
사실이	사실/NNG+이/JKS
20일	20/SN+일/NNB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.364.6.2
야당 정치인과 교수·성직자·작가 등 정부에 비판적인 지식인들을 상대로 펼친 정 후보자의 무차별 색깔 시비는 그가 “국정 홍보와 국민과의 소통에 기여할 적임자”라는 청와대의 발탁 사유를 무색하게 한다.

야당	야당/NNG
정치인과	정치인/NNG+과/JC
교수·성직자·작가	교수/NNG+·/SP+성직자/NNG+·/SP+작가/NNG
등	등/NNB
정부에	정부/NNG+에/JKB
비판적인	비판/NNG+적/XSN+이/VCP+ㄴ/ETM
지식인들을	지식인/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
펼친	펼치/VV+ㄴ/ETM
정	정/NNP
후보자의	후보자/NNG+의/JKG
무차별	무/XPN+차별/NNG
색깔	색깔/NNG
시비는	시비/NNG+는/JX
그가	그/NP+가/JKS
“국정	“/SS+국정/NNG
홍보와	홍보/NNG+와/JC
국민과의	국민/NNG+과/JKB+의/JKG
소통에	소통/NNG+에/JKB
기여할	기여/NNG+하/XSV+ㄹ/ETM
적임자”라는	적임자/NNG+”/SS+이/VCP+라는/ETM
청와대의	청와대/NNP+의/JKG
발탁	발탁/NNG
사유를	사유/NNG+를/JKO
무색하게	무색하/VA+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.364.7.1
이날 조정식 새정치민주연합 의원에 따르면, 정 후보자는 새누리당 당협위원장이던 지난해 9월6일 자신의 트위터에 “최근 종북·파괴주의자들의 준동을 보면서 국민의 선택이 박근혜가 아니었다면?

이날	이날/NNG
조정식	조정식/NNP
새정치민주연합	새정치민주연합/NNP
의원에	의원/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
정	정/NNP
후보자는	후보자/NNG+는/JX
새누리당	새누리당/NNP
당협위원장이던	당협/NNG+위원장/NNG+이/VCP+던/ETM
지난해	지난해/NNG
9월6일	9/SN+월/NNB+6/SN+일/NNB
자신의	자신/NNG+의/JKG
트위터에	트위터/NNP+에/JKB
“최근	“/SS+최근/NNG
종북·파괴주의자들의	종북/NNG+·/SP+파괴주의자/NNG+들/XSN+의/JKG
준동을	준동/NNG+을/JKO
보면서	보/VV+면서/EC
국민의	국민/NNG+의/JKG
선택이	선택/NNG+이/JKS
박근혜가	박근혜/NNP+가/JKC
아니었다면?	아니/VCN+었/EP+다면/EC+?/SF


# id : NWRW1800000044.364.7.2
문재인이었다면?

문재인이었다면?	문재인/NNP+이/VCP+었/EP+다면/EC+?/SF


# id : NWRW1800000044.364.7.3
모골이 송연하다”고 적었다.

모골이	모골/NNG+이/JKS
송연하다”고	송연하/VA+다/EF+”/SS+고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.364.7.4
11월 말에는 “조국·박창신·공지영·김용민… 이 사람들 북한 가서 살 수 있게 대한민국 헌법에 거주 이전의 자유가 있다는 걸 상기시켜 드린다”고 조롱했다.

11월	11/SN+월/NNB
말에는	말/NNB+에/JKB+는/JX
“조국·박창신·공지영·김용민…	“/SS+조국/NNP+·/SP+박창신/NNP+·/SP+공지영/NNP+·/SP+김용민/NNP+…/SE
이	이/MMD
사람들	사람/NNG+들/XSN
북한	북한/NNP
가서	가/VV+아서/EC
살	살/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
대한민국	대한민국/NNP
헌법에	헌법/NNG+에/JKB
거주	거주/NNG
이전의	이전/NNG+의/JKG
자유가	자유/NNG+가/JKS
있다는	있/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
상기시켜	상기/NNG+시키/XSV+어/EC
드린다”고	드리/VX+ㄴ다/EF+”/SS+고/JKQ
조롱했다.	조롱/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.364.7.5
박근혜 대통령과 정부에 비판적 견해를 가진 이들을 ‘종북’으로 몰아세우는 극단적 진영논리를 노골적으로 드러낸 셈이다.

박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JC
정부에	정부/NNG+에/JKB
비판적	비판/NNG+적/XSN
견해를	견해/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
이들을	이/NP+들/XSN+을/JKO
‘종북’으로	‘/SS+종북/NNG+’/SS+으로/JKB
몰아세우는	몰아세우/VV+는/ETM
극단적	극단/NNG+적/XSN
진영논리를	진영/NNG+논리/NNG+를/JKO
노골적으로	노골/NNG+적/XSN+으로/JKB
드러낸	드러내/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.364.7.6
정 후보자가 이 트위트를 올린 2013년 9~11월은 지난 대선 당시 국가정보원 요원들이 야당 후보를 비난하는 인터넷 댓글을 조직적으로 올린 사실이 드러나 대통령 사과와 특검 도입을 촉구하는 촛불시위가 확산되던 때였다.

정	정/NNP
후보자가	후보자/NNG+가/JKS
이	이/MMD
트위트를	트위트/NNG+를/JKO
