# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.169
metadata : {}


# id : NWRW1800000046.169.1.1
5審 가는 '국정원 댓글'… 결론 정권末에 나올 듯

5審	5/SN+審/SH
가는	가/VV+는/ETM
'국정원	'/SS+국정원/NNG
댓글'…	댓글/NNG+'/SS+…/SE
결론	결론/NNG
정권末에	정권/NNG+末/SH+에/JKB
나올	나오/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000046.169.2.1
파기환송되자 법조계 일부서도 "대법원이 정치적 판결"

파기환송되자	파기/NNG+환송/NNG+되/XSV+자/EC
법조계	법조/NNG+계/XSN
일부서도	일부/NNG+서/JKB+도/JX
"대법원이	"/SS+대/XPN+법원/NNG+이/JKS
정치적	정치/NNG+적/XSN
판결"	판결/NNG+"/SS


# id : NWRW1800000046.169.3.1
대법원이 '국정원 댓글 사건'에 대해 "증거 채택이 잘못됐다"며 원심을 파기하면서 이 사건은 '5심'을 거쳐 현 정부 말기에 최종 결론이 나올 것이라는 전망이 우세해졌다.

대법원이	대/XPN+법원/NNG+이/JKS
'국정원	'/SS+국정원/NNG
댓글	댓글/NNG
사건'에	사건/NNG+'/SS+에/JKB
대해	대하/VV+아/EC
"증거	"/SS+증거/NNG
채택이	채택/NNG+이/JKS
잘못됐다"며	잘못/MAG+되/XSV+었/EP+다/EF+"/SS+며/EC
원심을	원심/NNG+을/JKO
파기하면서	파기/NNG+하/XSV+면서/EC
이	이/MMD
사건은	사건/NNG+은/JX
'5심'을	'/SS+5심/NNG+'/SS+을/JKO
거쳐	거치/VV+어/EC
현	현/MMD
정부	정부/NNG
말기에	말기/NNG+에/JKB
최종	최종/NNG
결론이	결론/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
우세해졌다.	우세/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.169.3.2
대법원은 전날(16일) 원세훈(64) 전 국정원장에 대해 유무죄 결론을 내리지 않아 사실상 2심을 한 번 더 하게 됐고 그 결과에 대한 대법원 재상고가 불가피해졌기 때문이다.

대법원은	대/XPN+법원/NNG+은/JX
전날(16일)	전날/NNG+(/SS+16/SN+일/NNB+)/SS
원세훈(64)	원세훈/NNP+(/SS+64/SN+)/SS
전	전/MMD
국정원장에	국정원장/NNG+에/JKB
대해	대하/VV+아/EC
유무죄	유무죄/NNG
결론을	결론/NNG+을/JKO
내리지	내리/VV+지/EC
않아	않/VX+아/EC
사실상	사실/NNG+상/XSN
2심을	2심/NNG+을/JKO
한	한/MMN
번	번/NNB
더	더/MAG
하게	하/VV+게/EC
됐고	되/VV+었/EP+고/EC
그	그/MMD
결과에	결과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대법원	대/XPN+법원/NNG
재상고가	재/XPN+상고/NNG+가/JKS
불가피해졌기	불가피하/VA+아/EC+지/VX+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.169.4.1
대법원이 이번에 사건을 서울고법으로 돌려보내면서 이 사건은 '3심제'가 아니라 '5심제'로 진행될 것으로 보인다.

대법원이	대/XPN+법원/NNG+이/JKS
이번에	이번/NNG+에/JKB
사건을	사건/NNG+을/JKO
서울고법으로	서울고법/NNP+으로/JKB
돌려보내면서	돌려보내/VV+면서/EC
이	이/MMD
사건은	사건/NNG+은/JX
'3심제'가	'/SS+3심/NNG+제/XSN+'/SS+가/JKC
아니라	아니/VCN+라/EC
'5심제'로	'/SS+5심/NNG+제/XSN+'/SS+로/JKB
진행될	진행/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.169.4.2
통상 대법원이 사건을 파기환송할 때에는 어떤 부분의 해석이 잘못됐는지를 설명하기 때문에 파기환송심 재판부는 대법관들의 '가이드'에 맞춘 결론을 내놓는다.

통상	통상/MAG
대법원이	대/XPN+법원/NNG+이/JKS
사건을	사건/NNG+을/JKO
파기환송할	파기/NNG+환송/NNG+하/XSV+ㄹ/ETM
때에는	때/NNG+에/JKB+는/JX
어떤	어떤/MMD
부분의	부분/NNG+의/JKG
해석이	해석/NNG+이/JKS
잘못됐는지를	잘못/MAG+되/XSV+었/EP+는지/EF+를/JKO
설명하기	설명/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
파기환송심	파기/NNG+환송심/NNG
재판부는	재판부/NNG+는/JX
대법관들의	대/XPN+법관/NNG+들/XSN+의/JKG
'가이드'에	'/SS+가이드/NNG+'/SS+에/JKB
맞춘	맞추/VV+ㄴ/ETM
결론을	결론/NNG+을/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000046.169.4.3
이 경우 재상고를 하더라도 크게 실익이 없기 때문에 파기환송 사건은 '4심'으로 마무리되는 경우가 많다.

이	이/MMD
경우	경우/NNG
재상고를	재/XPN+상고/NNG+를/JKO
하더라도	하/VV+더라도/EC
크게	크/VA+게/EC
실익이	실익/NNG+이/JKS
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
파기환송	파기/NNG+환송/NNG
사건은	사건/NNG+은/JX
'4심'으로	'/SS+4심/NNG+'/SS+으로/JKB
