# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.214
metadata : {}


# id : NWRW1800000037.214.1.1
‘꿀벅지’일수록 당뇨병 걸릴 가능성 낮다

‘꿀벅지’일수록	‘/SS+꿀벅지/NNG+’/SS+이/VCP+ㄹ수록/EC
당뇨병	당뇨병/NNG
걸릴	걸리/VV+ㄹ/ETM
가능성	가능/NNG+성/XSN
낮다	낮/VA+다/EF


# id : NWRW1800000037.214.2.1
허벅지 둘레 1cm 줄어들 때마다 당뇨 위험 男8.3%-女9.6% 증가 “굵은 허벅지, 운동 많이 했다는 뜻”

허벅지	허벅지/NNG
둘레	둘레/NNG
1cm	1/SN+cm/SW
줄어들	줄어들/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
당뇨	당뇨/NNG
위험	위험/NNG
男8.3%-女9.6%	男/SH+8/SN+./SP+3/SN+%/SW+-/SO+女/SH+9/SN+./SP+6/SN+%/SW
증가	증가/NNG
“굵은	“/SS+굵/VA+은/ETM
허벅지,	허벅지/NNG+,/SP
운동	운동/NNG
많이	많이/MAG
했다는	하/VV+았/EP+다는/ETM
뜻”	뜻/NNG+”/SS


# id : NWRW1800000037.214.3.1
허벅지 둘레가 1cm 줄어들 때마다 당뇨병에 걸릴 위험이 남자는 8.3%, 여자는 9.6%씩 높아진다는 연구 결과가 나왔다.

허벅지	허벅지/NNG
둘레가	둘레/NNG+가/JKS
1cm	1/SN+cm/SW
줄어들	줄어들/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
당뇨병에	당뇨병/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
남자는	남자/NNG+는/JX
8.3%,	8/SN+./SP+3/SN+%/SW+,/SP
여자는	여자/NNG+는/JX
9.6%씩	9/SN+./SP+6/SN+%/SW+씩/XSN
높아진다는	높아지/VV+ㄴ다는/ETM
연구	연구/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.214.4.1
지선하 연세대 보건대학원 교수는 30∼79세 남녀 32만 명을 대상으로 연구한 결과 이러한 상관관계가 나왔다고 19일 밝혔다.

지선하	지선하/NNP
연세대	연세대/NNP
보건대학원	보건/NNG+대학원/NNG
교수는	교수/NNG+는/JX
30∼79세	30/SN+∼/SO+79/SN+세/NNB
남녀	남녀/NNG
32만	32/SN+만/NR
명을	명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
연구한	연구/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
이러한	이러하/VA+ㄴ/ETM
상관관계가	상관관계/NNG+가/JKS
나왔다고	나오/VV+았/EP+다고/EC
19일	19/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.214.4.2
이번 연구는 한국의학연구소(KMI)에서 2009∼2011년 건강검진을 받은 사람들의 자료를 바탕으로 시행됐다.

이번	이번/NNG
연구는	연구/NNG+는/JX
한국의학연구소(KMI)에서	한국의학연구소/NNP+(/SS+KMI/SL+)/SS+에서/JKB
2009∼2011년	2009/SN+∼/SO+2011/SN+년/NNB
건강검진을	건강/NNG+검진/NNG+을/JKO
받은	받/VV+은/ETM
사람들의	사람/NNG+들/XSN+의/JKG
자료를	자료/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
시행됐다.	시행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.214.5.1
남성은 허벅지 둘레가 43cm 미만이면 60cm 이상인 사람에 비해 당뇨병에 걸릴 확률이 4.0배 높았다.

남성은	남성/NNG+은/JX
허벅지	허벅지/NNG
둘레가	둘레/NNG+가/JKS
43cm	43/SN+cm/SW
미만이면	미만/NNG+이/VCP+면/EC
60cm	60/SN+cm/SW
이상인	이상/NNG+이/VCP+ㄴ/ETM
사람에	사람/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
당뇨병에	당뇨병/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
확률이	확률/NNG+이/JKS
4.0배	4/SN+./SP+0/SN+배/NNG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.214.5.2
여성은 허벅지 둘레가 43cm 미만이면 57cm 이상인 사람에 비해 당뇨병에 걸릴 확률이 5.4배 높았다.

여성은	여성/NNG+은/JX
허벅지	허벅지/NNG
둘레가	둘레/NNG+가/JKS
43cm	43/SN+cm/SW
미만이면	미만/NNG+이/VCP+면/EC
57cm	57/SN+cm/SW
이상인	이상/NNG+이/VCP+ㄴ/ETM
사람에	사람/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
당뇨병에	당뇨병/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
확률이	확률/NNG+이/JKS
5.4배	5/SN+./SP+4/SN+배/NNG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.214.6.1
지 교수는 “허벅지가 굵다는 것은 운동을 많이 해 근육량이 늘어났다는 뜻”이라며 “운동을 많이 하는 사람은 당뇨병에 걸릴 위험도 낮다”라고 설명했다.

지	지/NNP
교수는	교수/NNG+는/JX
“허벅지가	“/SS+허벅지/NNG+가/JKS
굵다는	굵/VA+다는/ETM
것은	것/NNB+은/JX
운동을	운동/NNG+을/JKO
많이	많이/MAG
해	하/VV+아/EC
근육량이	근육량/NNG+이/JKS
늘어났다는	늘어나/VV+았/EP+다는/ETM
뜻”이라며	뜻/NNG+”/SS+이/VCP+라며/EC
“운동을	“/SS+운동/NNG+을/JKO
하는	하/VV+는/ETM
사람은	사람/NNG+은/JX
당뇨병에	당뇨병/NNG+에/JKB
걸릴	걸리/VV+ㄹ/ETM
위험도	위험/NNG+도/JX
낮다”라고	낮/VA+다/EF+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


