# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.102
metadata : {}


# id : NWRW1800000056.102.1.1
리플릿, 세상을 여는 ‘문’

리플릿,	리플릿/NNG+,/SP
세상을	세상/NNG+을/JKO
여는	열/VV+는/ETM
‘문’	‘/SS+문/NNG+’/SS


# id : NWRW1800000056.102.2.1
[한겨레] 잠깐 독서

[한겨레]	[/SS+한겨레/NNP+]/SS
잠깐	잠깐/MAG
독서	독서/NNG


# id : NWRW1800000056.102.3.1
리플릿-바깥을 향해 읽어라

리플릿-바깥을	리플릿/NNG+-/SO+바깥/NNG+을/JKO
향해	향하/VV+아/EC
읽어라	읽/VV+어라/EF


# id : NWRW1800000056.102.4.1
백민석 지음/한겨레출판·1만6000원

백민석	백민석/NNP
지음/한겨레출판·1만6000원	짓/VV+음/ETN+//SP+한겨레출판/NNP+·/SP+1/SN+만/NR+6000/SN+원/NNB


# id : NWRW1800000056.102.5.1
서울 종로구 소격동 아트선재센터에서는 1월6일부터 3월12일까지 장영혜중공업의 신작 ‘세 개의 쉬운 비디오 자습서로 보는 삶’이 전시된다.

서울	서울/NNP
종로구	종로구/NNP
소격동	소격동/NNP
아트선재센터에서는	아트선재센터/NNP+에서/JKB+는/JX
1월6일부터	1/SN+월/NNB+6/SN+일/NNB+부터/JX
3월12일까지	3/SN+월/NNB+12/SN+일/NNB+까지/JX
장영혜중공업의	장영혜중공업/NNP+의/JKG
신작	신작/NNG
‘세	‘/SS+세/MMN
개의	개/NNB+의/JKG
쉬운	쉽/VA+ㄴ/ETM
비디오	비디오/NNG
자습서로	자습서/NNG+로/JKB
보는	보/VV+는/ETM
삶’이	삶/NNG+’/SS+이/JKS
전시된다.	전시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.102.5.2
먼 훗날, 누군가 이 전시 리플릿을 들여다본다면 거기서 무엇을 보게 될까?

먼	멀/VA+ㄴ/ETM
훗날,	훗날/NNG+,/SP
