# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.281
metadata : {}


# id : NWRW1800000040.281.1.1
‘호타준족’ 박재홍 은퇴…“직설적 야구해설 기대하세요”

‘호타준족’	‘/SS+호타준족/NNG+’/SS
박재홍	박재홍/NNP
은퇴…“직설적	은퇴/NNG+…/SE+“/SS+직설/NNG+적/XSN
야구해설	야구/NNG+해설/NNG
기대하세요”	기대/NNG+하/XSV+시/EP+어요/EF+”/SS


# id : NWRW1800000040.281.2.1
‘300-300’ 기록에 도루 33개 부족

‘300-300’	‘/SS+300/SN+-/SO+300/SN+’/SS
기록에	기록/NNG+에/JKB
도루	도루/NNG
33개	33/SN+개/NNB
부족	부족/NNG


# id : NWRW1800000040.281.3.1
“선수협회장 맡고 후회한 적 없어

“선수협회장	“/SS+선수/NNG+협회장/NNG
맡고	맡/VV+고/EC
후회한	후회/NNG+하/XSV+ㄴ/ETM
적	적/NNB
없어	없/VA+어/EC


# id : NWRW1800000040.281.4.1
언젠가 지도자로 현장 복귀할 것”

언젠가	언젠가/MAG
지도자로	지도자/NNG+로/JKB
현장	현장/NNG
복귀할	복귀/NNG+하/XSV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000040.281.5.1
“남은 도루 33개는 못 하지만 대신 방송에서 시청자 마음을 훔치겠습니다.”

“남은	“/SS+남/VV+은/ETM
도루	도루/NNG
33개는	33/SN+개/NNB+는/JX
못	못/MAG
하지만	하/VV+지만/EC
대신	대신/NNG
방송에서	방송/NNG+에서/JKB
시청자	시청자/NNG
마음을	마음/NNG+을/JKO
훔치겠습니다.”	훔치/VV+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000040.281.6.1
통산 300(홈런)-300(도루)의 대기록에 도루 33개를 남겨두고 그라운드를 떠나야 하는 아쉬움이 오죽할까.

통산	통산/NNG
300(홈런)-300(도루)의	300/SN+(/SS+홈런/NNG+)/SS+-/SO+300/SN+(/SS+도루/NNG+)/SS+의/JKG
대기록에	대/XPN+기록/NNG+에/JKB
도루	도루/NNG
33개를	33/SN+개/NNB+를/JKO
남겨두고	남기/VV+어/EC+두/VX+고/EC
그라운드를	그라운드/NNG+를/JKO
떠나야	떠나/VV+아야/EC
하는	하/VX+는/ETM
아쉬움이	아쉬움/NNG+이/JKS
오죽할까.	오죽/MAG+하/XSA+ㄹ까/EF+./SF


# id : NWRW1800000040.281.6.2
25일 서울 마포의 한 호텔에서 은퇴 기자회견을 연 박재홍(40·사진)은 “마지막 야구 인생을 걸고 기록을 이루고 싶었지만 아쉽다.

25일	25/SN+일/NNB
서울	서울/NNP
마포의	마포/NNP+의/JKG
한	한/MMN
