# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.272
metadata : {}


# id : NWRW1800000052.272.1.1
“핸드볼 보러 오세요”

“핸드볼	“/SS+핸드볼/NNG
보러	보/VV+러/EC
오세요”	오/VV+시/EP+어요/EF+”/SS


# id : NWRW1800000052.272.2.1
코리아리그 29일부터 대장정

코리아리그	코리아/NNP+리그/NNG
29일부터	29/SN+일/NNB+부터/JX
대장정	대/XPN+장정/NNG


# id : NWRW1800000052.272.3.1
2016 핸드볼 코리아리그가 29일 서울 에스케이(SK)핸드볼경기장에서 개막한다.

2016	2016/SN
핸드볼	핸드볼/NNG
코리아리그가	코리아/NNP+리그/NNG+가/JKS
29일	29/SN+일/NNB
서울	서울/NNP
에스케이(SK)핸드볼경기장에서	에스케이/NNP+(/SS+SK/SL+)/SS+핸드볼/NNG+경기장/NNG+에서/JKB
개막한다.	개막/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.272.4.1
여자부 서울시청과 부산시설공단의 경기로 막이 오르는 2016 핸드볼 코리아리그는 9월26일까지 남녀 3라운드씩 장기 레이스를 펼친다.

여자부	여자부/NNG
서울시청과	서울시청/NNP+과/JC
부산시설공단의	부산시설공단/NNP+의/JKG
경기로	경기/NNG+로/JKB
막이	막/NNG+이/JKS
오르는	오르/VV+는/ETM
2016	2016/SN
핸드볼	핸드볼/NNG
코리아리그는	코리아/NNP+리그/NNG+는/JX
9월26일까지	9/SN+월/NNB+26/SN+일/NNB+까지/JX
남녀	남녀/NNG
3라운드씩	3/SN+라운드/NNG+씩/XSN
장기	장기/NNG
레이스를	레이스/NNG+를/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.272.4.2
다만 올해는 리우올림픽 대표팀이 소집되는 3월말 이후 4개월 정도 휴식기를 갖는다.

다만	다만/MAG
올해는	올해/NNG+는/JX
리우올림픽	리우/NNP+올림픽/NNG
대표팀이	대표/NNG+팀/NNG+이/JKS
소집되는	소집/NNG+되/XSV+는/ETM
3월말	3/SN+월/NNB+말/NNB
이후	이후/NNG
4개월	4/SN+개월/NNB
정도	정도/NNG
휴식기를	휴식기/NNG+를/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000052.272.5.1
핸드볼 리그는 올해부터 주말 리그를 활성화하는 등 일정을 대폭 조정했다.

핸드볼	핸드볼/NNG
