# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.225
metadata : {}


# id : NWRW1800000033.225.1.1
강민호 “내가 해결사”… 연장 11회 끝내기 안타

강민호	강민호/NNP
“내가	“/SS+내/NP+가/JKS
해결사”…	해결사/NNG+”/SS+…/SE
연장	연장/NNG
11회	11/SN+회/NNB
끝내기	끝내기/NNG
안타	안타/NNG


# id : NWRW1800000033.225.2.1
롯데, LG 3-2 꺾고 2위

롯데,	롯데/NNP+,/SP
LG	LG/SL
3-2	3/SN+-/SO+2/SN
꺾고	꺾/VV+고/EC
2위	2/SN+위/NNB


# id : NWRW1800000033.225.3.1
30일 LG와 롯데의 사직 경기는 다승 1위 주키치(6승)와 공동 2위 이용훈(5승 1패 1세이브)의 선발 대결로 관심을 모았다.

30일	30/SN+일/NNB
LG와	LG/SL+와/JC
롯데의	롯데/NNP+의/JKG
사직	사직/NNP
경기는	경기/NNG+는/JX
다승	다승/NNG
1위	1/SN+위/NNB
주키치(6승)와	주키치/NNP+(/SS+6/SN+승/NNB+)/SS+와/JC
공동	공동/NNG
2위	2/SN+위/NNB
이용훈(5승	이용훈/NNP+(/SS+5/SN+승/NNB
1패	1/SN+패/NNB
1세이브)의	1/SN+세이브/NNG+)/SS+의/JKG
선발	선발/NNG
대결로	대결/NNG+로/JKB
관심을	관심/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.225.3.2
경기 초반만 해도 주키치의 7연승이 유력해 보였다.

경기	경기/NNG
초반만	초반/NNG+만/JX
해도	하/VV+아도/EC
주키치의	주키치/NNP+의/JKG
7연승이	7/SN+연승/NNG+이/JKS
유력해	유력/NNG+하/XSA+아/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.225.3.3
LG가 2회초 이용훈의 난조를 틈타 2-0으로 앞서 나갔기 때문이다.

LG가	LG/SL+가/JKS
2회초	2/SN+회/NNB+초/NNB
이용훈의	이용훈/NNP+의/JKG
난조를	난조/NNG+를/JKO
틈타	틈타/VV+아/EC
2-0으로	2/SN+-/SO+0/SN+으로/JKB
앞서	앞서/VV+어/EC
나갔기	나가/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.225.3.4
하지만 롯데는 3회까지 1안타만 내주며 호투하던 주키치를 상대로 4회 안타 3개를 몰아쳐 동점을 만들었다.

하지만	하지만/MAJ
롯데는	롯데/NNP+는/JX
3회까지	3/SN+회/NNB+까지/JX
1안타만	1/SN+안타/NNG+만/JX
내주며	내주/VV+며/EC
호투하던	호투/NNG+하/XSV+던/ETM
