# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.70
metadata : {}


# id : NWRW1800000040.70.1.1
일본, 중국 겨냥 자위대 정비 박차

일본,	일본/NNP+,/SP
중국	중국/NNP
겨냥	겨냥/NNG
자위대	자위대/NNG
정비	정비/NNG
박차	박차/NNG


# id : NWRW1800000040.70.2.1
새해벽두부터…군사력·영토 신경전

새해벽두부터…군사력·영토	새해/NNG+벽두/NNG+부터/JX+…/SE+군사력/NNG+·/SP+영토/NNG
신경전	신경전/NNG


# id : NWRW1800000040.70.3.1
육해공 ‘통합방위전략’ 수립 착수

육해공	육해공/NNG
‘통합방위전략’	‘/SS+통합/NNG+방위/NNG+전략/NNG+’/SS
수립	수립/NNG
착수	착수/NNG


# id : NWRW1800000040.70.4.1
중, 센카쿠 해역에 해양감시선 진입

중,	중/NNP+,/SP
센카쿠	센카쿠/NNP
해역에	해역/NNG+에/JKB
해양감시선	해양/NNG+감시선/NNG
진입	진입/NNG


# id : NWRW1800000040.70.5.1
일본이 중국을 겨냥해 군사력 정비에 박차를 가하고 있다.

일본이	일본/NNP+이/JKS
중국을	중국/NNP+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
군사력	군사력/NNG
정비에	정비/NNG+에/JKB
박차를	박차/NNG+를/JKO
가하고	가하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.70.5.2
2011년부터 2015년까지의 방위 계획을 담은 ‘방위계획대강’을 올해 앞당겨 개정하기로 한데 이어, 육해공 자위대의 방위력을 일원화하는 통합방위전략도 올해 안에 수립한다.

2011년부터	2011/SN+년/NNB+부터/JX
2015년까지의	2015/SN+년/NNB+까지/JX+의/JKG
방위	방위/NNG
계획을	계획/NNG+을/JKO
담은	담/VV+은/ETM
‘방위계획대강’을	‘/SS+방위/NNG+계획/NNG+대강/NNG+’/SS+을/JKO
올해	올해/NNG
앞당겨	앞당기/VV+어/EC
개정하기로	개정/NNG+하/XSV+기/ETN+로/JKB
한데	하/VV+ㄴ데/EC
이어,	잇/VV+어/EC+,/SP
육해공	육해공/NNG
자위대의	자위대/NNG+의/JKG
방위력을	방위력/NNG+을/JKO
일원화하는	일원/NNG+화/XSN+하/XSV+는/ETM
통합방위전략도	통합/NNG+방위/NNG+전략/NNG+도/JX
안에	안/NNG+에/JKB
수립한다.	수립/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.70.6.1
<산케이신문>은 1일 “방위성이 10∼20년 뒤에 일어날 것으로 예상되는 긴급사태 시나리오에 바탕을 두고, 육·해·공 자위대의 전력을 일원화하는 ‘통합방위전략’ 수립에 착수한다”고 보도했다.

<산케이신문>은	</SS+산케이신문/NNP+>/SS+은/JX
1일	1/SN+일/NNB
“방위성이	“/SS+방위성/NNG+이/JKS
10∼20년	10/SN+∼/SO+20/SN+년/NNB
뒤에	뒤/NNG+에/JKB
일어날	일어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
긴급사태	긴급/NNG+사태/NNG
시나리오에	시나리오/NNG+에/JKB
바탕을	바탕/NNG+을/JKO
두고,	두/VV+고/EC+,/SP
육·해·공	육·해·공/NNG
자위대의	자위대/NNG+의/JKG
전력을	전력/NNG+을/JKO
일원화하는	일원/NNG+화/XSN+하/XSV+는/ETM
‘통합방위전략’	‘/SS+통합/NNG+방위/NNG+전략/NNG+’/SS
수립에	수립/NNG+에/JKB
착수한다”고	착수/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.70.6.2
보도를 보면 방위성은 중국의 센카쿠열도(중국명 댜오위다오)와 대만 침공, 그리고 북한의 미사일 공격이나 러시아의 공격 등을 가정해 이에 대응하는 통합방위전략의 수립을 올 여름까지 마무리하기로 했다.

보도를	보도/NNG+를/JKO
보면	보/VV+면/EC
방위성은	방위성/NNG+은/JX
중국의	중국/NNP+의/JKG
센카쿠열도(중국명	센카쿠열도/NNP+(/SS+중국/NNP+명/NNG
댜오위다오)와	댜오위다오/NNP+)/SS+와/JKB
대만	대만/NNP
침공,	침공/NNG+,/SP
그리고	그리고/MAJ
북한의	북한/NNP+의/JKG
미사일	미사일/NNG
공격이나	공격/NNG+이나/JC
러시아의	러시아/NNP+의/JKG
공격	공격/NNG
등을	등/NNB+을/JKO
가정해	가정/NNG+하/XSV+아/EC
이에	이/NP+에/JKB
대응하는	대응/NNG+하/XSV+는/ETM
통합방위전략의	통합/NNG+방위/NNG+전략/NNG+의/JKG
수립을	수립/NNG+을/JKO
올	올/NNG
여름까지	여름/NNG+까지/JX
마무리하기로	마무리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.70.6.3
아베 신조 내각은 이 통합방위전략을 올 여름부터 개정 작업에 착수할 ‘방위계획대강’에도 반영할 방침이다.

