# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.198
metadata : {}


# id : NWRW1800000022.198.1.1
[수도권Ⅱ] 축산인들 밤샘 근무 '굿바이';농진청, 대낮 송아지 출산 방법 개발

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SL+]/SS
축산인들	축산인/NNG+들/XSN
밤샘	밤샘/NNG
근무	근무/NNG
'굿바이';농진청,	'/SS+굿바이/NNG+'/SS+;/SP+농진청/NNG+,/SP
대낮	대낮/NNG
송아지	송아지/NNG
출산	출산/NNG
방법	방법/NNG
개발	개발/NNG


# id : NWRW1800000022.198.2.1
주로 밤에 태어나는 송아지를 낮에 태어나게 하는 방법이 개발됐다.

주로	주로/MAG
밤에	밤/NNG+에/JKB
태어나는	태어나/VV+는/ETM
송아지를	송아지/NNG+를/JKO
낮에	낮/NNG+에/JKB
태어나게	태어나/VV+게/EC
하는	하/VX+는/ETM
방법이	방법/NNG+이/JKS
개발됐다.	개발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.198.3.1
농촌진흥청(청장 김재수)은 사료 급여 방식을 바꿔 송아지가 낮에 태어날 수 있게 됐다고 밝혔다.

농촌진흥청(청장	농촌/NNG+진흥청/NNG+(/SS+청장/NNG
김재수)은	김재수/NNP+)/SS+은/JX
사료	사료/NNG
급여	급여/NNG
방식을	방식/NNG+을/JKO
바꿔	바꾸/VV+어/EC
송아지가	송아지/NNG+가/JKS
낮에	낮/NNG+에/JKB
태어날	태어나/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다고	되/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.198.4.1
한우는 주로 6월에서 8월 사이에 임신을 해 사람과 비슷한 284일 전후의 임신 기간을 거쳐 먹을 것이 많아지는 3월과 5월 사이에 송아지를 낳는다.

한우는	한우/NNG+는/JX
주로	주로/MAG
6월에서	6/SN+월/NNB+에서/JKB
8월	8/SN+월/NNB
사이에	사이/NNG+에/JKB
임신을	임신/NNG+을/JKO
해	하/VV+아/EC
사람과	사람/NNG+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
284일	284/SN+일/NNB
전후의	전후/NNG+의/JKG
임신	임신/NNG
기간을	기간/NNG+을/JKO
거쳐	거치/VV+어/EC
먹을	먹/VV+을/ETM
것이	것/NNB+이/JKS
많아지는	많아지/VV+는/ETM
3월과	3/SN+월/NNB+과/JC
5월	5/SN+월/NNB
송아지를	송아지/NNG+를/JKO
낳는다.	낳/VV+는다/EF+./SF


# id : NWRW1800000022.198.4.2
임신한 소는 천적을 피하기 위해 주로 낮에 먹이를 먹고 야간에 출산을 하지만, 이 같은 습성 때문에 축산 농업인들은 밤샘 작업을 해야 했다.

임신한	임신/NNG+하/XSV+ㄴ/ETM
소는	소/NNG+는/JX
천적을	천적/NNG+을/JKO
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
주로	주로/MAG
낮에	낮/NNG+에/JKB
먹이를	먹이/NNG+를/JKO
먹고	먹/VV+고/EC
야간에	야간/NNG+에/JKB
출산을	출산/NNG+을/JKO
하지만,	하/VV+지만/EC+,/SP
이	이/MMD
같은	같/VA+은/ETM
습성	습성/NNG
때문에	때문/NNB+에/JKB
축산	축산/NNG
농업인들은	농업인/NNG+들/XSN+은/JX
밤샘	밤샘/NNG
작업을	작업/NNG+을/JKO
해야	하/VV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.198.5.1
농진청이 이번에 개발한 방식은 간단하다.

농진청이	농진청/NNG+이/JKS
이번에	이번/NNG+에/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
방식은	방식/NNG+은/JX
간단하다.	간단하/VA+다/EF+./SF


# id : NWRW1800000022.198.5.2
바로 사료 주는 시간을 바꾸는 것.

바로	바로/MAG
사료	사료/NNG
주는	주/VV+는/ETM
시간을	시간/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000022.198.5.3
농진청은 임신한 암소 230마리를 대상으로 1년간 비슷한 열량의 사료를 각기 다른 방식으로 먹이는 실험을 통해 사료 급여방식과 출산 시간의 상관관계를 연구했다.

농진청은	농진청/NNG+은/JX
임신한	임신/NNG+하/XSV+ㄴ/ETM
암소	암소/NNG
230마리를	230/SN+마리/NNB+를/JKO
대상으로	대상/NNG+으로/JKB
1년간	1/SN+년/NNB+간/XSN
비슷한	비슷하/VA+ㄴ/ETM
열량의	열량/NNG+의/JKG
사료를	사료/NNG+를/JKO
각기	각기/MAG
다른	다른/MMD
방식으로	방식/NNG+으로/JKB
먹이는	먹이/VV+는/ETM
실험을	실험/NNG+을/JKO
통해	통하/VV+아/EC
사료	사료/NNG
급여방식과	급여/NNG+방식/NNG+과/JC
출산	출산/NNG
시간의	시간/NNG+의/JKG
상관관계를	상관관계/NNG+를/JKO
연구했다.	연구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.198.6.1
연구 결과 일반 축산 농가에서 가장 많이 활용하는 배합사료와 볏짚 4㎏을 오전 7시와 오후 5시 두 차례씩 먹인 암소는 밤 시간대인 오후 10시부터 새벽 4시 사이 출산율이 58%에 달했다.

연구	연구/NNG
결과	결과/NNG
일반	일반/NNG
축산	축산/NNG
농가에서	농가/NNG+에서/JKB
가장	가장/MAG
많이	많이/MAG
활용하는	활용/NNG+하/XSV+는/ETM
배합사료와	배합/NNG+사료/NNG+와/JC
볏짚	볏짚/NNG
4㎏을	4/SN+㎏/SW+을/JKO
오전	오전/NNG
7시와	7/SN+시/NNB+와/JC
오후	오후/NNG
5시	5/SN+시/NNB
두	두/MMN
차례씩	차례/NNG+씩/XSN
먹인	먹이/VV+ㄴ/ETM
암소는	암소/NNG+는/JX
밤	밤/NNG
시간대인	시간대/NNG+이/VCP+ㄴ/ETM
10시부터	10/SN+시/NNB+부터/JX
새벽	새벽/NNG
4시	4/SN+시/NNB
사이	사이/NNG
출산율이	출산/NNG+율/XSN+이/JKS
58%에	58/SN+%/SW+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.198.7.1
그러나 1년간 아침은 오전 7시에, 저녁은 오후 8시30분에 똑같은 사료를 먹은 암소는 10마리 중 9마리 꼴로 오전 5시부터 오후 9시까지의 낮 시간대에 송아지를 낳았다.

그러나	그러나/MAJ
1년간	1/SN+년/NNB+간/XSN
아침은	아침/NNG+은/JX
오전	오전/NNG
7시에,	7/SN+시/NNB+에/JKB+,/SP
저녁은	저녁/NNG+은/JX
오후	오후/NNG
8시30분에	8/SN+시/NNB+30/SN+분/NNB+에/JKB
똑같은	똑같/VA+은/ETM
사료를	사료/NNG+를/JKO
먹은	먹/VV+은/ETM
암소는	암소/NNG+는/JX
10마리	10/SN+마리/NNB
중	중/NNB
9마리	9/SN+마리/NNB
꼴로	꼴/XSN+로/JKB
5시부터	5/SN+시/NNB+부터/JX
9시까지의	9/SN+시/NNB+까지/JX+의/JKG
낮	낮/NNG
시간대에	시간대/NNG+에/JKB
송아지를	송아지/NNG+를/JKO
낳았다.	낳/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.198.8.1
또 출산 한 달 전부터 아예 아침 사료는 주지 않고 오후 7시쯤 저녁 사료를 먹은 암소 역시 낮 시간대 출산율이 75%까지 높아졌다.

또	또/MAG
출산	출산/NNG
한	한/MMN
달	달/NNB
전부터	전/NNG+부터/JX
아예	아예/MAG
아침	아침/NNG
사료는	사료/NNG+는/JX
주지	주/VV+지/EC
않고	않/VX+고/EC
오후	오후/NNG
7시쯤	7/SN+시/NNB+쯤/XSN
저녁	저녁/NNG
사료를	사료/NNG+를/JKO
먹은	먹/VV+은/ETM
암소	암소/NNG
역시	역시/MAG
낮	낮/NNG
시간대	시간대/NNG
출산율이	출산/NNG+율/XSN+이/JKS
75%까지	75/SN+%/SW+까지/JX
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.198.9.1
농진청 한우시험장 이명식 연구사는 "이번 낮 시간 출산 사료 급여 기술을 경기도 양주시와 충남 서천군, 경북 영천시 등에서 현장 시험에 착수했다"고 밝혔다.

농진청	농진청/NNG
한우시험장	한우/NNG+시험장/NNG
이명식	이명식/NNP
연구사는	연구사/NNG+는/JX
"이번	"/SS+이번/NNG
낮	낮/NNG
시간	시간/NNG
출산	출산/NNG
사료	사료/NNG
급여	급여/NNG
기술을	기술/NNG+을/JKO
경기도	경기도/NNP
양주시와	양주시/NNP+와/JC
충남	충남/NNP
서천군,	서천군/NNP+,/SP
경북	경북/NNP
영천시	영천시/NNP
등에서	등/NNB+에서/JKB
현장	현장/NNG
시험에	시험/NNG+에/JKB
착수했다"고	착수/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


