# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.110
metadata : {}


# id : NWRW1800000021.110.1.1
‘부적격 경찰관’ 퇴출시킨다

‘부적격	‘/SS+부/XPN+적격/NNG
경찰관’	경찰관/NNG+’/SS
퇴출시킨다	퇴출/NNG+시키/XSV+ㄴ다/EF


# id : NWRW1800000021.110.2.1
부적격 경찰관을 단계적으로 퇴출시키고, 비리 첩보 내사 전담팀을 만드는 등 경찰이 사정 활동을 대폭 강화하기로 했다.

부적격	부/XPN+적격/NNG
경찰관을	경찰관/NNG+을/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
퇴출시키고,	퇴출/NNG+시키/XSV+고/EC+,/SP
비리	비리/NNG
첩보	첩보/NNG
내사	내사/NNG
전담팀을	전담/NNG+팀/NNG+을/JKO
만드는	만들/VV+는/ETM
등	등/NNB
경찰이	경찰/NNG+이/JKS
사정	사정/NNG
활동을	활동/NNG+을/JKO
대폭	대폭/MAG
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.110.2.2
▶본보 27일자 A14면 참조

▶본보	▶/SW+본보/NNG
27일자	27/SN+일/NNB+자/NNG
A14면	A/SL+14/SN+면/NNG
참조	참조/NNG


# id : NWRW1800000021.110.3.1
경찰청은 30일 비리 근절과 조직역량 강화를 위해 ‘경찰 기강 확립 및 비리 척결 대책’을 발표했다.

경찰청은	경찰청/NNG+은/JX
30일	30/SN+일/NNB
비리	비리/NNG
근절과	근절/NNG+과/JC
조직역량	조직/NNG+역량/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
‘경찰	‘/SS+경찰/NNG
기강	기강/NNG
확립	확립/NNG
및	및/MAG
척결	척결/NNG
대책’을	대책/NNG+’/SS+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.110.4.1
먼저 부적격 경찰관을 단계별로 퇴출시키는 시스템이 도입된다.

먼저	먼저/MAG
부적격	부/XPN+적격/NNG
경찰관을	경찰관/NNG+을/JKO
단계별로	단계/NNG+별/XSN+로/JKB
퇴출시키는	퇴출/NNG+시키/XSV+는/ETM
시스템이	시스템/NNG+이/JKS
도입된다.	도입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.110.4.2
역량이 떨어지는 경찰관이 채용되는 것을 막기 위해 경찰학교 졸업사정위원회를 운영하기로 했다.

역량이	역량/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
경찰관이	경찰관/NNG+이/JKS
채용되는	채용/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
경찰학교	경찰/NNG+학교/NNG
졸업사정위원회를	졸업/NNG+사정/NNG+위원회/NNG+를/JKO
운영하기로	운영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.110.4.3
또 시보 경찰관을 임용하기 전 정밀인성검사를 할 계획이다.

또	또/MAG
시보	시보/NNG
경찰관을	경찰관/NNG+을/JKO
임용하기	임용/NNG+하/XSV+기/ETN
전	전/NNG
정밀인성검사를	정밀/NNG+인성/NNG+검사/NNG+를/JKO
할	하/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.110.4.4
재직 중인 경찰관들의 경우 부적격 경찰관을 선정해 4주 과정의 교육을 한 뒤 그래도 개선되지 않으면 직권면직하기로 했다.

재직	재직/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
경찰관들의	경찰관/NNG+들/XSN+의/JKG
경우	경우/NNG
부적격	부/XPN+적격/NNG
경찰관을	경찰관/NNG+을/JKO
선정해	선정/NNG+하/XSV+아/EC
4주	4/SN+주/NNB
과정의	과정/NNG+의/JKG
교육을	교육/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
그래도	그러/VV+어도/EC
개선되지	개선/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
직권면직하기로	직권/NNG+면직/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.110.4.5
또 매년 실시하는 정기 인성검사에서 최하위 등급자를 ‘관심 직원’으로 분류해 특별 관리할 방침이다.

또	또/MAG
매년	매년/MAG
실시하는	실시/NNG+하/XSV+는/ETM
정기	정기/NNG
인성검사에서	인성/NNG+검사/NNG+에서/JKB
최하위	최/XPN+하위/NNG
등급자를	등급자/NNG+를/JKO
‘관심	‘/SS+관심/NNG
직원’으로	직원/NNG+’/SS+으로/JKB
분류해	분류/NNG+하/XSV+아/EC
특별	특별/NNG
관리할	관리/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.110.5.1
사정 역량 강화를 위한 방안도 실행된다.

사정	사정/NNG
역량	역량/NNG
강화를	강화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
방안도	방안/NNG+도/JX
실행된다.	실행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.110.5.2
경찰청에 비리 첩보 수집을 전담하는 감찰 정보계와 특별 조사계를 편성하고 지방경찰청에도 청문감사관을 비롯해 사정 인력을 대폭 충원키로 했다.

경찰청에	경찰청/NNG+에/JKB
비리	비리/NNG
첩보	첩보/NNG
수집을	수집/NNG+을/JKO
전담하는	전담/NNG+하/XSV+는/ETM
감찰	감찰/NNG
정보계와	정보계/NNG+와/JC
특별	특별/NNG
조사계를	조사계/NNG+를/JKO
편성하고	편성/NNG+하/XSV+고/EC
