# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.419
metadata : {}


# id : NWRW1800000054.419.1.1
北 도발 대비… 한·미, 대북감시 시간·횟수 늘려

北	北/SH
도발	도발/NNG
대비…	대비/NNG+…/SE
한·미,	한·미/NNP+,/SP
대북감시	대북/NNG+감시/NNG
시간·횟수	시간/NNG+·/SP+횟수/NNG
늘려	늘리/VV+어/EF


# id : NWRW1800000054.419.2.1
북한이 장거리 미사일 등 추가 도발을 한다면 9일부터 18일 사이가 될 가능성이 높다.

북한이	북한/NNP+이/JKS
장거리	장거리/NNG
미사일	미사일/NNG
등	등/NNB
추가	추가/NNG
도발을	도발/NNG+을/JKO
한다면	하/VV+ㄴ다면/EC
9일부터	9/SN+일/NNB+부터/JX
18일	18/SN+일/NNB
사이가	사이/NNG+가/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000054.419.2.2
이에 따라 한·미 군 당국은 대북 감시 자산의 운용 시간과 횟수를 늘린 것으로 알려졌다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
한·미	한·미/NNP
군	군/NNG
당국은	당국/NNG+은/JX
대북	대북/NNG
감시	감시/NNG
자산의	자산/NNG+의/JKG
운용	운용/NNG
시간과	시간/NNG+과/JC
횟수를	횟수/NNG+를/JKO
늘린	늘리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.419.2.3
한·미 당국은 노동당 창건일(10일)을 전후한 때와 중국의 제19차 공산당 전국인민대표대회(18일) 이전을 도발 유력 시기로 보고 있다.

한·미	한·미/NNP
당국은	당국/NNG+은/JX
노동당	노동당/NNP
창건일(10일)을	창건일/NNG+(/SS+10/SN+일/NNB+)/SS+을/JKO
전후한	전후/NNG+하/XSV+ㄴ/ETM
때와	때/NNG+와/JC
중국의	중국/NNP+의/JKG
제19차	제/XPN+19/SN+차/NNB
공산당	공산당/NNP
전국인민대표대회(18일)	전국인민대표대회/NNP+(/SS+18/SN+일/NNB+)/SS
이전을	이전/NNG+을/JKO
도발	도발/NNG
유력	유력/NNG
시기로	시기/NNG+로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.419.3.1
군 관계자는 8일 "북한의 도발 임박 징후는 없지만 이동식 발사 차량(TEL) 등을 이용해 언제든 도발할 수 있다고 보고 추석 연후 전부터 대북 정찰·감시 자산을 증강 운용 중"이라고 했다.

군	군/NNG
관계자는	관계자/NNG+는/JX
8일	8/SN+일/NNB
"북한의	"/SS+북한/NNP+의/JKG
도발	도발/NNG
임박	임박/NNG
징후는	징후/NNG+는/JX
없지만	없/VA+지만/EC
이동식	이동식/NNG
발사	발사/NNG
차량(TEL)	차량/NNG+(/SS+TEL/SL+)/SS
등을	등/NNB+을/JKO
이용해	이용/NNG+하/XSV+아/EC
언제든	언제/NP+든/JX
도발할	도발/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보고	보/VV+고/EC
추석	추석/NNG
연후	연후/NNG
전부터	전/NNG+부터/JX
대북	대북/NNG
정찰·감시	정찰/NNG+·/SP+감시/NNG
자산을	자산/NNG+을/JKO
증강	증강/NNG
운용	운용/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.419.4.1
북한의 군사 도발 징후를 포착하기 위해 주한미군은 U-2S 고공 전략정찰기를, 우리 군은 RC-800, RF-16 정찰기와 피스아이(E-737) 항공통제기, P-3C 해상초계기 등을 운용해왔다.

북한의	북한/NNP+의/JKG
군사	군사/NNG
도발	도발/NNG
징후를	징후/NNG+를/JKO
포착하기	포착/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
주한미군은	주한/NNG+미군/NNG+은/JX
U-2S	U/SL+-/SO+2/SN+S/SL
고공	고공/NNG
전략정찰기를,	전략/NNG+정찰기/NNG+를/JKO+,/SP
우리	우리/NP
군은	군/NNG+은/JX
RC-800,	RC/SL+-/SO+800/SN+,/SP
RF-16	RF/SL+-/SO+16/SN
정찰기와	정찰기/NNG+와/JC
피스아이(E-737)	피스아이/NNP+(/SS+E/SL+-/SO+737/SN+)/SS
