# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.216
metadata : {}


# id : NWRW1800000054.216.1.1
삼성합병 반대론자가 돌연 "이병철 회장 불쌍해요"

삼성합병	삼성/NNP+합병/NNG
반대론자가	반대론자/NNG+가/JKS
돌연	돌연/MAG
"이병철	"/SS+이병철/NNP
회장	회장/NNG
불쌍해요"	불쌍하/VA+아요/EF+"/SS


# id : NWRW1800000054.216.2.1
'무효 소송' 윤병강 일성신약 회장, 1심 최종변론서 재판장에 직접호소 "사실 삼성 아끼는 사람은 나예요" 삼성 쪽 다가가선 "내가 미안해요"

'무효	'/SS+무효/NNG
소송'	소송/NNG+'/SS
윤병강	윤병강/NNP
일성신약	일성신약/NNP
회장,	회장/NNG+,/SP
1심	1심/NNG
최종변론서	최종/NNG+변론/NNG+서/JKB
재판장에	재판장/NNG+에/JKB
직접호소	직접/NNG+호소/NNG
"사실	"/SS+사실/MAG
삼성	삼성/NNP
아끼는	아끼/VV+는/ETM
사람은	사람/NNG+은/JX
나예요"	나/NP+이/VCP+에요/EF+"/SS
쪽	쪽/NNB
다가가선	다가가/VV+아서/EC+ㄴ/JX
"내가	"/SS+내/NP+가/JKS
미안해요"	미안/NNG+하/XSA+아요/EF+"/SS


# id : NWRW1800000054.216.3.1
"재판장님, 우리 이병철 회장(삼성그룹 창업주)이 불쌍해 죽겠어요."

"재판장님,	"/SS+재판장/NNG+님/XSN+,/SP
우리	우리/NP
이병철	이병철/NNP
회장(삼성그룹	회장/NNG+(/SS+삼성그룹/NNP
창업주)이	창업주/NNG+)/SS+이/JKS
불쌍해	불쌍하/VA+아/EC
죽겠어요."	죽/VV+겠/EP+어요/EF+./SF+"/SS


# id : NWRW1800000054.216.4.1
지난 18일 오후 삼성물산과 제일모직 합병의 무효 여부를 다투는 민사 재판이 열린 서울중앙지법 366호 법정.

지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
오후	오후/NNG
삼성물산과	삼성물산/NNP+과/JC
제일모직	제일모직/NNP
합병의	합병/NNG+의/JKG
무효	무효/NNG
여부를	여부/NNG+를/JKO
다투는	다투/VV+는/ETM
민사	민사/NNG
재판이	재판/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
서울중앙지법	서울중앙지법/NNP
366호	366/SN+호/NNB
법정.	법정/NNG+./SF


# id : NWRW1800000054.216.4.2
재판이 마무리될 때쯤 원고(소송을 건 쪽)석에 앉은 노인이 갑자기 자리에서 일어나 재판부가 있는 법대(法臺) 쪽으로 걸어갔다.

재판이	재판/NNG+이/JKS
마무리될	마무리/NNG+되/XSV+ㄹ/ETM
때쯤	때/NNG+쯤/XSN
원고(소송을	원고/NNG+(/SS+소송/NNG+을/JKO
건	걸/VV+ㄴ/ETM
쪽)석에	쪽/NNB+)/SS+석/NNB+에/JKB
앉은	앉/VV+은/ETM
노인이	노인/NNG+이/JKS
갑자기	갑자기/MAG
자리에서	자리/NNG+에서/JKB
일어나	일어나/VV+아/EC
재판부가	재판부/NNG+가/JKS
있는	있/VA+는/ETM
법대(法臺)	법대/NNG+(/SS+法臺/SH+)/SS
쪽으로	쪽/NNB+으로/JKB
걸어갔다.	걸어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.216.4.3
윤병강(87) 일성신약 회장이었다.

윤병강(87)	윤병강/NNP+(/SS+87/SN+)/SS
일성신약	일성신약/NNP
회장이었다.	회장/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.216.5.1
삼성물산의 주요 주주(지분 2.11%)였던 일성신약은 2015년 이뤄진 삼성물산·제일모직 합병에 반발해 지난해 3월 소송을 냈다.

삼성물산의	삼성물산/NNP+의/JKG
주요	주요/NNG
주주(지분	주주/NNG+(/SS+지분/NNG
2.11%)였던	2/SN+./SP+11/SN+%/SW+)/SS+이/VCP+었/EP+던/ETM
일성신약은	일성신약/NNP+은/JX
2015년	2015/SN+년/NNB
이뤄진	이뤄지/VV+ㄴ/ETM
삼성물산·제일모직	삼성물산/NNP+·/SP+제일모직/NNP
합병에	합병/NNG+에/JKB
반발해	반발/NNG+하/XSV+아/EC
지난해	지난해/NNG
3월	3/SN+월/NNB
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.216.5.2
제일모직 1주당 삼성물산 0.35주로 책정된 합병 비율과 절차가 불공정했으니 합병 자체를 무효로 해달라고 했다.

제일모직	제일모직/NNP
1주당	1/SN+주/NNG+당/XSN
삼성물산	삼성물산/NNP
0.35주로	0/SN+./SP+35/SN+주/NNG+로/JKB
책정된	책정/NNG+되/XSV+ㄴ/ETM
합병	합병/NNG
비율과	비율/NNG+과/JC
절차가	절차/NNG+가/JKS
불공정했으니	불/XPN+공정/NNG+하/XSA+았/EP+으니/EC
자체를	자체/NNG+를/JKO
무효로	무효/NNG+로/JKB
해달라고	하/VV+아/EC+달/VX+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.216.6.1
지난 1년 6개월간 진행된 재판에서 일성신약과 삼성 측은 치열하게 다퉜다.

지난	지나/VV+ㄴ/ETM
1년	1/SN+년/NNB
6개월간	6/SN+개월/NNB+간/XSN
진행된	진행/NNG+되/XSV+ㄴ/ETM
재판에서	재판/NNG+에서/JKB
일성신약과	일성신약/NNP+과/JC
삼성	삼성/NNP
측은	측/NNB+은/JX
치열하게	치열/NNG+하/XSA+게/EC
다퉜다.	다투/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.216.6.2
이 사건을 담당한 서울중앙지법 민사16부(재판장 함종식)는 당초 지난해 12월 선고하려 했다.

이	이/MMD
사건을	사건/NNG+을/JKO
담당한	담당/NNG+하/XSV+ㄴ/ETM
서울중앙지법	서울중앙지법/NNP
민사16부(재판장	민사/NNG+16/SN+부/NNG+(/SS+재판장/NNG
함종식)는	함종식/NNP+)/SS+는/JX
당초	당초/NNG
지난해	지난해/NNG
12월	12/SN+월/NNB
선고하려	선고/NNG+하/XSV+려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.216.6.3
하지만 일성신약이 특검 수사 결과를 재판에 반영해달라고 요구하면서 재판이 길어졌다.

하지만	하지만/MAJ
일성신약이	일성신약/NNP+이/JKS
특검	특검/NNG
수사	수사/NNG
결과를	결과/NNG+를/JKO
재판에	재판/NNG+에/JKB
반영해달라고	반영/NNG+하/XSV+아/EC+달/VX+라고/EC
요구하면서	요구/NNG+하/XSV+면서/EC
재판이	재판/NNG+이/JKS
길어졌다.	길어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.216.6.4
윤 회장은 지난 7월 열린 재판에 나와 "삼성이 소액주주들을 약탈했다. 재판부에서 사건 관계자들을 전부 다 나오라고 해서 대화할 수 있게 해달라"며 목소리를 높였다.

윤	윤/NNP
회장은	회장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
열린	열리/VV+ㄴ/ETM
재판에	재판/NNG+에/JKB
나와	나오/VV+아/EC
"삼성이	"/SS+삼성/NNP+이/JKS
