# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.274
metadata : {}


# id : NWRW1800000029.274.1.1
[프로야구]마운드도 높아진 LG 19세 임찬규 싱싱투

[프로야구]마운드도	[/SS+프로/NNG+야구/NNG+]/SS+마운드/NNG+도/JX
높아진	높아지/VV+ㄴ/ETM
LG	LG/SL
19세	19/SN+세/NNB
임찬규	임찬규/NNP
싱싱투	싱싱투/NNG


# id : NWRW1800000029.274.2.1
선발 무너진 2회 등판 첫승

선발	선발/NNG
무너진	무너지/VV+ㄴ/ETM
2회	2/SN+회/NNB
등판	등판/NNG
첫승	첫/MMN+승/NNG


# id : NWRW1800000029.274.3.1
삼성에 역전승 단독 2위로

삼성에	삼성/NNP+에/JKB
역전승	역전승/NNG
단독	단독/NNG
2위로	2/SN+위/NNB+로/JKB


# id : NWRW1800000029.274.4.1
“이제 우리도 ‘투수력의 팀’이라고 불러주세요.”

“이제	“/SS+이제/MAG
우리도	우리/NP+도/JX
‘투수력의	‘/SS+투수력/NNG+의/JKG
팀’이라고	팀/NNG+’/SS+이라고/JKQ
불러주세요.”	부르/VV+어/EC+주/VX+시/EP+어요/EF+./SF+”/SS


# id : NWRW1800000029.274.5.1
올 시즌 초반 돌풍을 일으키고 있는 LG의 박종훈 감독은 농담 반 진담 반으로 이렇게 말했다.

올	올/NNG
시즌	시즌/NNG
초반	초반/NNG
돌풍을	돌풍/NNG+을/JKO
일으키고	일으키/VV+고/EC
있는	있/VX+는/ETM
LG의	LG/SL+의/JKG
박종훈	박종훈/NNP
감독은	감독/NNG+은/JX
농담	농담/NNG
반	반/NNG
진담	진담/NNG
반으로	반/NNG+으로/JKB
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.274.5.2
5일 현재 LG의 팀 평균자책은 4.12로 8개 구단 중 5위였다.

5일	5/SN+일/NNB
현재	현재/MAG
LG의	LG/SL+의/JKG
팀	팀/NNG
평균자책은	평균/NNG+자책/NNG+은/JX
4.12로	4/SN+./SP+12/SN+로/JKB
8개	8/SN+개/NNB
구단	구단/NNG
중	중/NNB
5위였다.	5/SN+위/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.274.5.3
반면 지난해에도 강했던 타선은 평균 타율(0.280)과 팀 홈런(23개) 모두 1위였다.

반면	반면/NNG
지난해에도	지난해/NNG+에/JKB+도/JX
강했던	강하/VA+았/EP+던/ETM
타선은	타선/NNG+은/JX
평균	평균/NNG
타율(0.280)과	타율/NNG+(/SS+0/SN+./SP+280/SN+)/SS+과/JC
팀	팀/NNG
홈런(23개)	홈런/NNG+(/SS+23/SN+개/NNB+)/SS
모두	모두/MAG
1위였다.	1/SN+위/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.274.5.4
박 감독의 말에는 타선은 여전하지만 투수진이 한결 강해졌다는 뜻이 내포돼 있었다.

박	박/NNP
감독의	감독/NNG+의/JKG
말에는	말/NNG+에/JKB+는/JX
타선은	타선/NNG+은/JX
여전하지만	여전하/VA+지만/EC
투수진이	투수진/NNG+이/JKS
한결	한결/MAG
강해졌다는	강하/VA+아/EC+지/VX+었/EP+다는/ETM
뜻이	뜻/NNG+이/JKS
내포돼	내포/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.274.6.1
올 들어 박현준을 비롯해 두 외국인 선수 주키치와 리즈 등 선발 투수들이 매 경기 6이닝 이상을 버텨주니 박 감독의 처지에서는 시즌 운용이 한결 수월해졌다.

올	올/NNG
들어	들/VV+어/EC
박현준을	박현준/NNP+을/JKO
비롯해	비롯하/VV+아/EC
두	두/MMN
외국인	외국인/NNG
선수	선수/NNG
주키치와	주키치/NNP+와/JC
리즈	리즈/NNP
등	등/NNB
선발	선발/NNG
투수들이	투수/NNG+들/XSN+이/JKS
매	매/MMD
경기	경기/NNG
6이닝	6/SN+이닝/NNG
이상을	이상/NNG+을/JKO
버텨주니	버티/VV+어/EC+주/VX+니/EC
박	박/NNP
감독의	감독/NNG+의/JKG
처지에서는	처지/NNG+에서/JKB+는/JX
시즌	시즌/NNG
운용이	운용/NNG+이/JKS
한결	한결/MAG
