# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.259
metadata : {}


# id : NWRW1800000026.259.1.1
몸 낮췄지만… "역시 이재오";MB, 당선 다음 날 독대·만찬

몸	몸/NNG
낮췄지만…	낮추/VV+었/EP+지만/EC+…/SE
"역시	"/SS+역시/MAG
이재오";MB,	이재오/NNP+"/SS+;/SW+MB/SL+,/SP
당선	당선/NNG
다음	다음/NNG
날	날/NNG
독대·만찬	독대/NNG+·/SP+만찬/NNG


# id : NWRW1800000026.259.2.1
7·28 재·보선을 통해 국회에 복귀한 이재오 의원이 당선 다음 날인 29일 청와대에서 이명박 대통령과 단독 만찬을 한 것으로 알려졌다.

7·28	7/SN+·/SP+28/SN
재·보선을	재·보선/NNG+을/JKO
통해	통하/VV+아/EC
국회에	국회/NNG+에/JKB
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
이재오	이재오/NNP
의원이	의원/NNG+이/JKS
당선	당선/NNG
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
29일	29/SN+일/NNB
청와대에서	청와대/NNP+에서/JKB
이명박	이명박/NNP
대통령과	대통령/NNG+과/JKB
단독	단독/NNG
만찬을	만찬/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.259.3.1
여권의 한 핵심 관계자는 30일 "이 대통령이 이 의원에게 축하전화를 하면서 만찬을 제의해 갑작스럽게 성사됐다고 한다. 다른 배석자는 없이 두 분만 식사한 것으로 안다"고 말했다.

여권의	여권/NNG+의/JKG
한	한/MMN
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
30일	30/SN+일/NNB
"이	"/SS+이/NNP
대통령이	대통령/NNG+이/JKS
이	이/NNP
의원에게	의원/NNG+에게/JKB
축하전화를	축하/NNG+전화/NNG+를/JKO
하면서	하/VV+면서/EC
만찬을	만찬/NNG+을/JKO
