# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.127
metadata : {}


# id : NWRW1800000021.127.1.1
[신나는 공부]‘클릭 손품’만 잘 팔면 영어 공짜로 배워요

[신나는	[/SS+신나/VV+는/ETM
공부]‘클릭	공부/NNG+]/SS+‘/SS+클릭/NNG
손품’만	손품/NNG+’/SS+만/JX
잘	잘/MAG
팔면	팔/VV+면/EC
영어	영어/NNP
공짜로	공짜/NNG+로/JKB
배워요	배우/VV+어요/EF


# id : NWRW1800000021.127.2.1
초등학교 5학년 아들을 둔 주부 김선아 씨(38·경기 수원시)는 공짜로 영어공부를 하는 알뜰주부다.

초등학교	초등학교/NNG
5학년	5/SN+학년/NNG
아들을	아들/NNG+을/JKO
둔	두/VV+ㄴ/ETM
주부	주부/NNG
김선아	김선아/NNP
씨(38·경기	씨/NNB+(/SS+38/SN+·/SP+경기/NNP
수원시)는	수원시/NNP+)/SS+는/JX
공짜로	공짜/NNG+로/JKB
영어공부를	영어/NNP+공부/NNG+를/JKO
하는	하/VV+는/ETM
알뜰주부다.	알뜰/NNG+주부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.127.2.2
출퇴근길엔 무료로 내려받은 영문법 강의를 휴대용 멀티미디어 플레이어(PMP)로 시청하고, 강의자료는 출력해 놓고 냉장고 문에 붙인 뒤 식사준비를 하며 틈틈이 외운다.

출퇴근길엔	출퇴근길/NNG+에/JKB+ㄴ/JX
무료로	무료/NNG+로/JKB
내려받은	내려받/VV+은/ETM
영문법	영문법/NNG
강의를	강의/NNG+를/JKO
휴대용	휴대/NNG+용/XSN
멀티미디어	멀티미디어/NNG
플레이어(PMP)로	플레이어/NNG+(/SS+PMP/SL+)/SS+로/JKB
시청하고,	시청/NNG+하/XSV+고/EC+,/SP
강의자료는	강의/NNG+자료/NNG+는/JX
출력해	출력/NNG+하/XSV+아/EC
놓고	놓/VX+고/EC
냉장고	냉장고/NNG
문에	문/NNG+에/JKB
붙인	붙이/VV+ㄴ/ETM
뒤	뒤/NNG
식사준비를	식사/NNG+준비/NNG+를/JKO
하며	하/VV+며/EC
틈틈이	틈틈이/MAG
외운다.	외우/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.127.3.1
“아이 학원비가 만만치 않아 (엄마가) 학원을 다니는 건 엄두도 못 내요.

“아이	“/SS+아이/NNG
학원비가	학원비/NNG+가/JKS
만만치	만만하/VA+지/EC
않아	않/VX+아/EC
(엄마가)	(/SS+엄마/NNG+가/JKS+)/SS
학원을	학원/NNG+을/JKO
다니는	다니/VV+는/ETM
건	거/NNB+ㄴ/JX
엄두도	엄두/NNG+도/JX
못	못/MAG
내요.	내/VV+어요/EF+./SF


# id : NWRW1800000021.127.3.2
맞벌이를 하기 때문에 따로 공부할 시간을 내기도 어렵고요.

맞벌이를	맞벌이/NNG+를/JKO
하기	하/VV+기/ETN
때문에	때문/NNB+에/JKB
따로	따로/MAG
공부할	공부/NNG+하/XSV+ㄹ/ETM
시간을	시간/NNG+을/JKO
내기도	내/VV+기/ETN+도/JX
어렵고요.	어렵/VA+고/EC+요/JX+./SF


# id : NWRW1800000021.127.3.3
그렇다고 영어공부를 포기할 수 없어 손품을 팔아 ‘공짜’로 공부하는 방법을 찾았죠.”

그렇다고	그렇/VA+다고/EC
영어공부를	영어/NNP+공부/NNG+를/JKO
포기할	포기/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
손품을	손품/NNG+을/JKO
팔아	팔/VV+아/EC
‘공짜’로	‘/SS+공짜/NNG+’/SS+로/JKB
공부하는	공부/NNG+하/XSV+는/ETM
방법을	방법/NNG+을/JKO
찾았죠.”	찾/VV+았/EP+죠/EF+./SF+”/SS


# id : NWRW1800000021.127.4.1
김 씨처럼 인터넷의 무료 학습 프로그램을 이용해 영어공부를 하는 주부가 적지 않다.

김	김/NNP
씨처럼	씨/NNB+처럼/JKB
인터넷의	인터넷/NNG+의/JKG
무료	무료/NNG
학습	학습/NNG
프로그램을	프로그램/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
영어공부를	영어/NNP+공부/NNG+를/JKO
하는	하/VV+는/ETM
주부가	주부/NNG+가/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.127.4.2
인터넷엔 엄마의 영어실력 향상에 도움이 되는 영어회화, 영문법 강의는 물론 영어 게임, 단어퍼즐, 영어동요처럼 자녀의 영어 지도에 도움이 되는 공짜 학습 자료가 의외로 많다.

인터넷엔	인터넷/NNG+에/JKB+ㄴ/JX
엄마의	엄마/NNG+의/JKG
영어실력	영어/NNP+실력/NNG
향상에	향상/NNG+에/JKB
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
영어회화,	영어/NNP+회화/NNG+,/SP
영문법	영문법/NNG
강의는	강의/NNG+는/JX
물론	물론/MAG
영어	영어/NNP
게임,	게임/NNG+,/SP
단어퍼즐,	단어/NNG+퍼즐/NNG+,/SP
영어동요처럼	영어/NNP+동요/NNG+처럼/JKB
자녀의	자녀/NNG+의/JKG
지도에	지도/NNG+에/JKB
공짜	공짜/NNG
학습	학습/NNG
자료가	자료/NNG+가/JKS
의외로	의외로/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000021.127.4.3
시간과 돈을 절약하면서 공부할 수 있는 영어학습 사이트, 지금 ‘클릭’해 보자.

