# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.22
metadata : {}


# id : NWRW1800000048.22.1.1
“인터넷은행, 자산 5조 미만 산업자본에 허용”

“인터넷은행,	“/SS+인터넷/NNG+은행/NNG+,/SP
자산	자산/NNG
5조	5/SN+조/NR
미만	미만/NNG
산업자본에	산업/NNG+자본/NNG+에/JKB
허용”	허용/NNG+”/SS


# id : NWRW1800000048.22.2.1
TF 세미나, 은산분리 완화 방안 제시

TF	TF/SL
세미나,	세미나/NNG+,/SP
은산분리	은산/NNG+분리/NNG
완화	완화/NNG
방안	방안/NNG
제시	제시/NNG


# id : NWRW1800000048.22.3.1
‘은행 소유 금지’ 재벌 기준 높여

‘은행	‘/SS+은행/NNG
소유	소유/NNG
금지’	금지/NNG+’/SS
재벌	재벌/NNG
기준	기준/NNG
높여	높이/VV+어/EF


# id : NWRW1800000048.22.4.1
현행 ‘2조 이상’에서 ‘5조 이상’으로

현행	현행/NNG
‘2조	‘/SS+2/SN+조/NR
이상’에서	이상/NNG+’/SS+에서/JKB
‘5조	‘/SS+5/SN+조/NR
이상’으로	이상/NNG+’/SS+으로/JKB


# id : NWRW1800000048.22.5.1
독립경영 등 부작용 방지책도 마련

독립경영	독립/NNG+경영/NNG
등	등/NNB
부작용	부작용/NNG
방지책도	방지책/NNG+도/JX
마련	마련/NNG


# id : NWRW1800000048.22.6.1
정부가 자산 총액 5조원 이상 재벌 대기업을 제외한 산업자본(비금융주력자)에 대해 인터넷전문은행 설립을 허용하는 방안을 추진할 전망이다.

정부가	정부/NNG+가/JKS
자산	자산/NNG
총액	총액/NNG
5조원	5/SN+조/NR+원/NNB
이상	이상/NNG
재벌	재벌/NNG
대기업을	대/XPN+기업/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
산업자본(비금융주력자)에	산업/NNG+자본/NNG+(/SS+비/XPN+금융/NNG+주력자/NNG+)/SS+에/JKB
대해	대하/VV+아/EC
인터넷전문은행	인터넷/NNG+전문/NNG+은행/NNG
설립을	설립/NNG+을/JKO
허용하는	허용/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.22.7.1
인터넷전문은행 도입을 위한 태스크포스(TF)는 16일 서울 명동 은행회관에서 세미나를 열어, ‘은산분리’(산업자본의 은행 소유 금지) 규제를 완화해 정보통신(ICT) 기업 등이 인터넷전문은행 설립에 참여하도록 하는 방안을 제시했다.

인터넷전문은행	인터넷/NNG+전문/NNG+은행/NNG
도입을	도입/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
태스크포스(TF)는	태스크포스/NNG+(/SS+TF/SL+)/SS+는/JX
16일	16/SN+일/NNB
서울	서울/NNP
명동	명동/NNP
은행회관에서	은행회관/NNP+에서/JKB
세미나를	세미나/NNG+를/JKO
열어,	열/VV+어/EF+,/SP
‘은산분리’(산업자본의	‘/SS+은산/NNG+분리/NNG+’/SS+(/SS+산업/NNG+자본/NNG+의/JKG
은행	은행/NNG
소유	소유/NNG
금지)	금지/NNG+)/SS
규제를	규제/NNG+를/JKO
완화해	완화/NNG+하/XSV+아/EC
정보통신(ICT)	정보/NNG+통신/NNG+(/SS+ICT/SL+)/SS
기업	기업/NNG
등이	등/NNB+이/JKS
설립에	설립/NNG+에/JKB
참여하도록	참여/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
방안을	방안/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.22.7.2
재벌 대기업을 제외한 산업자본에 대해 은산분리 규제 완화를 추진하되, ‘비금융회사 자산 총액 2조원 이상’으로 돼 있는 재벌에 대한 기준은 ‘5조원 이상’으로 완화하는 것이 핵심 내용이다.

재벌	재벌/NNG
대기업을	대/XPN+기업/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
산업자본에	산업/NNG+자본/NNG+에/JKB
대해	대하/VV+아/EC
은산분리	은산/NNG+분리/NNG
규제	규제/NNG
완화를	완화/NNG+를/JKO
추진하되,	추진/NNG+하/XSV+되/EC+,/SP
‘비금융회사	‘/SS+비/XPN+금융/NNG+회사/NNG
자산	자산/NNG
총액	총액/NNG
2조원	2/SN+조/NR+원/NNB
이상’으로	이상/NNG+’/SS+으로/JKB
돼	되/VV+어/EC
있는	있/VX+는/ETM
재벌에	재벌/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기준은	기준/NNG+은/JX
‘5조원	‘/SS+5/SN+조/NR+원/NNB
완화하는	완화/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
핵심	핵심/NNG
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.22.7.3
이런 방안은 정부와 외부 전문가 등이 참여한 태스크포스에서 지난 3개월 동안 논의한 결과로, 향후 정부 정책 방향의 뼈대가 될 것으로 보인다.

이런	이런/MMD
방안은	방안/NNG+은/JX
정부와	정부/NNG+와/JC
외부	외부/NNG
전문가	전문가/NNG
등이	등/NNB+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
태스크포스에서	태스크포스/NNG+에서/JKB
지난	지나/VV+ㄴ/ETM
3개월	3/SN+개월/NNB
동안	동안/NNG
논의한	논의/NNG+하/XSV+ㄴ/ETM
결과로,	결과/NNG+로/JKB+,/SP
향후	향후/NNG
정부	정부/NNG
정책	정책/NNG
방향의	방향/NNG+의/JKG
뼈대가	뼈대/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.22.7.4
정부안은 추가적인 의견 수렴을 거쳐 오는 6월에 나올 예정이다.

정부안은	정부안/NNG+은/JX
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
의견	의견/NNG
수렴을	수렴/NNG+을/JKO
거쳐	거치/VV+어/EC
오는	오/VV+는/ETM
6월에	6/SN+월/NNB+에/JKB
나올	나오/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.22.8.1
이날 ‘은행 소유구조 개선방안’에 대해 발표한 조정래 법무법인 태평양 변호사는 “현행 은행법상 정보통신 기업 등 비금융주력자에 대해선 의결권 있는 은행 지분을 4%로 제한하고 있어, 인터넷전문은행을 설립할 유인이 없다”며 “금융시장 발전과 소비자 편익에 도움이 되는 타당성 있는 사업계획을 내면 은행업에 진출할 수 있는 제도적 장치가 있어야 한다”고 밝혔다.

이날	이날/NNG
‘은행	‘/SS+은행/NNG
소유구조	소유/NNG+구조/NNG
개선방안’에	개선/NNG+방안/NNG+’/SS+에/JKB
대해	대하/VV+아/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
조정래	조정래/NNP
법무법인	법무/NNG+법인/NNG
태평양	태평양/NNP
변호사는	변호사/NNG+는/JX
“현행	“/SS+현행/NNG
은행법상	은행법/NNG+상/XSN
정보통신	정보/NNG+통신/NNG
기업	기업/NNG
등	등/NNB
비금융주력자에	비/XPN+금융/NNG+주력자/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
의결권	의결/NNG+권/XSN
있는	있/VA+는/ETM
은행	은행/NNG
지분을	지분/NNG+을/JKO
4%로	4/SN+%/SW+로/JKB
제한하고	제한/NNG+하/XSV+고/EC
있어,	있/VX+어/EC+,/SP
인터넷전문은행을	인터넷/NNG+전문/NNG+은행/NNG+을/JKO
설립할	설립/NNG+하/XSV+ㄹ/ETM
유인이	유인/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“금융시장	“/SS+금융/NNG+시장/NNG
발전과	발전/NNG+과/JC
소비자	소비자/NNG
편익에	편익/NNG+에/JKB
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
타당성	타당성/NNG
사업계획을	사업/NNG+계획/NNG+을/JKO
내면	내/VV+면/EC
은행업에	은행업/NNG+에/JKB
진출할	진출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
제도적	제도/NNG+적/XSN
장치가	장치/NNG+가/JKS
있어야	있/VA+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.22.8.2
현재 정부는 인터넷전문은행에 대해 비금융주력자의 의결권 있는 주식 보유 한도를 4%에서 30% 안팎으로 올리는 방안을 검토하고 있다.

현재	현재/MAG
정부는	정부/NNG+는/JX
인터넷전문은행에	인터넷/NNG+전문/NNG+은행/NNG+에/JKB
대해	대하/VV+아/EC
비금융주력자의	비/XPN+금융/NNG+주력자/NNG+의/JKG
의결권	의결/NNG+권/XSN
있는	있/VA+는/ETM
주식	주식/NNG
보유	보유/NNG
한도를	한도/NNG+를/JKO
4%에서	4/SN+%/SW+에서/JKB
30%	30/SN+%/SW
