# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.315
metadata : {}


# id : NWRW1800000030.315.1.1
소리없이 끓고 있는 여권

소리없이	소리/NNG+없이/MAG
끓고	끓/VV+고/EC
있는	있/VX+는/ETM
여권	여권/NNG


# id : NWRW1800000030.315.2.1
•민주平統 사무처장에 이상득계 사람 앉히자 이재오계 "조직 관련 인사는 우리 몫인데…"

•민주平統	•/SW+민주/NNG+平統/SH
사무처장에	사무처장/NNG+에/JKB
이상득계	이상득/NNP+계/XSN
사람	사람/NNG
앉히자	앉히/VV+자/EC
이재오계	이재오/NNP+계/XSN
"조직	"/SS+조직/NNG
관련	관련/NNG
인사는	인사/NNG+는/JX
우리	우리/NP
몫인데…"	몫/NNG+이/VCP+ㄴ데/EF+…/SE+"/SS


# id : NWRW1800000030.315.3.1
여권(與圈) 주류에서 이재오 특임장관 계열과 이상득 의원 계열 사이의 불협화음이 4·27 재·보선 이후에 본격화될 조짐이다.

여권(與圈)	여권/NNG+(/SS+與圈/SH+)/SS
주류에서	주류/NNG+에서/JKB
이재오	이재오/NNP
특임장관	특임/NNG+장관/NNG
계열과	계열/NNG+과/JC
이상득	이상득/NNP
의원	의원/NNG
계열	계열/NNG
사이의	사이/NNG+의/JKG
불협화음이	불협화음/NNG+이/JKS
4·27	4/SN+·/SP+27/SN
재·보선	재·보선/NNG
이후에	이후/NNG+에/JKB
본격화될	본격/NNG+화/XSN+되/XSV+ㄹ/ETM
조짐이다.	조짐/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.315.3.2
이재오계에서는 요즘 "이상득 의원이 우리보다는 박근혜 전 대표 쪽과의 제휴를 준비하고 있는 것 아니냐"고 하고 있는데, 그런 의구심을 갖게 만든 결정적인 계기는 민주평화통일자문회의 사무처장 임명문제였다고 한다.

이재오계에서는	이재오/NNP+계/XSN+에서/JKB+는/JX
요즘	요즘/NNG
"이상득	"/SS+이상득/NNP
의원이	의원/NNG+이/JKS
우리보다는	우리/NP+보다/JKB+는/JX
박근혜	박근혜/NNP
전	전/MMD
대표	대표/NNG
쪽과의	쪽/NNB+과/JKB+의/JKG
제휴를	제휴/NNG+를/JKO
준비하고	준비/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것	것/NNB
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
하고	하/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
그런	그런/MMD
의구심을	의구심/NNG+을/JKO
갖게	갖/VV+게/EC
만든	만들/VV+ㄴ/ETM
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
계기는	계기/NNG+는/JX
민주평화통일자문회의	민주/NNG+평화/NNG+통일/NNG+자문/NNG+회의/NNG
사무처장	사무처장/NNG
임명문제였다고	임명/NNG+문제/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.315.4.1
이명박 대통령은 지난달 25일 민주평통 사무처장에 이상직 호서대 교수를 임명했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
지난달	지난달/NNG
25일	25/SN+일/NNB
민주평통	민주평통/NNG
사무처장에	사무처장/NNG+에/JKB
이상직	이상직/NNP
호서대	호서대/NNP
교수를	교수/NNG+를/JKO
임명했다.	임명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.315.4.2
이 처장은 이상득계의 핵심 축(軸)인 박영준 지식경제부 차관의 친구로 박 차관이 대선 때 이끌었던 이명박 캠프 최대 외곽 조직인 선진국민연대 공동의장이기도 했다.

이	이/NNP
처장은	처장/NNG+은/JX
이상득계의	이상득/NNP+계/XSN+의/JKG
핵심	핵심/NNG
축(軸)인	축/NNG+(/SS+軸/SH+)/SS+이/VCP+ㄴ/ETM
박영준	박영준/NNP
지식경제부	지식/NNG+경제부/NNG
차관의	차관/NNG+의/JKG
친구로	친구/NNG+로/JKB
박	박/NNP
차관이	차관/NNG+이/JKS
대선	대선/NNG
때	때/NNG
이끌었던	이끌/VV+었/EP+던/ETM
이명박	이명박/NNP
캠프	캠프/NNG
최대	최대/NNG
외곽	외곽/NNG
조직인	조직/NNG+이/VCP+ㄴ/ETM
선진국민연대	선진국민연대/NNP
공동의장이기도	공동/NNG+의장/NNG+이/VCP+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.315.4.3
호서대 '벤처전문대학원 노인복지학과' 교수 출신으로 통일문제에 전문성을 주장하기 어려운 전공이다.

호서대	호서대/NNP
'벤처전문대학원	'/SS+벤처/NNG+전문/NNG+대학원/NNG
노인복지학과'	노인/NNG+복지학과/NNG+'/SS
교수	교수/NNG
출신으로	출신/NNG+으로/JKB
통일문제에	통일/NNG+문제/NNG+에/JKB
전문성을	전문/NNG+성/XSN+을/JKO
주장하기	주장/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
전공이다.	전공/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.315.5.1
친(親)이재오계에서는 이를 놓고 "이 특임장관은 그 자리에 뉴라이트 핵심인 TK(대구·경북) 출신 K씨를 이미 추천했는데 임태희 대통령실장을 통해 이상득 라인이 이를 가로챘다"고 하고 있다.

친(親)이재오계에서는	친/XPN+(/SS+親/SH+)/SS+이재오/NNP+계/XSN+에서/JKB+는/JX
이를	이/NP+를/JKO
놓고	놓/VV+고/EC
"이	"/SS+이/NNP
특임장관은	특임/NNG+장관/NNG+은/JX
그	그/MMD
자리에	자리/NNG+에/JKB
뉴라이트	뉴라이트/NNG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
TK(대구·경북)	TK/SL+(/SS+대구/NNP+·/SP+경북/NNP+)/SS
출신	출신/NNG
K씨를	K/SL+씨/NNB+를/JKO
이미	이미/MAG
추천했는데	추천/NNG+하/XSV+았/EP+는데/EC
임태희	임태희/NNP
대통령실장을	대통령실장/NNG+을/JKO
통해	통하/VV+아/EC
이상득	이상득/NNP
라인이	라인/NNG+이/JKS
가로챘다"고	가로채/VV+었/EP+다/EF+"/SS+고/JKQ
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.315.5.2
이 장관이 추천했던 사람 역시 현 정권 창출에 깊이 관여한 인물이었지만 이상득계에선 그를 '이재오 장관 사람'으로 간주하고 있다는 것이 이 장관측 주장이다.

이	이/NNP
장관이	장관/NNG+이/JKS
추천했던	추천/NNG+하/XSV+았/EP+던/ETM
사람	사람/NNG
역시	역시/MAG
현	현/MMD
정권	정권/NNG
창출에	창출/NNG+에/JKB
깊이	깊이/MAG
관여한	관여/NNG+하/XSV+ㄴ/ETM
인물이었지만	인물/NNG+이/VCP+었/EP+지만/EC
이상득계에선	이상득/NNP+계/XSN+에서/JKB+ㄴ/JX
그를	그/NP+를/JKO
'이재오	'/SS+이재오/NNP
장관	장관/NNG
사람'으로	사람/NNG+'/SS+으로/JKB
간주하고	간주/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
것이	것/NNB+이/JKS
장관측	장관/NNG+측/NNB
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.315.6.1
민주평통은 내년 총선(비례대표)부터 투표권을 갖게 되는 해외동포들에게 상당한 영향력을 갖고 있다.

민주평통은	민주평통/NNG+은/JX
내년	내년/NNG
총선(비례대표)부터	총선/NNG+(/SS+비례/NNG+대표/NNG+)/SS+부터/JX
투표권을	투표/NNG+권/XSN+을/JKO
갖게	갖/VV+게/EC
되는	되/VV+는/ETM
해외동포들에게	해외/NNG+동포/NNG+들/XSN+에게/JKB
