# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.259
metadata : {}


# id : NWRW1800000028.259.1.1
김구선생, 시한부 신탁통치 수용했어야 /아버지 잘못 사과한 박근혜엔 고마움 /개그우먼 김미화, 시사진행자 자질 상당

김구선생,	김구/NNP+선생/NNG+,/SP
시한부	시한부/NNG
신탁통치	신탁/NNG+통치/NNG
수용했어야	수용/NNG+하/XSV+았/EP+어야/EC
/아버지	//SP+아버지/NNG
잘못	잘못/MAG
사과한	사과/NNG+하/XSV+ㄴ/ETM
박근혜엔	박근혜/NNP+에/JKB+ㄴ/JX
고마움	고마움/NNG
/개그우먼	//SP+개그우먼/NNG
김미화,	김미화/NNP+,/SP
시사진행자	시사/NNG+진행자/NNG
자질	자질/NNG
상당	상당/NNG


# id : NWRW1800000028.259.2.1
고난이 필요한 시대 그는 고난의 화신이었다.

고난이	고난/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
시대	시대/NNG
그는	그/NP+는/JX
고난의	고난/NNG+의/JKG
화신이었다.	화신/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.259.2.2
시인 고은이 쓴 <만인보>의 ‘김대중’편 첫 구절이다.

시인	시인/NNG
고은이	고은/NNP+이/JKS
쓴	쓰/VV+ㄴ/ETM
<만인보>의	</SS+만인보/NNG+>/SS+의/JKG
‘김대중’편	‘/SS+김대중/NNP+’/SS+편/NNB
첫	첫/MMN
구절이다.	구절/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.259.3.1
김 전 대통령 자서전에는 <만인보>만큼 다양한 인물에 대한 평가가 담겨 있다.

김	김/NNP
전	전/MMD
대통령	대통령/NNG
자서전에는	자서전/NNG+에/JKB+는/JX
<만인보>만큼	</SS+만인보/NNG+>/SS+만큼/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
인물에	인물/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평가가	평가/NNG+가/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.259.3.2
1924년 태어난 김 전 대통령은 1945년 해방 이후 정치 생활을 시작하면서 많은 사람을 만났다.

1924년	1924/SN+년/NNB
태어난	태어나/VV+ㄴ/ETM
김	김/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
1945년	1945/SN+년/NNB
해방	해방/NNG
이후	이후/NNG
정치	정치/NNG
생활을	생활/NNG+을/JKO
시작하면서	시작/NNG+하/XSV+면서/EC
많은	많/VA+은/ETM
사람을	사람/NNG+을/JKO
