# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.352
metadata : {}


# id : NWRW1800000053.352.1.1
금액으론 15위… 소득 대비로 보면 8위

금액으론	금액/NNG+으로/JKB+ㄴ/JX
15위…	15/SN+위/NNB+…/SE
소득	소득/NNG
대비로	대비/NNG+로/JKB
보면	보/VV+면/EC
8위	8/SN+위/NNB


# id : NWRW1800000053.352.2.1
[내년 최저임금 시급 7530원]한국 최저임금 수준 비교해보니 한국 기본급-고정수당만 넣어 산출… 佛-英 등은 상여금-숙식비도 포함 업종이나 연령별 차등 적용하기도

[내년	[/SS+내년/NNG
최저임금	최저/NNG+임금/NNG
시급	시급/NNG
7530원]한국	7530/SN+원/NNB+]/SS+한국/NNP
수준	수준/NNG
비교해보니	비교/NNG+하/XSV+아/EC+보/VX+니/EC
한국	한국/NNP
기본급-고정수당만	기본급/NNG+-/SO+고정/NNG+수당/NNG+만/JX
넣어	넣/VV+어/EC
산출…	산출/NNG+…/SE
佛-英	佛/SH+-/SO+英/SH
등은	등/NNB+은/JX
상여금-숙식비도	상여금/NNG+-/SO+숙식비/NNG+도/JX
포함	포함/NNG
업종이나	업종/NNG+이나/JC
연령별	연령/NNG+별/XSN
차등	차등/NNG
적용하기도	적용/NNG+하/XSV+기/ETN+도/JX


# id : NWRW1800000053.352.3.1
노동계는 한국의 최저임금이 주요 선진국보다 여전히 낮은 수준이라며 하루빨리 시간당 1만 원으로 인상해야 한다고 주장한다.

노동계는	노동/NNG+계/XSN+는/JX
한국의	한국/NNP+의/JKG
최저임금이	최저/NNG+임금/NNG+이/JKS
주요	주요/NNG
선진국보다	선진국/NNG+보다/JKB
여전히	여전히/MAG
낮은	낮/VA+은/ETM
수준이라며	수준/NNG+이/VCP+라며/EC
하루빨리	하루빨리/MAG
시간당	시간/NNG+당/XSN
1만	1/SN+만/NR
원으로	원/NNB+으로/JKB
인상해야	인상/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
