# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.294
metadata : {}


# id : NWRW1800000041.294.1.1
[횡설수설/최영해]김성주 ‘韓赤 총재’와 그레이스 언니

[횡설수설/최영해]김성주	[/SS+횡설수설/NNG+//SP+최영해/NNP+]/SS+김성주/NNP
‘韓赤	‘/SS+韓赤/SH
총재’와	총재/NNG+’/SS+와/JC
그레이스	그레이스/NNP
언니	언니/NNG


# id : NWRW1800000041.294.2.1
김성주 성주그룹 회장은 박근혜 대통령을 ‘그레이스 언니’라고 부른다.

김성주	김성주/NNP
성주그룹	성주그룹/NNP
회장은	회장/NNG+은/JX
박근혜	박근혜/NNP
대통령을	대통령/NNG+을/JKO
‘그레이스	‘/SS+그레이스/NNP
언니’라고	언니/NNG+’/SS+라고/JKQ
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.294.2.2
박 대통령 이름 끝의 ‘은혜 혜(惠)’ 자를 영어로 푼 호칭이다.

박	박/NNP
대통령	대통령/NNG
이름	이름/NNG
끝의	끝/NNG+의/JKG
‘은혜	‘/SS+은혜/NNG
혜(惠)’	혜/NNG+(/SS+惠/SH+)/SS+’/SS
자를	자/NNG+를/JKO
영어로	영어/NNP+로/JKB
푼	풀/VV+ㄴ/ETM
호칭이다.	호칭/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.294.2.3
두 사람의 친밀도를 함축적으로 보여준다.

두	두/MMN
사람의	사람/NNG+의/JKG
친밀도를	친밀도/NNG+를/JKO
함축적으로	함축/NNG+적/XSN+으로/JKB
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.294.2.4
그는 2012년 대통령선거 때 새누리당 공동선거대책위원장을 맡아 박 대통령의 호위무사 같은 거침없는 언행으로 화제를 모았다.

그는	그/NP+는/JX
2012년	2012/SN+년/NNB
대통령선거	대통령/NNG+선거/NNG
때	때/NNG
새누리당	새누리당/NNP
