# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.130
metadata : {}


# id : NWRW1800000049.130.1.1
혹시 최근 아이의 말과 행동이 평소와 달리 거칠어졌나요

혹시	혹시/MAG
최근	최근/NNG
아이의	아이/NNG+의/JKG
말과	말/NNG+과/JC
행동이	행동/NNG+이/JKS
평소와	평소/NNG+와/JKB
달리	달리/MAG
거칠어졌나요	거칠/VA+어/EC+지/VX+었/EP+나/EF+요/JX


# id : NWRW1800000049.130.2.1
청소년 우울증 예방과 조기진단

청소년	청소년/NNG
우울증	우울증/NNG
예방과	예방/NNG+과/JC
조기진단	조기/NNG+진단/NNG


# id : NWRW1800000049.130.3.1
딸 채경이(가명·15)의 휴지통에서 공책 여러 권이 찢어진 채 발견됐을 때 주부 박모 씨(43)는 그 무섭다는 ‘중2병’이 조금 늦게 찾아온 줄로만 알았다.

딸	딸/NNG
채경이(가명·15)의	채경이/NNP+(/SS+가명/NNG+·/SP+15/SN+)/SS+의/JKG
휴지통에서	휴지통/NNG+에서/JKB
공책	공책/NNG
여러	여러/MMN
권이	권/NNB+이/JKS
찢어진	찢어지/VV+ㄴ/ETM
채	채/NNB
발견됐을	발견/NNG+되/XSV+었/EP+을/ETM
때	때/NNG
주부	주부/NNG
박모	박/NNP+모/NP
씨(43)는	씨/NNB+(/SS+43/SN+)/SS+는/JX
그	그/MMD
무섭다는	무섭/VA+다는/ETM
‘중2병’이	‘/SS+중/NNG+2/SN+병/NNG+’/SS+이/JKS
조금	조금/MAG
늦게	늦/VA+게/EC
찾아온	찾아오/VV+ㄴ/ETM
줄로만	줄/NNB+로/JKB+만/JX
알았다.	알/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.130.3.2
하지만 딸이 끼니를 자주 거르고 자살한 연예인에 대해 ‘죽으면 편할까’ 등의 이야기까지 하게 되자 박 씨는 딸과 함께 정신건강의학과를 찾았다.

하지만	하지만/MAJ
딸이	딸/NNG+이/JKS
끼니를	끼니/NNG+를/JKO
자주	자주/MAG
거르고	거르/VV+고/EC
자살한	자살/NNG+하/XSV+ㄴ/ETM
연예인에	연예인/NNG+에/JKB
대해	대하/VV+아/EC
‘죽으면	‘/SS+죽/VV+으면/EC
편할까’	편하/VA+ㄹ까/EF+’/SS
등의	등/NNB+의/JKG
이야기까지	이야기/NNG+까지/JX
하게	하/VV+게/EC
되자	되/VV+자/EC
박	박/NNP
씨는	씨/NNB+는/JX
딸과	딸/NNG+과/JKB
함께	함께/MAG
정신건강의학과를	정신/NNG+건강/NNG+의학과/NNG+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.130.3.3
채경 양은 소아청소년 우울증이라는 진단을 받았다.

채경	채경/NNP
양은	양/NNB+은/JX
소아청소년	소아/NNG+청소년/NNG
우울증이라는	우울증/NNG+이/VCP+라는/ETM
진단을	진단/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.130.4.1
한국 청소년(10∼19세)의 1995∼2012년 인구 10만 명당 자살자 수는 남성 5.6명, 여성 4.4명이었다.

한국	한국/NNP
청소년(10∼19세)의	청소년/NNG+(/SS+10/SN+∼/SO+19/SN+세/NNB+)/SS+의/JKG
1995∼2012년	1995/SN+∼/SO+2012/SN+년/NNB
인구	인구/NNG
10만	10/SN+만/NR
명당	명/NNB+당/XSN
자살자	자살자/NNG
수는	수/NNG+는/JX
남성	남성/NNG
5.6명,	5/SN+./SP+6/SN+명/NNB+,/SP
여성	여성/NNG
4.4명이었다.	4/SN+./SP+4/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.130.4.2
남성은 경제협력개발기구(OECD) 회원국 평균(6.2명)보다 약간 적지만 여성은 뉴질랜드(5.7명)에 이어 두 번째로 많다.

남성은	남성/NNG+은/JX
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
회원국	회원국/NNG
평균(6.2명)보다	평균/NNG+(/SS+6/SN+./SP+2/SN+명/NNB+)/SS+보다/JKB
약간	약간/MAG
적지만	적/VA+지만/EC
여성은	여성/NNG+은/JX
뉴질랜드(5.7명)에	뉴질랜드/NNP+(/SS+5/SN+./SP+7/SN+명/NNB+)/SS+에/JKB
이어	잇/VV+어/EC
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.130.4.3
통계청의 청소년 통계에 따르면 청소년 10명 중 1명은 지난 한 해 동안 한 번 이상 ‘자살하고 싶다’고 생각했고, 그 이유로는 성적 및 진학 문제(39.2%), 가정 불화(16.9%), 경제적 어려움(16.7%) 등이 꼽혔다.

통계청의	통계청/NNG+의/JKG
청소년	청소년/NNG
통계에	통계/NNG+에/JKB
따르면	따르/VV+면/EC
10명	10/SN+명/NNB
중	중/NNB
1명은	1/SN+명/NNB+은/JX
지난	지나/VV+ㄴ/ETM
한	한/MMN
해	해/NNB
동안	동안/NNG
번	번/NNB
이상	이상/NNG
‘자살하고	‘/SS+자살/NNG+하/XSV+고/EC
싶다’고	싶/VX+다/EF+’/SS+고/JKQ
생각했고,	생각/NNG+하/XSV+았/EP+고/EC+,/SP
그	그/MMD
이유로는	이유/NNG+로/JKB+는/JX
성적	성적/NNG
및	및/MAG
진학	진학/NNG
문제(39.2%),	문제/NNG+(/SS+39/SN+./SP+2/SN+%/SW+)/SS+,/SP
가정	가정/NNG
불화(16.9%),	불화/NNG+(/SS+16/SN+./SP+9/SN+%/SW+)/SS+,/SP
경제적	경제/NNG+적/XSN
어려움(16.7%)	어려움/NNG+(/SS+16/SN+./SP+7/SN+%/SW+)/SS
등이	등/NNB+이/JKS
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.130.5.1
청소년은 자신의 감정을 파악하고 표현하는 게 미숙해 성인 우울증에 비해 증상을 주변 사람이 눈치 채기 어렵다.

청소년은	청소년/NNG+은/JX
자신의	자신/NNG+의/JKG
감정을	감정/NNG+을/JKO
파악하고	파악/NNG+하/XSV+고/EC
표현하는	표현/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
미숙해	미숙/NNG+하/XSA+아/EC
성인	성인/NNG
우울증에	우울증/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
증상을	증상/NNG+을/JKO
주변	주변/NNG
사람이	사람/NNG+이/JKS
눈치	눈치/NNG
채기	채/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000049.130.5.2
스마트폰·게임 중독이나 사춘기의 급격한 기분 변화 등 다른 모습으로 보이는 경우가 많아 ‘가면(假面)우울증’이라고도 한다.

스마트폰·게임	스마트폰/NNG+·/SP+게임/NNG
중독이나	중독/NNG+이나/JC
사춘기의	사춘기/NNG+의/JKG
급격한	급격하/VA+ㄴ/ETM
기분	기분/NNG
변화	변화/NNG
등	등/NNB
다른	다른/MMD
모습으로	모습/NNG+으로/JKB
보이는	보이/VV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
‘가면(假面)우울증’이라고도	‘/SS+가면/NNG+(/SS+假面/SH+)/SS+우울증/NNG+’/SS+이/VCP+라고/EC+도/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.130.6.1
자녀가 평소와 달리 과격한 말과 행동을 하거나 별다른 이유 없이 몸이 아프다고 하면 우울증을 의심해 보는 게 좋다.

자녀가	자녀/NNG+가/JKS
평소와	평소/NNG+와/JKB
달리	달리/MAG
과격한	과격/NNG+하/XSA+ㄴ/ETM
말과	말/NNG+과/JC
행동을	행동/NNG+을/JKO
하거나	하/VV+거나/EC
별다른	별다르/VA+ㄴ/ETM
이유	이유/NNG
없이	없이/MAG
몸이	몸/NNG+이/JKS
아프다고	아프/VA+다고/EC
하면	하/VV+면/EC
우울증을	우울증/NNG+을/JKO
의심해	의심/NNG+하/XSV+아/EC
보는	보/VX+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000049.130.6.2
