# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.68
metadata : {}


# id : NWRW1800000032.68.1.1
한진중, 노·사합의 뒤 첫 선박 수주

한진중,	한진중/NNP+,/SP
노·사합의	노·사/NNG+합의/NNG
뒤	뒤/NNG
첫	첫/MMN
선박	선박/NNG
수주	수주/NNG


# id : NWRW1800000032.68.2.1
774억 규모 해군고속정 3척

774억	774/SN+억/NR
규모	규모/NNG
해군고속정	해군/NNG+고속정/NNG
3척	3/SN+척/NNB


# id : NWRW1800000032.68.3.1
‘1순위’ 선정 금명간 본계약

‘1순위’	‘/SS+1/SN+순위/NNG+’/SS
선정	선정/NNG
금명간	금명/NNG+간/XSN
본계약	본계약/NNG


# id : NWRW1800000032.68.4.1
“상선 쪽도 좋은 결과 기대”

“상선	“/SS+상선/NNG
쪽도	쪽/NNB+도/JX
좋은	좋/VA+은/ETM
결과	결과/NNG
기대”	기대/NNG+”/SS


# id : NWRW1800000032.68.5.1
한진중공업이 지난 10일 ‘정리해고자 1년 이내에 재고용’이라는 노사 합의를 이끌어낸 이후 처음으로 선박 수주에 성공했다.

한진중공업이	한진중공업/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
‘정리해고자	‘/SS+정리/NNG+해고자/NNG
1년	1/SN+년/NNB
이내에	이내/NNG+에/JKB
재고용’이라는	재/XPN+고용/NNG+’/SS+이/VCP+라는/ETM
노사	노사/NNG
합의를	합의/NNG+를/JKO
이끌어낸	이끌/VV+어/EC+내/VX+ㄴ/ETM
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
선박	선박/NNG
수주에	수주/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.68.6.1
한진중공업은 14일 금융감독원 전자공시시스템을 통해 “방위사업청이 발주한 해군 고속정(PKG) 3척 건조사업 입찰에서 우선협상 1순위 대상 업체로 선정됐다”고 밝혔다.

한진중공업은	한진중공업/NNP+은/JX
14일	14/SN+일/NNB
금융감독원	금융/NNG+감독원/NNG
전자공시시스템을	전자/NNG+공시/NNG+시스템/NNG+을/JKO
통해	통하/VV+아/EC
“방위사업청이	“/SS+방위/NNG+사업청/NNG+이/JKS
발주한	발주/NNG+하/XSV+ㄴ/ETM
해군	해군/NNG
고속정(PKG)	고속정/NNG+(/SS+PKG/SL+)/SS
3척	3/SN+척/NNB
건조사업	건조/NNG+사업/NNG
입찰에서	입찰/NNG+에서/JKB
우선협상	우선/NNG+협상/NNG
1순위	1/SN+순위/NNG
대상	대상/NNG
업체로	업체/NNG+로/JKB
선정됐다”고	선정/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.68.6.2
낙찰금액은 774억원이며, 특별한 변동사항이 없으면 조만간 본계약을 맺게 된다.

낙찰금액은	낙찰/NNG+금액/NNG+은/JX
774억원이며,	774/SN+억/NR+원/NNB+이/VCP+며/EC+,/SP
특별한	특별/NNG+하/XSA+ㄴ/ETM
변동사항이	변동/NNG+사항/NNG+이/JKS
없으면	없/VA+으면/EC
조만간	조만간/MAG
본계약을	본계약/NNG+을/JKO
맺게	맺/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.68.7.1
한진중공업은 2008년을 마지막으로 3년 가까이 컨테이너선 등 일반 상선 쪽 신규수주를 하지 못했었다.

한진중공업은	한진중공업/NNP+은/JX
2008년을	2008/SN+년/NNB+을/JKO
마지막으로	마지막/NNG+으로/JKB
3년	3/SN+년/NNB
가까이	가까이/MAG
컨테이너선	컨테이너선/NNG
등	등/NNB
일반	일반/NNG
상선	상선/NNG
쪽	쪽/NNB
신규수주를	신규/NNG+수주/NNG+를/JKO
하지	하/VV+지/EC
못했었다.	못하/VX+았었/EP+다/EF+./SF


# id : NWRW1800000032.68.7.2
지난 7월 아시아 지역 선주사와 4700TEU급 컨테이너선 4척을 2억5000만달러에 건조하기로 의향서(LOI)를 맺었으나, 아직 본계약은 체결하지 못한 상태다.

지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
아시아	아시아/NNP
지역	지역/NNG
선주사와	선주사/NNG+와/JC
4700TEU급	4700/SN+TEU/SW+급/NNG
컨테이너선	컨테이너선/NNG
4척을	4/SN+척/NNB+을/JKO
2억5000만달러에	2/SN+억/NR+5000/SN+만/NR+달러/NNB+에/JKB
건조하기로	건조/NNG+하/XSV+기/ETN+로/JKB
의향서(LOI)를	의향서/NNG+(/SS+LOI/SL+)/SS+를/JKO
맺었으나,	맺/VV+었/EP+으나/EC+,/SP
아직	아직/MAG
본계약은	본계약/NNG+은/JX
체결하지	체결/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.68.7.3
다만 특수선 쪽에서는 지난달 방위사업청과 1890억원 규모의 해군 차기상륙함(LST-Ⅱ) 1척을 건조하는 계약을 맺는 등 수주 소식이 간간이 이어져왔다.

다만	다만/MAG
특수선	특수선/NNG
쪽에서는	쪽/NNB+에서/JKB+는/JX
지난달	지난달/NNG
방위사업청과	방위/NNG+사업청/NNG+과/JKB
1890억원	1890/SN+억/NR+원/NNB
규모의	규모/NNG+의/JKG
해군	해군/NNG
차기상륙함(LST-Ⅱ)	차기/NNG+상륙함/NNG+(/SS+LST/SL+-/SO+Ⅱ/SL+)/SS
1척을	1/SN+척/NNB+을/JKO
건조하는	건조/NNG+하/XSV+는/ETM
계약을	계약/NNG+을/JKO
맺는	맺/VV+는/ETM
등	등/NNB
수주	수주/NNG
소식이	소식/NNG+이/JKS
간간이	간간이/MAG
이어져왔다.	이어지/VV+어/EC+오/VX+았/EP+다/EF+./SF


