# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.299
metadata : {}


# id : NWRW1800000025.299.1.1
[부동산 캘린더]수원 이목동 ‘STX칸’ 등 4곳 청약

[부동산	[/SS+부동산/NNG
캘린더]수원	캘린더/NNG+]/SS+수원/NNP
이목동	이목동/NNP
‘STX칸’	‘/SS+STX/SL+칸/NNG+’/SS
등	등/NNB
4곳	4/SN+곳/NNG
청약	청약/NNG


# id : NWRW1800000025.299.2.1
시장 분위기가 다소 좋아지면서 전국적으로 신규 청약과 모델하우스 개관이 잇따르고 있다.

시장	시장/NNG
분위기가	분위기/NNG+가/JKS
다소	다소/MAG
좋아지면서	좋/VA+아/EC+지/VX+면서/EC
전국적으로	전국/NNG+적/XSN+으로/JKB
신규	신규/NNG
청약과	청약/NNG+과/JC
모델하우스	모델하우스/NNG
개관이	개관/NNG+이/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.299.2.2
24일 부동산정보업체 부동산써브에 따르면 이번 주 분양시장은 청약접수 4곳, 당첨자 발표 6곳, 당첨자 계약 10곳, 모델하우스 개관 5곳 등이 예정돼 있다.

24일	24/SN+일/NNB
부동산정보업체	부동산/NNG+정보업체/NNG
부동산써브에	부동산써브/NNP+에/JKB
따르면	따르/VV+면/EC
이번	이번/NNG
주	주/NNG
분양시장은	분양/NNG+시장/NNG+은/JX
청약접수	청약/NNG+접수/NNG
4곳,	4/SN+곳/NNG+,/SP
당첨자	당첨자/NNG
발표	발표/NNG
6곳,	6/SN+곳/NNG+,/SP
계약	계약/NNG
10곳,	10/SN+곳/NNG+,/SP
모델하우스	모델하우스/NNG
개관	개관/NNG
5곳	5/SN+곳/NNG
등이	등/NNB+이/JKS
예정돼	예정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.299.3.1
26일 STX건설은 경기 수원시 장안구 이목동 ‘STX칸’의 청약접수를 받는다.

26일	26/SN+일/NNB
STX건설은	STX/SL+건설/NNG+은/JX
경기	경기/NNP
수원시	수원시/NNP
장안구	장안구/NNP
이목동	이목동/NNP
‘STX칸’의	‘/SS+STX/SL+칸/NNG+’/SS+의/JKG
청약접수를	청약/NNG+접수/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000025.299.3.2
지하 2층, 지상 26층, 13개동에 전용면적 59∼124m² 947채가 들어선다.

지하	지하/NNG
2층,	2/SN+층/NNG+,/SP
지상	지상/NNG
26층,	26/SN+층/NNG+,/SP
13개동에	13/SN+개/NNB+동/NNB+에/JKB
전용면적	전용/NNG+면적/NNG
59∼124m²	59/SN+∼/SO+124/SN+m²/SW
947채가	947/SN+채/NNB+가/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.299.3.3
공사예정지 동쪽으로 북수원나들목이 1km, 의왕나들목이 3km로 가까워 영동고속도로 진입이 수월하다.

공사예정지	공사/NNG+예정지/NNG
동쪽으로	동쪽/NNG+으로/JKB
북수원나들목이	북수원나들목/NNP+이/JKS
1km,	1/SN+km/SW+,/SP
의왕나들목이	의왕나들목/NNP+이/JKS
3km로	3/SN+km/SW+로/JKB
가까워	가깝/VA+어/EC
영동고속도로	영동고속도로/NNP
진입이	진입/NNG+이/JKS
수월하다.	수월하/VA+다/EF+./SF


# id : NWRW1800000025.299.4.1
27일 삼성중공업은 경기 용인시 처인구 포곡읍 둔전리 ‘삼성쉐르빌’의 청약신청을 받는다.

27일	27/SN+일/NNB
삼성중공업은	삼성중공업/NNP+은/JX
경기	경기/NNP
용인시	용인시/NNP
처인구	처인구/NNP
포곡읍	포곡읍/NNP
둔전리	둔전리/NNP
‘삼성쉐르빌’의	‘/SS+삼성쉐르빌/NNP+’/SS+의/JKG
청약신청을	청약/NNG+신청/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000025.299.4.2
지하 2층, 지상 17층, 8개 동에 84∼154m² 469채로 구성됐다.

지하	지하/NNG
2층,	2/SN+층/NNG+,/SP
지상	지상/NNG
17층,	17/SN+층/NNG+,/SP
8개	8/SN+개/NNB
동에	동/NNB+에/JKB
84∼154m²	84/SN+∼/SO+154/SN+m²/SW
469채로	469/SN+채/NNB+로/JKB
구성됐다.	구성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.299.4.3
개통을 앞둔 용인경전철 둔전역이 걸어서 10분 거리에 있고 영동고속도로 용인나들목이 자동차로 5분 거리다.

개통을	개통/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
용인경전철	용인경전철/NNP
둔전역이	둔전역/NNP+이/JKS
걸어서	걷/VV+어서/EC
10분	10/SN+분/NNB
거리에	거리/NNG+에/JKB
있고	있/VA+고/EC
영동고속도로	영동고속도로/NNP
용인나들목이	용인나들목/NNP+이/JKS
자동차로	자동차/NNG+로/JKB
5분	5/SN+분/NNB
