# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.215
metadata : {}


# id : NWRW1800000032.215.1.1
‘한화 재무통’ 홍동옥사장 영장 재청구

‘한화	‘/SS+한화/NNP
재무통’	재무통/NNG+’/SS
홍동옥사장	홍동옥/NNP+사장/NNG
영장	영장/NNG
재청구	재/XPN+청구/NNG


# id : NWRW1800000032.215.2.1
검찰, 개인비리 혐의 추가

검찰,	검찰/NNG+,/SP
개인비리	개인/NNG+비리/NNG
혐의	혐의/NNG
추가	추가/NNG


# id : NWRW1800000032.215.3.1
전·현직 대표 등 4명 영장

전·현직	전·현직/NNG
대표	대표/NNG
등	등/NNB
4명	4/SN+명/NNB
영장	영장/NNG


# id : NWRW1800000032.215.4.1
한화그룹의 비자금 조성 의혹을 수사중인 서울서부지검 형사5부(부장 이원곤)는 한화그룹이 계열사를 동원해 사실상 김 회장 일가가 소유한 업체에 수천억원을 부당지원한 혐의(특가법의 업무상 횡령·배임, 증권거래법의 사기적 부정거래 등)로 그룹 재무담당 최고책임자를 지낸 홍동옥(62) 여천엔시시(NCC) 사장에 대해 구속영장을 재청구했다.

한화그룹의	한화그룹/NNP+의/JKG
비자금	비자금/NNG
조성	조성/NNG
의혹을	의혹/NNG+을/JKO
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
서울서부지검	서울서부지검/NNP
형사5부(부장	형사/NNG+5/SN+부/NNG+(/SS+부장/NNG
이원곤)는	이원곤/NNP+)/SS+는/JX
한화그룹이	한화그룹/NNP+이/JKS
계열사를	계열사/NNG+를/JKO
동원해	동원/NNG+하/XSV+아/EC
사실상	사실/NNG+상/XSN
김	김/NNP
회장	회장/NNG
일가가	일가/NNG+가/JKS
소유한	소유/NNG+하/XSV+ㄴ/ETM
업체에	업체/NNG+에/JKB
수천억원을	수천억/NR+원/NNB+을/JKO
부당지원한	부당/NNG+지원/NNG+하/XSV+ㄴ/ETM
혐의(특가법의	혐의/NNG+(/SS+특가법/NNG+의/JKG
업무상	업무/NNG+상/XSN
횡령·배임,	횡령/NNG+·/SP+배임/NNG+,/SP
증권거래법의	증권/NNG+거래법/NNG+의/JKG
사기적	사기/NNG+적/XSN
부정거래	부정/NNG+거래/NNG
등)로	등/NNB+)/SS+로/JKB
그룹	그룹/NNG
재무담당	재무/NNG+담당/NNG
최고책임자를	최고/NNG+책임자/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
홍동옥(62)	홍동옥/NNP+(/SS+62/SN+)/SS
여천엔시시(NCC)	여천엔시시/NNP+(/SS+NCC/SL+)/SS
사장에	사장/NNG+에/JKB
대해	대하/VV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
재청구했다.	재/XPN+청구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.215.4.2
또 한화 호텔앤드리조트 김관수(59) 전 대표, ㈜한화건설 김현중(59) 대표 등 4명에 대해서도 구속영장을 청구했다고 20일 밝혔다.

또	또/MAG
한화	한화/NNP
호텔앤드리조트	호텔앤드리조트/NNP
김관수(59)	김관수/NNP+(/SS+59/SN+)/SS
전	전/MMD
대표,	대표/NNG+,/SP
㈜한화건설	㈜/SW+한화건설/NNP
김현중(59)	김현중/NNP+(/SS+59/SN+)/SS
대표	대표/NNG
등	등/NNB
4명에	4/SN+명/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
구속영장을	구속/NNG+영장/NNG+을/JKO
청구했다고	청구/NNG+하/XSV+았/EP+다고/EC
20일	20/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.215.5.1
검찰의 설명에 따르면, 홍 사장은 ㈜한화가 보유한 한화에스앤씨(S&C) 주식을 저가로 매각하는 등 회사에 1000억원 이상의 손해를 끼친 혐의를 받고 있다.

검찰의	검찰/NNG+의/JKG
설명에	설명/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
홍	홍/NNP
사장은	사장/NNG+은/JX
㈜한화가	㈜/SW+한화/NNP+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
한화에스앤씨(S&C)	한화에스앤씨/NNP+(/SS+S/SL+&/SW+C/SL+)/SS
주식을	주식/NNG+을/JKO
저가로	저가/NNG+로/JKB
매각하는	매각/NNG+하/XSV+는/ETM
등	등/NNB
회사에	회사/NNG+에/JKB
1000억원	1000/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
손해를	손해/NNG+를/JKO
끼친	끼치/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.215.5.2
이번 영장엔 홍 사장이 그룹 위장 계열사(한익스프레스)의 경영권이 마치 한화 김승연(59) 회장의 누나와 조카 등 친인척에게 넘어간 것처럼 꾸민 뒤 자신이 차명으로 갖고 있던 이 회사 주식을 팔아 2억여원의 부당이익을 챙긴 혐의도 포함됐다.

이번	이번/NNG
영장엔	영장/NNG+에/JKB+ㄴ/JX
홍	홍/NNP
사장이	사장/NNG+이/JKS
그룹	그룹/NNG
위장	위장/NNG
계열사(한익스프레스)의	계열사/NNG+(/SS+한익스프레스/NNP+)/SS+의/JKG
경영권이	경영/NNG+권/XSN+이/JKS
마치	마치/MAG
한화	한화/NNP
김승연(59)	김승연/NNP+(/SS+59/SN+)/SS
회장의	회장/NNG+의/JKG
누나와	누나/NNG+와/JC
조카	조카/NNG
등	등/NNB
친인척에게	친인척/NNG+에게/JKB
넘어간	넘어가/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
꾸민	꾸미/VV+ㄴ/ETM
뒤	뒤/NNG
자신이	자신/NNG+이/JKS
차명으로	차명/NNG+으로/JKB
갖고	갖/VV+고/EC
있던	있/VX+던/ETM
이	이/MMD
회사	회사/NNG
주식을	주식/NNG+을/JKO
팔아	팔/VV+아/EC
2억여원의	2/SN+억/NR+여/XSN+원/NNB+의/JKG
부당이익을	부당/NNG+이익/NNG+을/JKO
챙긴	챙기/VV+ㄴ/ETM
혐의도	혐의/NNG+도/JX
