# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.225
metadata : {}


# id : NWRW1800000052.225.1.1
검찰, 남상태 구속영장 청구

검찰,	검찰/NNG+,/SP
남상태	남상태/NNP
구속영장	구속/NNG+영장/NNG
청구	청구/NNG


# id : NWRW1800000052.225.2.1
소환 뒤 긴급체포, 곧바로 구속영장 청구

소환	소환/NNG
뒤	뒤/NNG
긴급체포,	긴급/NNG+체포/NNG+,/SP
곧바로	곧바로/MAG
구속영장	구속/NNG+영장/NNG
청구	청구/NNG


# id : NWRW1800000052.225.3.1
검찰 “최대한 신속하게 수사하겠다”

검찰	검찰/NNG
“최대한	“/SS+최대한/MAG
신속하게	신속/NNG+하/XSA+게/EC
수사하겠다”	수사/NNG+하/XSV+겠/EP+다/EF+”/SS


# id : NWRW1800000052.225.4.1
대우조선해양 비리 의혹을 수사하는 검찰이 배임수재 등 혐의로 남상태 전 사장에 대한 구속영장을 28일 청구했다.

대우조선해양	대우조선해양/NNP
비리	비리/NNG
의혹을	의혹/NNG+을/JKO
수사하는	수사/NNG+하/XSV+는/ETM
검찰이	검찰/NNG+이/JKS
배임수재	배임/NNG+수재/NNG
등	등/NNB
혐의로	혐의/NNG+로/JKB
남상태	남상태/NNP
전	전/MMD
사장에	사장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
구속영장을	구속/NNG+영장/NNG+을/JKO
28일	28/SN+일/NNB
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.225.4.2
대우조선해양 압수수색을 한 지 20일만으로, 검찰 수사가 빠르게 진행되고 있다.

대우조선해양	대우조선해양/NNP
압수수색을	압수/NNG+수색/NNG+을/JKO
한	하/VV+ㄴ/ETM
지	지/NNB
20일만으로,	20/SN+일/NNB+만/JX+으로/JKB+,/SP
검찰	검찰/NNG
수사가	수사/NNG+가/JKS
빠르게	빠르/VA+게/EC
진행되고	진행/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.225.4.3
대검 부패범죄특별수사단(단장 김기동)은 이날 “충분한 준비와 내사를 했다.

대검	대검/NNG
부패범죄특별수사단(단장	부패/NNG+범죄/NNG+특별/NNG+수사단/NNG+(/SS+단장/NNG
김기동)은	김기동/NNP+)/SS+은/JX
이날	이날/NNG
“충분한	“/SS+충분하/VA+ㄴ/ETM
준비와	준비/NNG+와/JC
내사를	내사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.225.4.4
특수단 출범 때부터 수사력을 집중해 최대한 신속하게 수사할 방침이었다”고 밝혔다.

특수단	특수단/NNG
출범	출범/NNG
때부터	때/NNG+부터/JX
수사력을	수사력/NNG+을/JKO
집중해	집중/NNG+하/XSV+아/EC
최대한	최대한/MAG
신속하게	신속/NNG+하/XSA+게/EC
수사할	수사/NNG+하/XSV+ㄹ/ETM
방침이었다”고	방침/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.225.5.1
2006년 대우조선해양 사장이 돼, 2012년까지 사장직을 유지한 남 전 사장은 사장직 연임을 위해 각종 로비와 분식 회계로 실적 부풀리기 등을 했다는 의혹을 사고 있다.

2006년	2006/SN+년/NNB
대우조선해양	대우조선해양/NNP
사장이	사장/NNG+이/JKS
돼,	되/VV+어/EC+,/SP
2012년까지	2012/SN+년/NNB+까지/JX
사장직을	사장직/NNG+을/JKO
유지한	유지/NNG+하/XSV+ㄴ/ETM
남	남/NNP
전	전/MMD
사장은	사장/NNG+은/JX
사장직	사장직/NNG
연임을	연임/NNG+을/JKO
위해	위하/VV+아/EC
각종	각종/NNG
로비와	로비/NNG+와/JC
분식	분식/NNG
회계로	회계/NNG+로/JKB
실적	실적/NNG
부풀리기	부풀리기/NNG
등을	등/NNB+을/JKO
했다는	하/VV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.225.6.1
남 전 사장은 대학 동창인 정아무개(구속)씨가 대표로 있는 ㅎ해운해양에 120억원 상당의 일감을 몰아주고 수억원의 뒷돈을 챙긴 혐의를 받고 있다.

남	남/NNP
전	전/MMD
사장은	사장/NNG+은/JX
대학	대학/NNG
동창인	동창/NNG+이/VCP+ㄴ/ETM
정아무개(구속)씨가	정/NNP+아무개/NP+(/SS+구속/NNG+)/SS+씨/NNB+가/JKS
대표로	대표/NNG+로/JKB
있는	있/VV+는/ETM
ㅎ해운해양에	ㅎ/NNG+해운/NNG+해양/NNG+에/JKB
120억원	120/SN+억/NR+원/NNB
상당의	상당/NNG+의/JKG
일감을	일감/NNG+을/JKO
몰아주고	몰아주/VV+고/EC
수억원의	수억/NR+원/NNB+의/JKG
뒷돈을	뒷돈/NNG+을/JKO
챙긴	챙기/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.225.6.2
또 대우조선해양의 자회사가 인수한 회사의 지분 10억원 어치를 차명으로 갖고 수억원의 배당을 받은 혐의도 받고 있다.

또	또/MAG
대우조선해양의	대우조선해양/NNP+의/JKG
자회사가	자회사/NNG+가/JKS
인수한	인수/NNG+하/XSV+ㄴ/ETM
회사의	회사/NNG+의/JKG
지분	지분/NNG
10억원	10/SN+억/NR+원/NNB
어치를	어치/XSN+를/JKO
차명으로	차명/NNG+으로/JKB
갖고	갖/VV+고/EC
수억원의	수억/NR+원/NNB+의/JKG
배당을	배당/NNG+을/JKO
받은	받/VV+은/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.225.6.3
대우조선해양에서 퇴직한 뒤 정씨로부터 억대의 사무실 운영비 등도 지원받은 것으로 알려졌다.

대우조선해양에서	대우조선해양/NNP+에서/JKB
퇴직한	퇴직/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
정씨로부터	정/NNP+씨/NNB+로부터/JKB
억대의	억/NR+대/XSN+의/JKG
사무실	사무실/NNG
운영비	운영비/NNG
등도	등/NNB+도/JX
지원받은	지원/NNG+받/XSV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.225.7.1
검찰은 또 남 전 사장이 최측근인 건축가 이창하씨에게 오만 선상호텔 사업과 서울 당산동 사옥매입 과정에서 수백억원대의 사업상 특혜를 제공하고 얻은 부당 이득으로 비자금을 조성한 의혹도 수사하고 있다.

검찰은	검찰/NNG+은/JX
또	또/MAG
남	남/NNP
전	전/MMD
사장이	사장/NNG+이/JKS
최측근인	최/XPN+측근/NNG+이/VCP+ㄴ/ETM
건축가	건축가/NNG
이창하씨에게	이창하/NNP+씨/NNB+에게/JKB
오만	오만/NNP
선상호텔	선상/NNG+호텔/NNG
사업과	사업/NNG+과/JC
서울	서울/NNP
당산동	당산동/NNP
사옥매입	사옥/NNG+매입/NNG
과정에서	과정/NNG+에서/JKB
수백억원대의	수백억/NR+원/NNB+대/XSN+의/JKG
사업상	사업/NNG+상/XSN
특혜를	특혜/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
얻은	얻/VV+은/ETM
부당	부당/NNG
이득으로	이득/NNG+으로/JKB
비자금을	비자금/NNG+을/JKO
조성한	조성/NNG+하/XSV+ㄴ/ETM
의혹도	의혹/NNG+도/JX
수사하고	수사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.225.8.1
남 사장은 전날 오전 피의자 자격으로 검찰에 출석해 조사를 받다가, 이날 새벽 증거 인멸 및 추가 범죄 혐의 발견 등의 이유로 검찰에 긴급 체포됐다.

남	남/NNP
사장은	사장/NNG+은/JX
전날	전날/NNG
오전	오전/NNG
피의자	피의자/NNG
자격으로	자격/NNG+으로/JKB
검찰에	검찰/NNG+에/JKB
출석해	출석/NNG+하/XSV+아/EC
조사를	조사/NNG+를/JKO
받다가,	받/VV+다가/EC+,/SP
이날	이날/NNG
새벽	새벽/NNG
증거	증거/NNG
인멸	인멸/NNG
및	및/MAG
추가	추가/NNG
범죄	범죄/NNG
혐의	혐의/NNG
발견	발견/NNG
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
긴급	긴급/NNG
체포됐다.	체포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.225.8.2
검찰 관계자는 “추가로 확인된 범죄 혐의나 사정 등을 고려할 때 체포하는 게 상당하다고 판단했다”며 “그가 조사 과정에서 심리적 불안 증세를 보인 것도 체포 이유”라고 밝혔다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“추가로	“/SS+추가/NNG+로/JKB
확인된	확인/NNG+되/XSV+ㄴ/ETM
범죄	범죄/NNG
혐의나	혐의/NNG+나/JC
사정	사정/NNG
등을	등/NNB+을/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
체포하는	체포/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
상당하다고	상당/NNG+하/XSA+다고/EC
판단했다”며	판단/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“그가	“/SS+그/NP+가/JKS
조사	조사/NNG
과정에서	과정/NNG+에서/JKB
심리적	심리/NNG+적/XSN
불안	불안/NNG
증세를	증세/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
것도	것/NNB+도/JX
체포	체포/NNG
이유”라고	이유/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.225.8.3
남 전 사장이 주요 증거물을 다른 장소에 감춰놓고, 관련자에게 거짓 진술을 부탁한 사실도 드러났다.

남	남/NNP
전	전/MMD
사장이	사장/NNG+이/JKS
주요	주요/NNG
증거물을	증거물/NNG+을/JKO
다른	다른/MMD
장소에	장소/NNG+에/JKB
감춰놓고,	감추/VV+어/EC+놓/VX+고/EC+,/SP
관련자에게	관련자/NNG+에게/JKB
거짓	거짓/NNG
진술을	진술/NNG+을/JKO
부탁한	부탁/NNG+하/XSV+ㄴ/ETM
사실도	사실/NNG+도/JX
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.225.9.1
검찰은 신속하고 정밀한 수사를 위해 대검찰청 검찰연구관 2명, 대검 수사관 10여명 등 수사인력을 대거 확충했다.

검찰은	검찰/NNG+은/JX
신속하고	신속/NNG+하/XSA+고/EC
정밀한	정밀/NNG+하/XSA+ㄴ/ETM
수사를	수사/NNG+를/JKO
위해	위하/VV+아/EC
대검찰청	대/XPN+검찰청/NNG
검찰연구관	검찰/NNG+연구관/NNG
2명,	2/SN+명/NNB+,/SP
대검	대검/NNG
수사관	수사관/NNG
10여명	10/SN+여/XSN+명/NNB
등	등/NNB
수사인력을	수사/NNG+인력/NNG+을/JKO
대거	대거/MAG
확충했다.	확충/NNG+하/XSV+았/EP+다/EF+./SF


