# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.332
metadata : {}


# id : NWRW1800000022.332.1.1
[인천ㆍ부천]인천 입시학원 증가율 전국 최고

[인천ㆍ부천]인천	[/SS+인천/NNP+ㆍ/SP+부천/NNP+]/SS+인천/NNP
입시학원	입시/NNG+학원/NNG
증가율	증가/NNG+율/XSN
전국	전국/NNG
최고	최고/NNG


# id : NWRW1800000022.332.2.1
지난해 인천에 새로 생긴 입시학원의 증가율이 전국 다른 시·도에 비해 가장 높은 것으로 나타났다.

지난해	지난해/NNG
인천에	인천/NNP+에/JKB
새로	새로/MAG
생긴	생기/VV+ㄴ/ETM
입시학원의	입시/NNG+학원/NNG+의/JKG
증가율이	증가/NNG+율/XSN+이/JKS
전국	전국/NNG
다른	다른/MMD
시·도에	시·도/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
가장	가장/MAG
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.332.3.1
교육과학기술부가 김선동(한나라당) 국회의원에게 제출한 '2007~2009 학년도 시·도 교육청별 학원수 현황' 자료에 따르면 지난 6월 말 현재 전국의 학원수는 모두 8만750곳으로 집계됐다.

교육과학기술부가	교육/NNG+과학/NNG+기술부/NNG+가/JKS
김선동(한나라당)	김선동/NNP+(/SS+한나라당/NNP+)/SS
국회의원에게	국회/NNG+의원/NNG+에게/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
'2007~2009	'/SS+2007/SN+~/SO+2009/SN
학년도	학년도/NNG
시·도	시·도/NNG
교육청별	교육청/NNG+별/XSN
학원수	학원/NNG+수/NNG
현황'	현황/NNG+'/SS
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
말	말/NNB
현재	현재/MAG
전국의	전국/NNG+의/JKG
학원수는	학원/NNG+수/NNG+는/JX
모두	모두/MAG
8만750곳으로	8/SN+만/NR+750/SN+곳/NNG+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.332.4.1
가장 많은 곳은 경기도(1만8915곳)이고, 다음은 서울(1만4643곳), 경남(6405곳), 부산(5259곳), 전북(3977곳), 대구(3760곳), 경북(3718곳), 광주(3548곳), 인천(3377곳) 등 순이다.

가장	가장/MAG
많은	많/VA+은/ETM
곳은	곳/NNG+은/JX
경기도(1만8915곳)이고,	경기도/NNP+(/SS+1/SN+만/NR+8915/SN+곳/NNG+)/SS+이/VCP+고/EC+,/SP
다음은	다음/NNG+은/JX
서울(1만4643곳),	서울/NNP+(/SS+1/SN+만/NR+4643/SN+곳/NNG+)/SS+,/SP
경남(6405곳),	경남/NNP+(/SS+6405/SN+곳/NNG+)/SS+,/SP
부산(5259곳),	부산/NNP+(/SS+5259/SN+곳/NNG+)/SS+,/SP
전북(3977곳),	전북/NNP+(/SS+3977/SN+곳/NNG+)/SS+,/SP
대구(3760곳),	대구/NNP+(/SS+3760/SN+곳/NNG+)/SS+,/SP
경북(3718곳),	경북/NNP+(/SS+3718/SN+곳/NNG+)/SS+,/SP
광주(3548곳),	광주/NNP+(/SS+3548/SN+곳/NNG+)/SS+,/SP
