# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.287
metadata : {}


# id : NWRW1800000048.287.1.1
‘죽기 전 고향 땅으로…’ 고령 이산가족들, 성묘 방북 추진 나서

‘죽기	‘/SS+죽/VV+기/ETN
전	전/NNG
고향	고향/NNG
땅으로…’	땅/NNG+으로/JKB+…/SE+’/SS
고령	고령/NNG
이산가족들,	이산가족/NNG+들/XSN+,/SP
성묘	성묘/NNG
방북	방북/NNG
추진	추진/NNG
나서	나서/VV+어/EF


# id : NWRW1800000048.287.2.1
추진위 “25일부터 사흘간 신청”

추진위	추진위/NNG
“25일부터	“/SS+25/SN+일/NNB+부터/JX
사흘간	사흘/NNG+간/XSN
신청”	신청/NNG+”/SS


# id : NWRW1800000048.287.3.1
고령 이산가족들이 이번 한가위에 직접 북녘 고향을 찾아가겠다고 나섰다.

고령	고령/NNG
이산가족들이	이산가족/NNG+들/XSN+이/JKS
이번	이번/NNG
한가위에	한가위/NNG+에/JKB
직접	직접/MAG
북녘	북녘/NNG
고향을	고향/NNG+을/JKO
찾아가겠다고	찾아가/VV+겠/EP+다고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.287.3.2
불확실한 남북관계 속에서 정부가 추진하는 이산가족 상봉을 마냥 기다릴 수만은 없다는 이유에서다.

불확실한	불확실/NNG+하/XSA+ㄴ/ETM
남북관계	남북/NNP+관계/NNG
속에서	속/NNG+에서/JKB
정부가	정부/NNG+가/JKS
추진하는	추진/NNG+하/XSV+는/ETM
이산가족	이산가족/NNG
상봉을	상봉/NNG+을/JKO
마냥	마냥/MAG
기다릴	기다리/VV+ㄹ/ETM
수만은	수/NNB+만/JX+은/JX
없다는	없/VA+다는/ETM
이유에서다.	이유/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000048.287.4.1
일천만이산가족위원회와 이북도민회중앙연합회는 4일 오전 서울 종로구 구기동 이북5도청 통일회관에서 ‘80세 이상 고령 이산가족 성묘방북 추진위원회’(추진위) 발단식을 열고 “통일부에 오는 25일부터 사흘 동안 경기도 개성·인근지역의 성묘 방북을 신청하겠다”고 밝혔다.

일천만이산가족위원회와	일천만/NR+이산가족/NNG+위원회/NNG+와/JC
이북도민회중앙연합회는	이북/NNG+도민회/NNG+중앙/NNG+연합회/NNG+는/JX
4일	4/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
종로구	종로구/NNP
구기동	구기동/NNP
이북5도청	이북/NNG+5/SN+도청/NNG
통일회관에서	통일회관/NNP+에서/JKB
‘80세	‘/SS+80/SN+세/NNB
이상	이상/NNG
고령	고령/NNG
이산가족	이산가족/NNG
성묘방북	성묘/NNG+방북/NNG
추진위원회’(추진위)	추진/NNG+위원회/NNG+’/SS+(/SS+추진위/NNG+)/SS
발단식을	발단식/NNG+을/JKO
열고	열/VV+고/EC
“통일부에	“/SS+통일부/NNG+에/JKB
오는	오/VV+는/ETM
25일부터	25/SN+일/NNB+부터/JX
사흘	사흘/NNG
동안	동안/NNG
경기도	경기도/NNP
개성·인근지역의	개성/NNP+·/SP+인근/NNG+지역/NNG+의/JKG
성묘	성묘/NNG
방북을	방북/NNG+을/JKO
신청하겠다”고	신청/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.287.4.2
성묘 방북단에는 30여명의 고령 실향민과 가족보조원, 수행원 등 70여명이 참여한다.

성묘	성묘/NNG
방북단에는	방북단/NNG+에/JKB+는/JX
30여명의	30/SN+여/XSN+명/NNB+의/JKG
고령	고령/NNG
실향민과	실향민/NNG+과/JC
가족보조원,	가족/NNG+보조원/NNG+,/SP
수행원	수행원/NNG
등	등/NNB
