# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.50
metadata : {}


# id : NWRW1800000026.50.1.1
[제주·서울] 노래방 배경화면에 제주홍보 영상 무료 제공

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
노래방	노래방/NNG
배경화면에	배경/NNG+화면/NNG+에/JKB
제주홍보	제주/NNP+홍보/NNG
영상	영상/NNG
무료	무료/NNG
제공	제공/NNG


# id : NWRW1800000026.50.2.1
제주의 비경이 노래방의 노래영상기 화면을 통해 전국에 소개된다.

제주의	제주/NNP+의/JKG
비경이	비경/NNG+이/JKS
노래방의	노래방/NNG+의/JKG
노래영상기	노래/NNG+영상기/NNG
화면을	화면/NNG+을/JKO
통해	통하/VV+아/EC
전국에	전국/NNG+에/JKB
소개된다.	소개/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.50.3.1
제주도는 노래방과 단란주점에 영상기를 보급하는 ㈜금영, ㈜TJ(태진)와 제주도가 저작권을 갖고 있는 홍보 영상을 노래영상기 배경화면용으로 무료로 제공하기로 협약했다고 8일 밝혔다.

제주도는	제주도/NNP+는/JX
노래방과	노래방/NNG+과/JC
단란주점에	단란/XR+주점/NNG+에/JKB
영상기를	영상기/NNG+를/JKO
보급하는	보급/NNG+하/XSV+는/ETM
㈜금영,	㈜/SW+금영/NNP+,/SP
㈜TJ(태진)와	㈜/SW+TJ/SL+(/SS+태진/NNP+)/SS+와/JC
제주도가	제주도/NNP+가/JKS
저작권을	저작/NNG+권/XSN+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
홍보	홍보/NNG
영상을	영상/NNG+을/JKO
노래영상기	노래/NNG+영상기/NNG
배경화면용으로	배경/NNG+화면/NNG+용/XSN+으로/JKB
무료로	무료/NNG+로/JKB
제공하기로	제공/NNG+하/XSV+기/ETN+로/JKB
협약했다고	협약/NNG+하/XSV+았/EP+다고/EC
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.50.3.2
이들 업체는 노래 선곡하는 대기시간이나 제주와 관련된 노래를 선곡할 때마다 제주의 비경 등이 배경 영상으로 나오는 프로그램을 제작했다.

이들	이/NP+들/XSN
업체는	업체/NNG+는/JX
노래	노래/NNG
선곡하는	선곡/NNG+하/XSV+는/ETM
대기시간이나	대기/NNG+시간/NNG+이나/JC
제주와	제주/NNP+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
노래를	노래/NNG+를/JKO
선곡할	선곡/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
제주의	제주/NNP+의/JKG
비경	비경/NNG
등이	등/NNB+이/JKS
배경	배경/NNG
영상으로	영상/NNG+으로/JKB
나오는	나오/VV+는/ETM
프로그램을	프로그램/NNG+을/JKO
제작했다.	제작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.50.3.3
이들 업체는 현재 전국 16만5000여곳의 노래방과 단란주점에 노래영상기 배경화면 프로그램을 보급하고 있다.

이들	이/NP+들/XSN
업체는	업체/NNG+는/JX
현재	현재/MAG
전국	전국/NNG
16만5000여곳의	16/SN+만/NR+5000/SN+여/XSN+곳/NNG+의/JKG
노래방과	노래방/NNG+과/JC
단란주점에	단란/XR+주점/NNG+에/JKB
노래영상기	노래/NNG+영상기/NNG
배경화면	배경/NNG+화면/NNG
프로그램을	프로그램/NNG+을/JKO
보급하고	보급/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.50.4.1
한라산과 성산일출봉, 거문오름 등 세계자연유산을 비롯해 천지연폭포 등 제주의 주요 비경과 관광지가 등장한다.

한라산과	한라산/NNP+과/JC
성산일출봉,	성산일출봉/NNP+,/SP
거문오름	거문오름/NNP
등	등/NNB
세계자연유산을	세계/NNG+자연/NNG+유산/NNG+을/JKO
비롯해	비롯하/VV+아/EC
천지연폭포	천지연폭포/NNP
제주의	제주/NNP+의/JKG
주요	주요/NNG
비경과	비경/NNG+과/JC
관광지가	관광지/NNG+가/JKS
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.50.5.1
제주도는 올해 이들 업체가 인도네시아·필리핀 등 아시아 5~6개국에 수출하는 노래영상기에도 제주 홍보영상물을 담아 제주의 관광지를 국제적으로 홍보할 방침이다.

제주도는	제주도/NNP+는/JX
올해	올해/NNG
이들	이/NP+들/XSN
업체가	업체/NNG+가/JKS
인도네시아·필리핀	인도네시아/NNP+·/SP+필리핀/NNP
등	등/NNB
아시아	아시아/NNP
5~6개국에	5/SN+~/SO+6/SN+개국/NNB+에/JKB
수출하는	수출/NNG+하/XSV+는/ETM
노래영상기에도	노래/NNG+영상기/NNG+에/JKB+도/JX
제주	제주/NNP
홍보영상물을	홍보/NNG+영상물/NNG+을/JKO
담아	담/VV+아/EC
제주의	제주/NNP+의/JKG
관광지를	관광지/NNG+를/JKO
국제적으로	국제/NNG+적/XSN+으로/JKB
홍보할	홍보/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.50.6.1
황용남 제주도 공보담당관은 "홍보 영상을 지속적으로 제공해 관광제주의 상품 가치를 높일 계획"이라고 말했다.

황용남	황용남/NNP
제주도	제주도/NNP
공보담당관은	공보/NNG+담당관/NNG+은/JX
"홍보	"/SS+홍보/NNG
영상을	영상/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
제공해	제공/NNG+하/XSV+아/EC
관광제주의	관광/NNG+제주/NNP+의/JKG
상품	상품/NNG
가치를	가치/NNG+를/JKO
높일	높이/VV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


