# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.75
metadata : {}


# id : NWRW1800000046.75.1.1
공연티켓 1+1 사업 한 달… 효과는 '글쎄'

공연티켓	공연/NNG+티켓/NNG
1+1	1/SN++/SW+1/SN
사업	사업/NNG
한	한/MMN
달…	달/NNB+…/SE
효과는	효과/NNG+는/JX
'글쎄'	'/SS+글쎄/IC+'/SS


# id : NWRW1800000046.75.2.1
메르스 타격 입은 공연계 대책… 예산집행 이달초까지 7.5% 그쳐 "시혜성 정책보다 치밀한 대책을"

메르스	메르스/NNG
타격	타격/NNG
입은	입/VV+은/ETM
공연계	공연/NNG+계/XSN
대책…	대책/NNG+…/SE
예산집행	예산/NNG+집행/NNG
이달초까지	이달/NNG+초/NNB+까지/JX
7.5%	7/SN+./SP+5/SN+%/SW
그쳐	그치/VV+어/EC
"시혜성	"/SS+시혜/NNG+성/XSN
정책보다	정책/NNG+보다/JKB
치밀한	치밀하/VA+ㄴ/ETM
대책을"	대책/NNG+을/JKO+"/SS


# id : NWRW1800000046.75.3.1
"관객 유입 효과요?

"관객	"/SS+관객/NNG
유입	유입/NNG
효과요?	효과/NNG+요/JX+?/SF


# id : NWRW1800000046.75.3.2
글쎄요…."(공연 기획자 A씨)

글쎄요…."(공연	글쎄/IC+요/JX+…/SE+./SF+"/SS+(/SS+공연/NNG
기획자	기획자/NNG
A씨)	A/SL+씨/NNB+)/SS


# id : NWRW1800000046.75.4.1
공연계 '메르스 타격'에 대한 정부의 주요 대책이었던 '1+1 티켓' 사업이 시작된 지 한 달 넘게 지났지만, 당초 취지만큼 효과를 보지 못하고 있는 것으로 나타났다.

공연계	공연/NNG+계/XSN
'메르스	'/SS+메르스/NNG
타격'에	타격/NNG+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
정부의	정부/NNG+의/JKG
주요	주요/NNG
대책이었던	대책/NNG+이/VCP+었/EP+던/ETM
'1+1	'/SS+1/SN++/SW+1/SN
티켓'	티켓/NNG+'/SS
사업이	사업/NNG+이/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
지	지/NNB
한	한/MMN
달	달/NNB
넘게	넘/VV+게/EC
지났지만,	지나/VV+았/EP+지만/EC+,/SP
당초	당초/NNG
취지만큼	취지/NNG+만큼/JKB
효과를	효과/NNG+를/JKO
보지	보/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.75.4.2
1+1 티켓 사업이란 침체된 공연계를 살리기 위해 일단 올해 말까지 관객이 5만원 이하 공연 표 한 장을 사면 똑같은 표 한 장을 덤으로 주는 한시적인 제도다.

1+1	1/SN++/SW+1/SN
티켓	티켓/NNG
사업이란	사업/NNG+이란/JX
침체된	침체/NNG+되/XSV+ㄴ/ETM
공연계를	공연/NNG+계/XSN+를/JKO
살리기	살리/VV+기/ETN
위해	위하/VV+아/EC
일단	일단/MAG
올해	올해/NNG
말까지	말/NNB+까지/JX
관객이	관객/NNG+이/JKS
5만원	5/SN+만/NR+원/NNB
이하	이하/NNG
공연	공연/NNG
표	표/NNG
한	한/MMN
장을	장/NNB+을/JKO
사면	사/VV+면/EC
똑같은	똑같/VA+은/ETM
덤으로	덤/NNG+으로/JKB
주는	주/VV+는/ETM
한시적인	한시/NNG+적/XSN+이/VCP+ㄴ/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.75.4.3
덤으로 주는 티켓 값은 정부 예산으로 지원해 준다.

덤으로	덤/NNG+으로/JKB
주는	주/VV+는/ETM
티켓	티켓/NNG
값은	값/NNG+은/JX
정부	정부/NNG
예산으로	예산/NNG+으로/JKB
지원해	지원/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.75.4.4
한 장 값으로 두 장을 살 수 있으니 관객이 늘어나게 되고, 제작사의 매출은 훨씬 늘어나게 되리라는 계산이었다.

한	한/MMN
장	장/NNB
값으로	값/NNG+으로/JKB
두	두/MMN
장을	장/NNB+을/JKO
살	사/VV+ㄹ/ETM
수	수/NNB
있으니	있/VA+으니/EC
관객이	관객/NNG+이/JKS
