# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.335
metadata : {}


# id : NWRW1800000044.335.1.1
‘초박빙’ 박근혜-문재인 마지막 TV토론 경찰이 “댓글 흔적없다” 한밤 기습발표

‘초박빙’	‘/SS+초/XPN+박빙/NNG+’/SS
박근혜-문재인	박근혜/NNP+-/SO+문재인/NNP
마지막	마지막/NNG
TV토론	TV/SL+토론/NNG
경찰이	경찰/NNG+이/JKS
“댓글	“/SS+댓글/NNG
흔적없다”	흔적/NNG+없/VA+다/EF+”/SS
한밤	한/XPN+밤/NNG
기습발표	기습/NNG+발표/NNG


# id : NWRW1800000044.335.2.1
[한겨레] 12월16일, 그날 무슨 일이…

[한겨레]	[/SS+한겨레/NNP+]/SS
12월16일,	12/SN+월/NNB+16/SN+일/NNB+,/SP
그날	그날/NNG
무슨	무슨/MMD
일이…	일/NNG+이/JKS+…/SE


# id : NWRW1800000044.335.3.1
국가정보원 직원 댓글 사건에 대한 경찰의 긴급 중간 수사결과 발표는 18대 대통령 선거를 사흘 앞둔 미묘한 시점에 이뤄졌다.

국가정보원	국가/NNG+정보원/NNG
직원	직원/NNG
댓글	댓글/NNG
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경찰의	경찰/NNG+의/JKG
긴급	긴급/NNG
중간	중간/NNG
수사결과	수사/NNG+결과/NNG
발표는	발표/NNG+는/JX
18대	18/SN+대/NNB
대통령	대통령/NNG
선거를	선거/NNG+를/JKO
사흘	사흘/NNG
앞둔	앞두/VV+ㄴ/ETM
미묘한	미묘하/VA+ㄴ/ETM
시점에	시점/NNG+에/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.335.4.1
댓글 사건 발생 6일째이자 경찰 발표 당일인 2012년 12월16일은 박근혜 새누리당 후보와 문재인 민주당 후보 간 마지막 양자 텔레비전 토론이 열린 날이다.

댓글	댓글/NNG
사건	사건/NNG
발생	발생/NNG
6일째이자	6/SN+일/NNB+째/XSN+이/VCP+자/EC
경찰	경찰/NNG
발표	발표/NNG
당일인	당일/NNG+이/VCP+ㄴ/ETM
2012년	2012/SN+년/NNB
12월16일은	12/SN+월/NNB+16/SN+일/NNB+은/JX
박근혜	박근혜/NNP
새누리당	새누리당/NNP
후보와	후보/NNG+와/JC
문재인	문재인/NNP
민주당	민주당/NNP
후보	후보/NNG
간	간/NNB
마지막	마지막/NNG
양자	양자/NNG
텔레비전	텔레비전/NNG
토론이	토론/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
날이다.	날/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.335.4.2
토론에서 박 후보는 “국정원 여직원이 댓글을 달았는지 증거도 없는 걸로 나왔다.

토론에서	토론/NNG+에서/JKB
박	박/NNP
후보는	후보/NNG+는/JX
“국정원	“/SS+국정원/NNG
여직원이	여직원/NNG+이/JKS
댓글을	댓글/NNG+을/JKO
달았는지	달/VV+았/EP+는지/EC
증거도	증거/NNG+도/JX
없는	없/VA+는/ETM
걸로	거/NNB+ㄹ로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.335.4.3
여성 인권 침해에 대해서는 한마디 말도 없고 사과도 하지 않는다”며 문 후보를 몰아붙였다.

여성	여성/NNG
인권	인권/NNG
침해에	침해/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
한마디	한마디/NNG
말도	말/NNG+도/JX
없고	없/VA+고/EC
사과도	사과/NNG+도/JX
하지	하/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
문	문/NNP
후보를	후보/NNG+를/JKO
몰아붙였다.	몰아붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.335.4.4
문 후보는 “그 사건은 수사중인 사건이고, 지금 발언은 수사에 개입하는 것”이라고 반박했다.

문	문/NNP
후보는	후보/NNG+는/JX
“그	“/SS+그/MMD
사건은	사건/NNG+은/JX
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
사건이고,	사건/NNG+이/VCP+고/EC+,/SP
지금	지금/MAG
발언은	발언/NNG+은/JX
수사에	수사/NNG+에/JKB
개입하는	개입/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.335.5.1
서울 수서경찰서는 이 토론회가 끝난 직후인 밤 11시께 긴급 브리핑을 열어 “국정원 직원 김씨의 컴퓨터를 분석한 결과 대선후보 관련 댓글 작성 여부를 확인할 수 없다”고 밝혔다.

서울	서울/NNP
수서경찰서는	수서경찰서/NNP+는/JX
이	이/MMD
토론회가	토론회/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
직후인	직후/NNG+이/VCP+ㄴ/ETM
밤	밤/NNG
11시께	11/SN+시/NNB+께/XSN
긴급	긴급/NNG
브리핑을	브리핑/NNG+을/JKO
열어	열/VV+어/EC
“국정원	“/SS+국정원/NNG
직원	직원/NNG
김씨의	김/NNP+씨/NNB+의/JKG
컴퓨터를	컴퓨터/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
대선후보	대선/NNG+후보/NNG
관련	관련/NNG
댓글	댓글/NNG
작성	작성/NNG
여부를	여부/NNG+를/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.335.5.2
경찰이 중간 수사결과 발표를 통해 박 후보의 토론회 발언을 곧바로 뒷받침해 준 셈이 됐다.

경찰이	경찰/NNG+이/JKS
중간	중간/NNG
수사결과	수사/NNG+결과/NNG
발표를	발표/NNG+를/JKO
통해	통하/VV+아/EC
박	박/NNP
후보의	후보/NNG+의/JKG
토론회	토론회/NNG
발언을	발언/NNG+을/JKO
곧바로	곧바로/MAG
뒷받침해	뒷받침/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
