# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.221
metadata : {}


# id : NWRW1800000029.221.1.1
‘5共 경호실장’ 안현태 씨 국립묘지 서둘러 안장

‘5共	‘/SS+5/SN+共/SH
경호실장’	경호실장/NNG+’/SS
안현태	안현태/NNP
씨	씨/NNB
국립묘지	국립묘지/NNG
서둘러	서두르/VV+어/EC
안장	안장/NNG


# id : NWRW1800000029.221.2.1
장세동 씨 등 5공인사 참석… 야당-시민단체 거센 반발

장세동	장세동/NNP
씨	씨/NNB
등	등/NNB
5공인사	5/SN+공/NNG+인사/NNG
참석…	참석/NNG+…/SE
야당-시민단체	야당/NNG+-/SO+시민/NNG+단체/NNG
거센	거세/VA+ㄴ/ETM
반발	반발/NNG


# id : NWRW1800000029.221.3.1
5공화국 당시 대통령경호실장을 지낸 안현태 씨가 6일 국립대전현충원에 안장되자 안 씨의 국립묘지 안장을 반대해 온 5·18 관련 시민사회단체가 크게 반발하고 있다.

5공화국	5/SN+공화국/NNG
당시	당시/NNG
대통령경호실장을	대통령/NNG+경호실장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
안현태	안현태/NNP
씨가	씨/NNB+가/JKS
6일	6/SN+일/NNB
국립대전현충원에	국립대전현충원/NNP+에/JKB
안장되자	안장/NNG+되/XSV+자/EC
안	안/NNP
씨의	씨/NNB+의/JKG
국립묘지	국립묘지/NNG
안장을	안장/NNG+을/JKO
반대해	반대/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
5·18	5/SN+·/SP+18/SN
관련	관련/NNG
시민사회단체가	시민/NNG+사회단체/NNG+가/JKS
크게	크/VA+게/EC
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.221.4.1
국립대전현충원에 따르면 안 씨 유해 안장식이 유족과 지인 등이 참석한 가운데 6일 오전 장군 제2묘역에서 열렸다.

국립대전현충원에	국립대전현충원/NNP+에/JKB
따르면	따르/VV+면/EC
안	안/NNP
씨	씨/NNB
유해	유해/NNG
안장식이	안장식/NNG+이/JKS
유족과	유족/NNG+과/JC
지인	지인/NNG
등이	등/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
6일	6/SN+일/NNB
오전	오전/NNG
장군	장군/NNG
제2묘역에서	제/XPN+2/SN+묘역/NNG+에서/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.221.4.2
안장식에는 장세동 전 국가안전기획부장 등 5공 출신 인사들이 상당수 참석했으며 별도 추도행사 없이 안장식만 치러졌다.

안장식에는	안장식/NNG+에/JKB+는/JX
장세동	장세동/NNP
전	전/MMD
국가안전기획부장	국가안전기획부장/NNG
등	등/NNB
5공	5/SN+공/NNG
출신	출신/NNG
인사들이	인사/NNG+들/XSN+이/JKS
상당수	상당수/NNG
참석했으며	참석/NNG+하/XSV+았/EP+으며/EC
별도	별도/NNG
추도행사	추도/NNG+행사/NNG
없이	없이/MAG
안장식만	안장식/NNG+만/JX
치러졌다.	치르/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.221.4.3
안 씨는 6월 25일 73세로 지병으로 사망했다.

안	안/NNP
씨는	씨/NNB+는/JX
6월	6/SN+월/NNB
25일	25/SN+일/NNB
