# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.38
metadata : {}


# id : NWRW1800000041.38.1.1
막걸리, 2014년내 中企적합업종서 제외

막걸리,	막걸리/NNG+,/SP
2014년내	2014/SN+년/NNB+내/NNB
中企적합업종서	中企/SH+적합/NNG+업종/NNG+서/JKB
제외	제외/NNG


# id : NWRW1800000041.38.2.1
‘中企 내수-대기업 수출’ 상생협약

‘中企	‘/SS+中企/SH
내수-대기업	내수/NNG+-/SO+대/XPN+기업/NNG
수출’	수출/NNG+’/SS
상생협약	상생/NNG+협약/NNG


# id : NWRW1800000041.38.3.1
막걸리가 이달 중 중소기업 적합업종에서 제외된다.

막걸리가	막걸리/NNG+가/JKS
이달	이달/NNG
중	중/NNB
중소기업	중소기업/NNG
적합업종에서	적합/NNG+업종/NNG+에서/JKB
제외된다.	제외/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.38.3.2
그 대신 업계 자체적으로 대기업은 국내 시장 진출을 자제하고 해외 진출에만 역점을 두기로 상생협약을 맺었다.

그	그/MMD
대신	대신/NNG
업계	업계/NNG
자체적으로	자체/NNG+적/XSN+으로/JKB
대기업은	대/XPN+기업/NNG+은/JX
국내	국내/NNG
시장	시장/NNG
진출을	진출/NNG+을/JKO
자제하고	자제/NNG+하/XSV+고/EC
해외	해외/NNG
진출에만	진출/NNG+에/JKB+만/JX
역점을	역점/NNG+을/JKO
두기로	두/VV+기/ETN+로/JKB
상생협약을	상생/NNG+협약/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.38.4.1
안충영 동반성장위원회 위원장은 3일 서울 여의도의 한 식당에서 오찬간담회를 열고 “중소기업은 (국내 시장에서) 계속 품질을 향상시키고 대기업은 해외 시장을 적극 개척해 침체된 막걸리 시장을 부흥시키는 방향으로 갈 것”이라며 이같이 밝혔다.

안충영	안충영/NNP
동반성장위원회	동반/NNG+성장/NNG+위원회/NNG
위원장은	위원장/NNG+은/JX
3일	3/SN+일/NNB
서울	서울/NNP
여의도의	여의도/NNP+의/JKG
한	한/MMN
식당에서	식당/NNG+에서/JKB
오찬간담회를	오찬/NNG+간담회/NNG+를/JKO
열고	열/VV+고/EC
“중소기업은	“/SS+중소기업/NNG+은/JX
(국내	(/SS+국내/NNG
시장에서)	시장/NNG+에서/JKB+)/SS
계속	계속/MAG
품질을	품질/NNG+을/JKO
향상시키고	향상/NNG+시키/XSV+고/EC
대기업은	대/XPN+기업/NNG+은/JX
해외	해외/NNG
시장을	시장/NNG+을/JKO
적극	적극/NNG
