# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.234
metadata : {}


# id : NWRW1800000038.234.1.1
남으려는 박지성, 오르려는 이청용

남으려는	남/VV+으려는/ETM
박지성,	박지성/NNP+,/SP
오르려는	오르/VV+려는/ETM
이청용	이청용/NNP


# id : NWRW1800000038.234.2.1
QPR '강등 탈출' 열쇠 지성

QPR	QPR/SL
'강등	'/SS+강등/NNG
탈출'	탈출/NNG+'/SS
열쇠	열쇠/NNG
지성	지성/NNP


# id : NWRW1800000038.234.3.1
33억6075만유로(약 4조7918억원).

33억6075만유로(약	33/SN+억/NR+6075/SN+만/NR+유로/NNB+(/SS+약/MMA
4조7918억원).	4/SN+조/NR+7918/SN+억/NR+원/NNB+)/SS+./SF


# id : NWRW1800000038.234.4.1
유럽 축구 전문 사이트 트랜스퍼마르크트가 잉글랜드 프리미어리그에서 뛰는 전체 502명 선수의 가치를 합한 금액이다.

유럽	유럽/NNP
축구	축구/NNG
전문	전문/NNG
사이트	사이트/NNG
트랜스퍼마르크트가	트랜스퍼마르크트/NNP+가/JKS
잉글랜드	잉글랜드/NNP
프리미어리그에서	프리미어리그/NNG+에서/JKB
뛰는	뛰/VV+는/ETM
전체	전체/NNG
502명	502/SN+명/NNB
선수의	선수/NNG+의/JKG
가치를	가치/NNG+를/JKO
합한	합/NNG+하/XSV+ㄴ/ETM
금액이다.	금액/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.234.4.2
전 세계 프로축구 리그 가운데 1위다.

전	전/MMN
세계	세계/NNG
프로축구	프로/NNG+축구/NNG
리그	리그/NNG
가운데	가운데/NNG
1위다.	1/SN+위/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.234.4.3
두 번째는 26억5885만유로(약 3조7910억원)의 라 리가(La Liga·스페인 프로축구)다.

두	두/MMN
번째는	번/NNB+째/XSN+는/JX
26억5885만유로(약	26/SN+억/NR+5885/SN+만/NR+유로/NNB+(/SS+약/MMA
3조7910억원)의	3/SN+조/NR+7910/SN+억/NR+원/NNB+)/SS+의/JKG
라	라/NNP
리가(La	리가/NNP+(/SS+La/SL
Liga·스페인	Liga/SL+·/SP+스페인/NNP
프로축구)다.	프로/NNG+축구/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.234.4.4
매년 각국의 축구 스타와 유망주는 부와 명예를 좇아 잉글랜드 무대를 노크한다.

매년	매년/MAG
각국의	각국/NNG+의/JKG
축구	축구/NNG
스타와	스타/NNG+와/JC
유망주는	유망주/NNG+는/JX
부와	부/NNG+와/JC
명예를	명예/NNG+를/JKO
좇아	좇/VV+아/EC
잉글랜드	잉글랜드/NNP
무대를	무대/NNG+를/JKO
노크한다.	노크/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.234.5.1
한국 축구 선수로는 2005년 7월 박지성(32)이 처음 프리미어리그 무대를 밟은 이후 윤석영(23)까지 11명이 '꿈의 무대'에서 뛸 기회를 얻었다.

한국	한국/NNP
축구	축구/NNG
선수로는	선수/NNG+로/JKB+는/JX
2005년	2005/SN+년/NNB
7월	7/SN+월/NNB
박지성(32)이	박지성/NNP+(/SS+32/SN+)/SS+이/JKS
처음	처음/NNG
프리미어리그	프리미어리그/NNG
무대를	무대/NNG+를/JKO
밟은	밟/VV+은/ETM
이후	이후/NNG
윤석영(23)까지	윤석영/NNP+(/SS+23/SN+)/SS+까지/JX
11명이	11/SN+명/NNB+이/JKS
'꿈의	'/SS+꿈/NNG+의/JKG
무대'에서	무대/NNG+'/SS+에서/JKB
뛸	뛰/VV+ㄹ/ETM
기회를	기회/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.234.5.2
프리미어리그 진출 이후 가장 힘겨운 시즌을 보내던 퀸스파크 레인저스(이하 QPR)의 박지성은 10일 경기에서 그동안 치열한 경쟁을 뚫고 잉글랜드에서 살아남을 수 있었던 이유를 보여줬다.

프리미어리그	프리미어리그/NNG
진출	진출/NNG
이후	이후/NNG
가장	가장/MAG
힘겨운	힘겹/VA+ㄴ/ETM
시즌을	시즌/NNG+을/JKO
보내던	보내/VV+던/ETM
퀸스파크	퀸스파크/NNP
레인저스(이하	레인저스/NNP+(/SS+이하/NNG
QPR)의	QPR/SL+)/SS+의/JKG
박지성은	박지성/NNP+은/JX
10일	10/SN+일/NNB
경기에서	경기/NNG+에서/JKB
그동안	그동안/NNG
치열한	치열/NNG+하/XSA+ㄴ/ETM
경쟁을	경쟁/NNG+을/JKO
뚫고	뚫/VV+고/EC
잉글랜드에서	잉글랜드/NNP+에서/JKB
살아남을	살아남/VV+을/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
이유를	이유/NNG+를/JKO
