# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.124
metadata : {}


# id : NWRW1800000038.124.1.1
"26년간 모은 자수(刺繡) 작품이 한땀한땀 인생 2막 돼"

"26년간	"/SS+26/SN+년/NNB+간/XSN
모은	모으/VV+ㄴ/ETM
자수(刺繡)	자수/NNG+(/SS+刺繡/SH+)/SS
작품이	작품/NNG+이/JKS
한땀한땀	한/MMN+땀/NNG+한/MMN+땀/NNG
인생	인생/NNG
2막	2/SN+막/NNB
돼"	되/VV+어/EF+"/SS


# id : NWRW1800000038.124.2.1
퇴임 후 강릉 동양자수박물관 연 안영갑 前연세대 경영학부 교수

퇴임	퇴임/NNG
후	후/NNG
강릉	강릉/NNP
동양자수박물관	동양자수박물관/NNP
연	열/VV+ㄴ/ETM
안영갑	안영갑/NNP
前연세대	前/SH+연세대/NNP
경영학부	경영학부/NNG
교수	교수/NNG


# id : NWRW1800000038.124.3.1
연세대 원주캠퍼스 경영학부 교수로 29년간 재직하다 지난 8월 말 정년 퇴임한 안영갑(65)씨의 현재 직함은 동양자수박물관장이다.

연세대	연세대/NNP
원주캠퍼스	원주캠퍼스/NNP
경영학부	경영학부/NNG
교수로	교수/NNG+로/JKB
29년간	29/SN+년/NNB+간/XSN
재직하다	재직/NNG+하/XSV+다/EC
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
말	말/NNB
정년	정년/NNG
퇴임한	퇴임/NNG+하/XSV+ㄴ/ETM
안영갑(65)씨의	안영갑/NNP+(/SS+65/SN+)/SS+씨/NNB+의/JKG
현재	현재/MAG
직함은	직함/NNG+은/JX
동양자수박물관장이다.	동양/NNG+자수/NNG+박물관장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.124.3.2
은퇴 후 곧바로 강원도 강릉으로 달려갔다.

은퇴	은퇴/NNG
후	후/NNG
곧바로	곧바로/MAG
강원도	강원도/NNP
강릉으로	강릉/NNP+으로/JKB
달려갔다.	달려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.124.3.3
강릉에 그가 2년 전 설립한 '동양자수박물관'이 있다.

강릉에	강릉/NNP+에/JKB
그가	그/NP+가/JKS
2년	2/SN+년/NNB
전	전/NNG
설립한	설립/NNG+하/XSV+ㄴ/ETM
'동양자수박물관'이	'/SS+동양자수박물관/NNP+'/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.124.3.4
500㎡ 규모 공간에 한국·중국·일본의 수준 높은 자수 작품 650여점이 주제별로 전시돼 있다.

500㎡	500/SN+㎡/SW
규모	규모/NNG
공간에	공간/NNG+에/JKB
한국·중국·일본의	한국/NNP+·/SP+중국/NNP+·/SP+일본/NNP+의/JKG
수준	수준/NNG
높은	높/VA+은/ETM
자수	자수/NNG
작품	작품/NNG
650여점이	650/SN+여/XSN+점/NNB+이/JKS
주제별로	주제/NNG+별/XSN+로/JKB
전시돼	전시/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.124.3.5
안 관장이 26년간 전국을 돌며 수집한 작품들이다.

안	안/NNP
관장이	관장/NNG+이/JKS
26년간	26/SN+년/NNB+간/XSN
전국을	전국/NNG+을/JKO
돌며	돌/VV+며/EC
수집한	수집/NNG+하/XSV+ㄴ/ETM
작품들이다.	작품/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.124.4.1
1987년 서울 인사동의 한 고미술관에서 자수에 매료됐다.

1987년	1987/SN+년/NNB
서울	서울/NNP
인사동의	인사동/NNP+의/JKG
한	한/MMN
고미술관에서	고미술관/NNG+에서/JKB
자수에	자수/NNG+에/JKB
매료됐다.	매료/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.124.4.2
연노란색 비단에 감색 꽃과 형형색색의 새들을 수놓은 작품.

연노란색	연노란색/NNG
비단에	비단/NNG+에/JKB
감색	감색/NNG
꽃과	꽃/NNG+과/JC
형형색색의	형형색색/NNG+의/JKG
새들을	새/NNG+들/XSN+을/JKO
수놓은	수놓/VV+은/ETM
작품.	작품/NNG+./SF


# id : NWRW1800000038.124.4.3
"그걸 보는 순간 군 복무 시절 돌아가신 어머니에 대한 향수가 강하게 느껴졌지요." 6남매 중 늦둥이 막내로 태어나 그는 어머니 사랑을 독차지하면서 자랐다고 했다.

"그걸	"/SS+그거/NP+ㄹ/JKO
보는	보/VV+는/ETM
순간	순간/NNG
군	군/NNG
복무	복무/NNG
시절	시절/NNG
돌아가신	돌아가/VV+시/EP+ㄴ/ETM
어머니에	어머니/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
향수가	향수/NNG+가/JKS
강하게	강하/VA+게/EC
느껴졌지요."	느끼/VV+어/EC+지/VX+었/EP+지요/EF+./SF+"/SS
6남매	6/SN+남매/NNG
중	중/NNB
늦둥이	늦둥이/NNG
막내로	막내/NNG+로/JKB
태어나	태어나/VV+아/EC
그는	그/NP+는/JX
어머니	어머니/NNG
사랑을	사랑/NNG+을/JKO
독차지하면서	독차지/NNG+하/XSV+면서/EC
자랐다고	자라/VV+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.124.4.4
어머니는 자수에 조예가 깊었다.

어머니는	어머니/NNG+는/JX
자수에	자수/NNG+에/JKB
조예가	조예/NNG+가/JKS
