# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.41
metadata : {}


# id : NWRW1800000025.41.1.1
[설 연휴특집]설 준비에 지친 심신… □ 하나면 사르르

[설	[/SS+설/NNG
연휴특집]설	연휴/NNG+특집/NNG+]/SS+설/NNG
준비에	준비/NNG+에/JKB
지친	지치/VV+ㄴ/ETM
심신…	심신/NNG+…/SE
□	□/SW
하나면	하나/NR+이/VCP+면/EC
사르르	사르르/MAG


# id : NWRW1800000025.41.2.1
미국 일간 ‘애리조나 리퍼블릭’은 스트레스를 한 방에 날려버리는 10가지 방법을 최근 소개했다.

미국	미국/NNP
일간	일간/NNG
‘애리조나	‘/SS+애리조나/NNP
리퍼블릭’은	리퍼블릭/NNP+’/SS+은/JX
스트레스를	스트레스/NNG+를/JKO
한	한/MMN
방에	방/NNB+에/JKB
날려버리는	날리/VV+어/EC+버리/VX+는/ETM
10가지	10/SN+가지/NNB
방법을	방법/NNG+을/JKO
최근	최근/NNG
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.41.2.2
느린 노래를 들어라, 명상해라, 친구와 손을 잡고 걸어라, 웃어라….

느린	느리/VA+ㄴ/ETM
노래를	노래/NNG+를/JKO
들어라,	듣/VV+어라/EF+,/SP
명상해라,	명상/NNG+하/XSV+아라/EF+,/SP
친구와	친구/NNG+와/JKB
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
걸어라,	걷/VV+어라/EF+,/SP
웃어라….	웃/VV+어라/EF+…/SE+./SF


# id : NWRW1800000025.41.2.3
그리고 ‘향초를 켜라.’ 미국 화장품 브랜드 엘리자베스아덴은 올해 100주년을 맞아 ‘레드도어’ 향수의 향기를 오롯이 담은 기념 향초를 내놓는다.

그리고	그리고/MAJ
‘향초를	‘/SS+향초/NNG+를/JKO
켜라.’	켜/VV+어라/EF+./SF+’/SS
미국	미국/NNP
화장품	화장품/NNG
브랜드	브랜드/NNG
엘리자베스아덴은	엘리자베스아덴/NNP+은/JX
올해	올해/NNG
100주년을	100/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
‘레드도어’	‘/SS+레드/NNG+도어/NNG+’/SS
향수의	향수/NNG+의/JKG
향기를	향기/NNG+를/JKO
오롯이	오롯이/MAG
담은	담/VV+은/ETM
기념	기념/NNG
향초를	향초/NNG+를/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000025.41.2.4
이 회사가 향초를 만든 건 이번이 처음.

이	이/MMD
회사가	회사/NNG+가/JKS
향초를	향초/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
이번이	이번/NNG+이/JKS
처음.	처음/NNG+./SF


# id : NWRW1800000025.41.2.5
엘리자베스아덴은 “현대 여성들에게 아로마(aroma)를 즐기는 새로운 방법을 제시할 것”이라고 설명했다.

엘리자베스아덴은	엘리자베스아덴/NNP+은/JX
“현대	“/SS+현대/NNG
여성들에게	여성/NNG+들/XSN+에게/JKB
아로마(aroma)를	아로마/NNG+(/SS+aroma/SL+)/SS+를/JKO
즐기는	즐기/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
방법을	방법/NNG+을/JKO
제시할	제시/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.41.3.1
14일 밸런타인데이를 앞두고 외신들은 연인과 로맨틱한 분위기를 만들려면 초콜릿과 꽃다발, 향초를 갖추라고 너나없이 제안하고 있다.

14일	14/SN+일/NNB
밸런타인데이를	밸런타인데이/NNG+를/JKO
앞두고	앞두/VV+고/EC
외신들은	외신/NNG+들/XSN+은/JX
연인과	연인/NNG+과/JKB
로맨틱한	로맨틱/NNG+하/XSA+ㄴ/ETM
분위기를	분위기/NNG+를/JKO
만들려면	만들/VV+려면/EC
초콜릿과	초콜릿/NNG+과/JC
꽃다발,	꽃다발/NNG+,/SP
향초를	향초/NNG+를/JKO
갖추라고	갖추/VV+라고/EC
너나없이	너나없이/MAG
제안하고	제안/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.41.3.2
설 준비에 지친 몸과 마음, 집 안에 가득 찬 기름진 명절음식 냄새에도 향초가 제격이다.

설	설/NNG
준비에	준비/NNG+에/JKB
지친	지치/VV+ㄴ/ETM
몸과	몸/NNG+과/JC
마음,	마음/NNG+,/SP
집	집/NNG
안에	안/NNG+에/JKB
가득	가득/MAG
찬	차/VV+ㄴ/ETM
