# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.73
metadata : {}


# id : NWRW1800000024.73.1.1
국립중앙박물관 ‘공짜전시’에도 관람객 줄어

국립중앙박물관	국립중앙박물관/NNP
‘공짜전시’에도	‘/SS+공짜/NNG+전시/NNG+’/SS+에/JKB+도/JX
관람객	관람객/NNG
줄어	줄/VV+어/EC


# id : NWRW1800000024.73.2.1
서울 국립중앙박물관이 지난해 5월부터 상설 전시와 어린이 박물관을 무료로 개방했는데도, 그 뒤 12월까지 두 전시장의 관람객이 2007년보다 3% 줄어든 것으로 나타났다.

서울	서울/NNP
국립중앙박물관이	국립중앙박물관/NNP+이/JKS
지난해	지난해/NNG
5월부터	5/SN+월/NNB+부터/JX
상설	상설/NNG
전시와	전시/NNG+와/JC
어린이	어린이/NNG
박물관을	박물관/NNG+을/JKO
무료로	무료/NNG+로/JKB
개방했는데도,	개방/NNG+하/XSV+았/EP+는데/EC+도/JX+,/SP
그	그/MMD
뒤	뒤/NNG
12월까지	12/SN+월/NNB+까지/JX
두	두/MMN
전시장의	전시장/NNG+의/JKG
관람객이	관람객/NNG+이/JKS
2007년보다	2007/SN+년/NNB+보다/JKB
3%	3/SN+%/SW
줄어든	줄어들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.73.2.2
또 지난해 미국인과 일본인 등 주요 외국인 관람객도 10% 이상 감소한 것으로 확인돼, 개선 대책이 시급하다는 지적이 나오고 있다.

또	또/MAG
지난해	지난해/NNG
미국인과	미국인/NNG+과/JC
일본인	일본인/NNG
등	등/NNB
주요	주요/NNG
외국인	외국인/NNG
관람객도	관람객/NNG+도/JX
10%	10/SN+%/SW
이상	이상/NNG
감소한	감소/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인돼,	확인/NNG+되/XSV+어/EC+,/SP
개선	개선/NNG
대책이	대책/NNG+이/JKS
시급하다는	시급하/VA+다는/ETM
지적이	지적/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.73.3.1
<한겨레>가 1일 입수한 국립중앙박물관과 11개 지방 국립박물관의 ‘2008년도 관람객 현황 및 동향 분석 보고’를 보면, 중앙박물관의 전체 전시 관람인원은 195만247명으로 2007년(215만5314명)보다 9.5% 감소한 것으로 밝혀졌다.

<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
1일	1/SN+일/NNB
입수한	입수/NNG+하/XSV+ㄴ/ETM
국립중앙박물관과	국립중앙박물관/NNP+과/JC
11개	11/SN+개/NNB
지방	지방/NNG
국립박물관의	국립/NNG+박물관/NNG+의/JKG
‘2008년도	‘/SS+2008/SN+년도/NNB
관람객	관람객/NNG
현황	현황/NNG
및	및/MAG
동향	동향/NNG
분석	분석/NNG
보고’를	보고/NNG+’/SS+를/JKO
보면,	보/VV+면/EC+,/SP
중앙박물관의	중앙박물관/NNP+의/JKG
전체	전체/NNG
전시	전시/NNG
관람인원은	관람/NNG+인원/NNG+은/JX
195만247명으로	195/SN+만/NR+247/SN+명/NNB+으로/JKB
2007년(215만5314명)보다	2007/SN+년/NNB+(/SS+215/SN+만/NR+5314/SN+명/NNB+)/SS+보다/JKB
9.5%	9/SN+./SP+5/SN+%/SW
감소한	감소/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.73.3.2
전시 항목별로 상설 전시 및 어린이 박물관은 지난해 관람객 수가 165만147명으로 2007년(182만3796명)보다 9.6% 줄었다.

전시	전시/NNG
항목별로	항목/NNG+별/XSN+로/JKB
상설	상설/NNG
및	및/MAG
어린이	어린이/NNG
박물관은	박물관/NNG+은/JX
지난해	지난해/NNG
관람객	관람객/NNG
수가	수/NNG+가/JKS
165만147명으로	165/SN+만/NR+147/SN+명/NNB+으로/JKB
2007년(182만3796명)보다	2007/SN+년/NNB+(/SS+182/SN+만/NR+3796/SN+명/NNB+)/SS+보다/JKB
9.6%	9/SN+./SP+6/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.73.3.3
무료화 이전인 지난해 1~4월에는 47만5901명이 입장해 전년도 같은 기간보다 22%(13만7435명)가 줄었고, 특히 무료화 이후인 5~12월에도 관람객 수는 117만4246명으로 전년도 같은 기간에 견줘 3%(3만6214명)가 감소하는 부진을 보였다.

무료화	무료/NNG+화/XSN
이전인	이전/NNG+이/VCP+ㄴ/ETM
지난해	지난해/NNG
1~4월에는	1/SN+~/SO+4/SN+월/NNB+에/JKB+는/JX
47만5901명이	47/SN+만/NR+5901/SN+명/NNB+이/JKS
입장해	입장/NNG+하/XSV+아/EC
전년도	전년도/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
22%(13만7435명)가	22/SN+%/SW+(/SS+13/SN+만/NR+7435/SN+명/NNB+)/SS+가/JKS
줄었고,	줄/VV+었/EP+고/EC+,/SP
특히	특히/MAG
이후인	이후/NNG+이/VCP+ㄴ/ETM
5~12월에도	5/SN+~/SO+12/SN+월/NNB+에/JKB+도/JX
관람객	관람객/NNG
수는	수/NNG+는/JX
117만4246명으로	117/SN+만/NR+4246/SN+명/NNB+으로/JKB
기간에	기간/NNG+에/JKB
견줘	견주/VV+어/EC
3%(3만6214명)가	3/SN+%/SW+(/SS+3/SN+만/NR+6214/SN+명/NNB+)/SS+가/JKS
감소하는	감소/NNG+하/XSV+는/ETM
부진을	부진/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.73.3.4
상설 전시와 어린이 박물관 관람객은 지난해 전체 전시 관람객의 85%를 차지한다.

상설	상설/NNG
전시와	전시/NNG+와/JC
어린이	어린이/NNG
박물관	박물관/NNG
관람객은	관람객/NNG+은/JX
지난해	지난해/NNG
전체	전체/NNG
전시	전시/NNG
관람객의	관람객/NNG+의/JKG
85%를	85/SN+%/SW+를/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.73.4.1
유·무료를 포함한 기획특별전의 관람 인원(34만8424명)도 전년(44만8524명)보다 22% 격감했다.

유·무료를	유/NNG+·/SP+무료/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
기획특별전의	기획/NNG+특별전/NNG+의/JKG
관람	관람/NNG
인원(34만8424명)도	인원/NNG+(/SS+34/SN+만/NR+8424/SN+명/NNB+)/SS+도/JX
전년(44만8524명)보다	전년/NNG+(/SS+44/SN+만/NR+8524/SN+명/NNB+)/SS+보다/JKB
22%	22/SN+%/SW
격감했다.	격감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.73.4.2
예컨대, 박물관이 이란과 공동 기획한 페르시아 특별전(지난해 4~8월)의 경우 27만4698명(하루 평균 2389명)이 관람해, 2007년 1~3월 루브르 특별전의 33만1518명(하루 평균 4984명)보다 5만명 이상 떨어졌다.

예컨대,	예컨대/MAG+,/SP
박물관이	박물관/NNG+이/JKS
이란과	이란/NNP+과/JKB
공동	공동/NNG
기획한	기획/NNG+하/XSV+ㄴ/ETM
페르시아	페르시아/NNP
특별전(지난해	특별전/NNG+(/SS+지난해/NNG
4~8월)의	4/SN+~/SO+8/SN+월/NNB+)/SS+의/JKG
경우	경우/NNG
27만4698명(하루	27/SN+만/NR+4698/SN+명/NNB+(/SS+하루/NNG
평균	평균/NNG
2389명)이	2389/SN+명/NNB+)/SS+이/JKS
관람해,	관람/NNG+하/XSV+아/EC+,/SP
2007년	2007/SN+년/NNB
1~3월	1/SN+~/SO+3/SN+월/NNB
루브르	루브르/NNP
특별전의	특별전/NNG+의/JKG
33만1518명(하루	33/SN+만/NR+1518/SN+명/NNB+(/SS+하루/NNG
4984명)보다	4984/SN+명/NNB+)/SS+보다/JKB
5만명	5/SN+만/NR+명/NNB
이상	이상/NNG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.73.4.3
반면 박물관 교육·행사에 참여한 관객 수(33만3178명)는 전년(12만6386명)보다 164%나 늘었다.

반면	반면/NNG
박물관	박물관/NNG
교육·행사에	교육/NNG+·/SP+행사/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
관객	관객/NNG
수(33만3178명)는	수/NNG+(/SS+33/SN+만/NR+3178/SN+명/NNB+)/SS+는/JX
전년(12만6386명)보다	전년/NNG+(/SS+12/SN+만/NR+6386/SN+명/NNB+)/SS+보다/JKB
164%나	164/SN+%/SW+나/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.73.5.1
전시 관객이 이처럼 줄어듦에 따라 지난해 국립중앙박물관의 전체 관람인원(228만3425명)은 전년(228만1700명)에 견줘 0.1 % 늘어나는 데 그쳤다.

전시	전시/NNG
관객이	관객/NNG+이/JKS
이처럼	이/NP+처럼/JKB
줄어듦에	줄어들/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
지난해	지난해/NNG
국립중앙박물관의	국립중앙박물관/NNP+의/JKG
전체	전체/NNG
관람인원(228만3425명)은	관람/NNG+인원/NNG+(/SS+228/SN+만/NR+3425/SN+명/NNB+)/SS+은/JX
전년(228만1700명)에	전년/NNG+(/SS+228/SN+만/NR+1700/SN+명/NNB+)/SS+에/JKB
견줘	견주/VV+어/EC
0.1	0/SN+./SP+1/SN
%	%/SW
늘어나는	늘어나/VV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.73.5.2
지난해 지방 11개 국립박물관의 전체 관람인원과 전시 관람인원이 전년에 비해 각각 16.7%, 12.7% 늘어난 것과도 대비된다.

지난해	지난해/NNG
지방	지방/NNG
11개	11/SN+개/NNB
국립박물관의	국립/NNG+박물관/NNG+의/JKG
전체	전체/NNG
관람인원과	관람/NNG+인원/NNG+과/JC
전시	전시/NNG
관람인원이	관람/NNG+인원/NNG+이/JKS
전년에	전년/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
각각	각각/MAG
16.7%,	16/SN+./SP+7/SN+%/SW+,/SP
12.7%	12/SN+./SP+7/SN+%/SW
늘어난	늘어나/VV+ㄴ/ETM
것과도	것/NNB+과/JKB+도/JX
대비된다.	대비/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.73.6.1
중앙박물관이 역점을 기울여 온 외국인 관람객 끌기도 큰 성과를 거두지 못한 것으로 보인다.

중앙박물관이	중앙박물관/NNP+이/JKS
역점을	역점/NNG+을/JKO
기울여	기울이/VV+어/EC
온	오/VX+ㄴ/ETM
외국인	외국인/NNG
관람객	관람객/NNG
끌기도	끌/VV+기/ETN+도/JX
큰	크/VA+ㄴ/ETM
성과를	성과/NNG+를/JKO
거두지	거두/VV+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.73.6.2
지난해 중앙박물관을 찾은 외국인 관람객은 모두 9만4766명(전체 관람객의 4.2%)으로 2007년보다 1.2% 늘어났으나, 핵심인 영어권과 일어권 관람객들은 오히려 각각 11.1%, 11.2% 줄어들었다.

지난해	지난해/NNG
중앙박물관을	중앙박물관/NNP+을/JKO
찾은	찾/VV+은/ETM
외국인	외국인/NNG
관람객은	관람객/NNG+은/JX
모두	모두/MAG
9만4766명(전체	9/SN+만/NR+4766/SN+명/NNB+(/SS+전체/NNG
관람객의	관람객/NNG+의/JKG
4.2%)으로	4/SN+./SP+2/SN+%/SW+)/SS+으로/JKB
2007년보다	2007/SN+년/NNB+보다/JKB
1.2%	1/SN+./SP+2/SN+%/SW
늘어났으나,	늘어나/VV+았/EP+으나/EC+,/SP
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
영어권과	영어/NNP+권/XSN+과/JC
일어권	일어/NNP+권/XSN
관람객들은	관람객/NNG+들/XSN+은/JX
오히려	오히려/MAG
각각	각각/MAG
11.1%,	11/SN+./SP+1/SN+%/SW+,/SP
11.2%	11/SN+./SP+2/SN+%/SW
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.73.6.3
가장 비중이 큰 일본인 관람객의 경우, 무료 개방 뒤에도 8.3%나 감소했다.

가장	가장/MAG
비중이	비중/NNG+이/JKS
큰	크/VA+ㄴ/ETM
일본인	일본인/NNG
관람객의	관람객/NNG+의/JKG
경우,	경우/NNG+,/SP
무료	무료/NNG
개방	개방/NNG
뒤에도	뒤/NNG+에/JKB+도/JX
8.3%나	8/SN+./SP+3/SN+%/SW+나/JX
