# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.10
metadata : {}


# id : NWRW1800000052.10.1.1
대우조선, 2조 손실 재무제표 미반영

대우조선,	대우조선/NNP+,/SP
2조	2/SN+조/NR
손실	손실/NNG
재무제표	재무제표/NNG
미반영	미/XPN+반영/NNG


# id : NWRW1800000052.10.2.1
‘적정’ 의견 딜로이트안진 ‘정정’ 요구

‘적정’	‘/SS+적정/NNG+’/SS
의견	의견/NNG
딜로이트안진	딜로이트안진/NNP
‘정정’	‘/SS+정정/NNG+’/SS
요구	요구/NNG


# id : NWRW1800000052.10.3.1
반영때 2013~14년 적자로 전환

반영때	반영/NNG+때/NNG
2013~14년	2013/SN+~/SO+14/SN+년/NNB
적자로	적자/NNG+로/JKB
전환	전환/NNG


# id : NWRW1800000052.10.4.1
대우조선 28일 정정공시 예정

대우조선	대우조선/NNP
28일	28/SN+일/NNB
정정공시	정정/NNG+공시/NNG
예정	예정/NNG


# id : NWRW1800000052.10.5.1
투자자 집단소송 등 후폭풍 우려

투자자	투자자/NNG
집단소송	집단/NNG+소송/NNG
등	등/NNB
후폭풍	후폭풍/NNG
우려	우려/NNG


# id : NWRW1800000052.10.6.1
분식회계 의혹을 받고 있는 대우조선해양이 2013~2014년 2년간 2조원 규모의 손실을 재무제표에 반영하지 않은 것으로 드러났다.

분식회계	분식/NNG+회계/NNG
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
대우조선해양이	대우조선해양/NNP+이/JKS
2013~2014년	2013/SN+~/SO+2014/SN+년/NNB
2년간	2/SN+년/NNB+간/XSN
2조원	2/SN+조/NR+원/NNB
규모의	규모/NNG+의/JKG
손실을	손실/NNG+을/JKO
재무제표에	재무제표/NNG+에/JKB
반영하지	반영/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.10.7.1
23일 회계업계에 따르면 대우조선해양 외부감사인인 딜로이트안진회계법인은 최근 감사 과정에서 지난해 추정 영업손실 5조5천억원 가운데 약 2조원을 2013년과 2014년의 재무제표에 반영했어야 한다고 결론을 내리고 대우조선에 최근 정정을 요구한 것으로 알려졌다.

23일	23/SN+일/NNB
회계업계에	회계/NNG+업계/NNG+에/JKB
따르면	따르/VV+면/EC
대우조선해양	대우조선해양/NNP
외부감사인인	외부/NNG+감사인/NNG+이/VCP+ㄴ/ETM
딜로이트안진회계법인은	딜로이트안진회계법인/NNP+은/JX
최근	최근/MAG
감사	감사/NNG
과정에서	과정/NNG+에서/JKB
지난해	지난해/NNG
추정	추정/NNG
영업손실	영업/NNG+손실/NNG
5조5천억원	5/SN+조/NR+5/SN+천억/NR+원/NNB
가운데	가운데/NNG
약	약/MMA
2조원을	2/SN+조/NR+원/NNB+을/JKO
2013년과	2013/SN+년/NNB+과/JC
2014년의	2014/SN+년/NNB+의/JKG
재무제표에	재무제표/NNG+에/JKB
반영했어야	반영/NNG+하/XSV+았/EP+어야/EC
한다고	하/VX+ㄴ다고/EC
결론을	결론/NNG+을/JKO
내리고	내리/VV+고/EC
대우조선에	대우조선/NNP+에/JKB
정정을	정정/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.10.8.1
안진 쪽은 대우조선의 2013년과 2014년 재무제표에 장기매출채권 충당금과 노르웨이 송가프로젝트 손실 등이 제대로 반영되지 않은 것으로 보고 있다.

안진	안진/NNP
쪽은	쪽/NNB+은/JX
대우조선의	대우조선/NNP+의/JKG
2013년과	2013/SN+년/NNB+과/JC
2014년	2014/SN+년/NNB
재무제표에	재무제표/NNG+에/JKB
장기매출채권	장기/NNG+매출/NNG+채권/NNG
충당금과	충당금/NNG+과/JC
노르웨이	노르웨이/NNP
송가프로젝트	송가/NNP+프로젝트/NNG
손실	손실/NNG
등이	등/NNB+이/JKS
제대로	제대로/MAG
반영되지	반영/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.10.8.2
대우조선은 2013년에 4242억원, 2014년에 4543억원의 영업이익을 냈다고 공시했으나 안진 쪽의 요구대로 누락 비용 등을 반영하면 2013년부터 적자인 것으로 실적이 바뀐다.

대우조선은	대우조선/NNP+은/JX
2013년에	2013/SN+년/NNB+에/JKB
4242억원,	4242/SN+억/NR+원/NNB+,/SP
2014년에	2014/SN+년/NNB+에/JKB
4543억원의	4543/SN+억/NR+원/NNB+의/JKG
영업이익을	영업/NNG+이익/NNG+을/JKO
냈다고	내/VV+었/EP+다고/EC
공시했으나	공시/NNG+하/XSV+았/EP+으나/EC
안진	안진/NNP
쪽의	쪽/NNB+의/JKG
요구대로	요구/NNG+대로/JX
누락	누락/NNG
비용	비용/NNG
등을	등/NNB+을/JKO
반영하면	반영/NNG+하/XSV+면/EC
2013년부터	2013/SN+년/NNB+부터/JX
적자인	적자/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
실적이	실적/NNG+이/JKS
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.10.9.1
대우조선은 “안진으로부터 수정 요구를 받은 게 맞다”며 “2013년과 2014년도 결산 당시 손실이나 실행예산으로 판단하지 않았던 부분이 지난해 대규모로 반영되었을 뿐 지난 3년간 총액 손실에서는 변화가 없다”고 말했다.

대우조선은	대우조선/NNP+은/JX
“안진으로부터	“/SS+안진/NNP+으로부터/JKB
수정	수정/NNG
요구를	요구/NNG+를/JKO
받은	받/VV+은/ETM
게	거/NNB+이/JKS
맞다”며	맞/VV+다/EF+”/SS+며/EC
“2013년과	“/SS+2013/SN+년/NNB+과/JC
2014년도	2014/SN+년도/NNB
결산	결산/NNG
당시	당시/NNG
손실이나	손실/NNG+이나/JC
실행예산으로	실행/NNG+예산/NNG+으로/JKB
판단하지	판단/NNG+하/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
부분이	부분/NNG+이/JKS
지난해	지난해/NNG
대규모로	대/XPN+규모/NNG+로/JKB
반영되었을	반영/NNG+되/XSV+었/EP+을/ETM
뿐	뿐/NNB
지난	지나/VV+ㄴ/ETM
3년간	3/SN+년/NNB+간/XSN
총액	총액/NNG
손실에서는	손실/NNG+에서/JKB+는/JX
변화가	변화/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.10.9.2
대우조선은 2015년의 일부 손실금액의 귀속연도를 2013년과 2014년에 반영해 전기손익을 수정한 뒤 오는 28일 공시할 예정이다.

대우조선은	대우조선/NNP+은/JX
2015년의	2015/SN+년/NNB+의/JKG
일부	일부/NNG
손실금액의	손실/NNG+금액/NNG+의/JKG
귀속연도를	귀속/NNG+연도/NNG+를/JKO
2013년과	2013/SN+년/NNB+과/JC
2014년에	2014/SN+년/NNB+에/JKB
반영해	반영/NNG+하/XSV+아/EC
전기손익을	전기/NNG+손익/NNG+을/JKO
수정한	수정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
오는	오/VV+는/ETM
28일	28/SN+일/NNB
공시할	공시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.10.10.1
업계에서는 회사와 담당 회계법인이 과거 재무제표 수치 오류를 인정하면서 상당한 후폭풍이 있을 것이란 전망이다.

업계에서는	업계/NNG+에서/JKB+는/JX
회사와	회사/NNG+와/JC
담당	담당/NNG
회계법인이	회계/NNG+법인/NNG+이/JKS
과거	과거/NNG
재무제표	재무제표/NNG
수치	수치/NNG
오류를	오류/NNG+를/JKO
인정하면서	인정/NNG+하/XSV+면서/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
후폭풍이	후폭풍/NNG+이/JKS
있을	있/VA+을/ETM
것이란	것/NNB+이/VCP+란/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.10.10.2
현재 검찰은 전임 경영진의 대규모 분식회계 의혹에 대해 수사 중이며, 금융당국에서도 올해 초 고의적인 분식 여부를 의심해 회사와 회계법인에 대한 회계감리에 착수한 상태다.

현재	현재/MAG
검찰은	검찰/NNG+은/JX
전임	전임/NNG
경영진의	경영진/NNG+의/JKG
대규모	대/XPN+규모/NNG
분식회계	분식/NNG+회계/NNG
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
수사	수사/NNG
중이며,	중/NNB+이/VCP+며/EC+,/SP
금융당국에서도	금융/NNG+당국/NNG+에서/JKB+도/JX
올해	올해/NNG
초	초/NNB
고의적인	고의/NNG+적/XSN+이/VCP+ㄴ/ETM
분식	분식/NNG
여부를	여부/NNG+를/JKO
의심해	의심/NNG+하/XSV+아/EC
회사와	회사/NNG+와/JC
회계법인에	회계/NNG+법인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
회계감리에	회계/NNG+감리/NNG+에/JKB
착수한	착수/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.10.10.3
이번 일을 놓고 업계에서는 회계법인이 오류를 범해 놓고 금융당국 감리에서 적발될 가능성이 제기되자 뒤늦게 스스로 이 사실을 밝힌 게 아니냐는 관측도 나온다.

이번	이번/NNG
일을	일/NNG+을/JKO
놓고	놓/VX+고/EC
업계에서는	업계/NNG+에서/JKB+는/JX
회계법인이	회계/NNG+법인/NNG+이/JKS
