# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.403
metadata : {}


# id : NWRW1800000032.403.1.1
지지층 막판 공략 ‘전화 대 SNS’

지지층	지지/NNG+층/XSN
막판	막판/NNG
공략	공략/NNG
‘전화	‘/SS+전화/NNG
대	대/NNB
SNS’	SNS/SL+’/SS


# id : NWRW1800000032.403.2.1
나쪽, 50대이상 보수층 집중

나쪽,	나/NNP+쪽/NNB+,/SP
50대이상	50/SN+대/NNB+이상/NNG
보수층	보수/NNG+층/XSN
집중	집중/NNG


# id : NWRW1800000032.403.3.1
박쪽, 40대이하 중도층 겨냥

박쪽,	박/NNP+쪽/NNB+,/SP
40대이하	40/SN+대/NNB+이하/NNG
중도층	중도/NNG+층/XSN
겨냥	겨냥/NNG


# id : NWRW1800000032.403.4.1
서울시장에 출마한 나경원 한나라당 후보와 박원순 야권 단일후보가 각각 ‘전화’와 ‘에스엔에스(SNS·소셜네트워크서비스)’를 통한 막판 홍보전에 나섰다.

서울시장에	서울시장/NNG+에/JKB
출마한	출마/NNG+하/XSV+ㄴ/ETM
나경원	나경원/NNP
한나라당	한나라당/NNP
후보와	후보/NNG+와/JC
박원순	박원순/NNP
야권	야권/NNG
단일후보가	단일/NNG+후보/NNG+가/JKS
각각	각각/MAG
‘전화’와	‘/SS+전화/NNG+’/SS+와/JC
‘에스엔에스(SNS·소셜네트워크서비스)’를	‘/SS+에스엔에스/NNG+(/SS+SNS/SL+·/SP+소셜/NNG+네트워크/NNG+서비스/NNG+)/SS+’/SS+를/JKO
통한	통하/VV+ㄴ/ETM
막판	막판/NNG
홍보전에	홍보전/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.403.4.2
각자의 지지층을 고려한 ‘맞춤형 투표율 올리기 전술’이다.

각자의	각자/NNG+의/JKG
지지층을	지지/NNG+층/XSN+을/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
‘맞춤형	‘/SS+맞춤/NNG+형/XSN
투표율	투표/NNG+율/XSN
올리기	올리/VV+기/ETN
전술’이다.	전술/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000032.403.5.1
20~40대의 투표율을 높이는 게 유리하다고 보는 박원순 후보 쪽은 에스엔에스를 최대한 활용해 투표 참여 독려운동을 벌이고 있다.

20~40대의	20/SN+~/SO+40/SN+대/NNB+의/JKG
투표율을	투표/NNG+율/XSN+을/JKO
높이는	높이/VV+는/ETM
게	거/NNB+이/JKS
유리하다고	유리/NNG+하/XSA+다고/EC
보는	보/VV+는/ETM
박원순	박원순/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
에스엔에스를	에스엔에스/NNG+를/JKO
최대한	최대한/MAG
활용해	활용/NNG+하/XSV+아/EC
투표	투표/NNG
참여	참여/NNG
독려운동을	독려/NNG+운동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.403.5.2
박 후보 쪽은 소설가 이외수씨, 배우 김여진씨 등 화려한 ‘멘토 군단’이 트위터와 일일브리핑에 활발히 나서고 있다.

박	박/NNP
후보	후보/NNG
쪽은	쪽/NNB+은/JX
소설가	소설가/NNG
이외수씨,	이외수/NNP+씨/NNB+,/SP
배우	배우/NNG
김여진씨	김여진/NNP+씨/NNB
등	등/NNB
화려한	화려하/VA+ㄴ/ETM
‘멘토	‘/SS+멘토/NNG
군단’이	군단/NNG+’/SS+이/JKS
트위터와	트위터/NNP+와/JKB
일일브리핑에	일일/NNG+브리핑/NNG+에/JKB
활발히	활발히/MAG
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.403.5.3
이외수씨는 24일 트위터에 “무식한 대학생들, 트윗질이나 하면서 청춘 낭비한다”는 보수언론사 논설위원의 글을 비판하며, “대학생들은 꼭 투표해서 무식하지 않다는 사실을 증명해 드리세요”라고 썼다.

이외수씨는	이외수/NNP+씨/NNB+는/JX
24일	24/SN+일/NNB
트위터에	트위터/NNP+에/JKB
“무식한	“/SS+무식/NNG+하/XSA+ㄴ/ETM
대학생들,	대학/NNG+생/XSN+들/XSN+,/SP
트윗질이나	트윗질/NNG+이나/JX
하면서	하/VV+면서/EC
청춘	청춘/NNG
낭비한다”는	낭비/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
보수언론사	보수/NNG+언론사/NNG
논설위원의	논설위원/NNG+의/JKG
글을	글/NNG+을/JKO
비판하며,	비판/NNG+하/XSV+며/EC+,/SP
“대학생들은	“/SS+대학/NNG+생/XSN+들/XSN+은/JX
꼭	꼭/MAG
투표해서	투표/NNG+하/XSV+아서/EC
무식하지	무식/NNG+하/XSA+지/EC
않다는	않/VX+다는/ETM
