# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.228
metadata : {}


# id : NWRW1800000021.228.1.1
[휴지통]‘피박’ 쓴 경찰

[휴지통]‘피박’	[/SS+휴지통/NNG+]/SS+‘/SS+피박/NNG+’/SS
쓴	쓰/VV+ㄴ/ETM
경찰	경찰/NNG


# id : NWRW1800000021.228.2.1
근무 시간에 모텔에서 도박을 하다 경찰 간부 등이 징계를 받는 등 일부 광주 경찰의 기강이 해이하다는 지적이 일고 있다.

근무	근무/NNG
시간에	시간/NNG+에/JKB
모텔에서	모텔/NNG+에서/JKB
도박을	도박/NNG+을/JKO
하다	하/VV+다/EC
경찰	경찰/NNG
간부	간부/NNG
등이	등/NNB+이/JKS
징계를	징계/NNG+를/JKO
받는	받/VV+는/ETM
등	등/NNB
일부	일부/NNG
광주	광주/NNP
경찰의	경찰/NNG+의/JKG
기강이	기강/NNG+이/JKS
해이하다는	해이/NNG+하/XSA+다는/ETM
지적이	지적/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.228.2.2
광주지방경찰청은 시내 모텔에서 도박을 하다 시민의 신고로 적발된 전 북부경찰서 소속 양모 경감(50)과 박모 경위(54)를 14일 감봉 처분했다고 밝혔다.

광주지방경찰청은	광주지방경찰청/NNP+은/JX
시내	시내/NNG
모텔에서	모텔/NNG+에서/JKB
도박을	도박/NNG+을/JKO
하다	하/VV+다/EC
시민의	시민/NNG+의/JKG
신고로	신고/NNG+로/JKB
적발된	적발/NNG+되/XSV+ㄴ/ETM
전	전/MMD
북부경찰서	북부/NNG+경찰서/NNG
소속	소속/NNG
양모	양/NNP+모/NP
경감(50)과	경감/NNG+(/SS+50/SN+)/SS+과/JC
박모	박/NNP+모/NP
경위(54)를	경위/NNG+(/SS+54/SN+)/SS+를/JKO
14일	14/SN+일/NNB
감봉	감봉/NNG
처분했다고	처분/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.228.2.3
이들과 함께 도박을 한 북부경찰서 김모 경위(52)와 김모 경사(41)는 견책 처분했다.

이들과	이/NP+들/XSN+과/JKB
함께	함께/MAG
도박을	도박/NNG+을/JKO
한	하/VV+ㄴ/ETM
북부경찰서	북부/NNG+경찰서/NNG
김모	김/NNP+모/NP
경위(52)와	경위/NNG+(/SS+52/SN+)/SS+와/JC
경사(41)는	경사/NNG+(/SS+41/SN+)/SS+는/JX
견책	견책/NNG
처분했다.	처분/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.228.3.1
