# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.208
metadata : {}


# id : NWRW1800000045.208.1.1
천경자 화백, 불꽃처럼 살다…‘슬픈 전설’로 남다

천경자	천경자/NNP
화백,	화백/NNG+,/SP
불꽃처럼	불꽃/NNG+처럼/JKB
살다…‘슬픈	살/VV+다/EF+…/SE+‘/SS+슬프/VA+ㄴ/ETM
전설’로	전설/NNG+’/SS+로/JKB
남다	남/VV+다/EF


# id : NWRW1800000045.208.2.1
8월 91세로 뉴욕서 타계

8월	8/SN+월/NNB
91세로	91/SN+세/NNB+로/JKB
뉴욕서	뉴욕/NNP+서/JKB
타계	타계/NNG


# id : NWRW1800000045.208.3.1
서울시립미술관 2층 전시실을 찾는 관람객은 관심을 둔 기획전 프로그램에 상관없이 동선(動線) 때문에 상설 ‘천경자실’을 꼭 거쳐야 한다.

서울시립미술관	서울시립미술관/NNP
2층	2/SN+층/NNG
전시실을	전시실/NNG+을/JKO
찾는	찾/VV+는/ETM
관람객은	관람객/NNG+은/JX
관심을	관심/NNG+을/JKO
둔	두/VV+ㄴ/ETM
기획전	기획전/NNG
프로그램에	프로그램/NNG+에/JKB
상관없이	상관없이/MAG
동선(動線)	동선/NNG+(/SS+動線/SH+)/SS
때문에	때문/NNB+에/JKB
상설	상설/NNG
‘천경자실’을	‘/SS+천경자실/NNG+’/SS+을/JKO
꼭	꼭/MAG
거쳐야	거치/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.208.3.2
천경자(본명 천옥자·사진) 화백이 8월 6일 91세로 별세했다는 소식이 뒤늦게 알려지면서 고희를 넘긴 뒤 한국을 등지고 떠난 그가 서울 복판에 남긴 이 ‘붙박이 필수 관람 코스’에 얽힌 사연에 관심이 쏠리고 있다.

천경자(본명	천경자/NNP+(/SS+본명/NNG
천옥자·사진)	천옥자/NNP+·/SP+사진/NNG+)/SS
화백이	화백/NNG+이/JKS
8월	8/SN+월/NNB
6일	6/SN+일/NNB
91세로	91/SN+세/NNB+로/JKB
별세했다는	별세/NNG+하/XSV+았/EP+다는/ETM
소식이	소식/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
알려지면서	알려지/VV+면서/EC
고희를	고희/NNG+를/JKO
넘긴	넘기/VV+ㄴ/ETM
뒤	뒤/NNG
한국을	한국/NNP+을/JKO
등지고	등지/VV+고/EC
떠난	떠나/VV+ㄴ/ETM
그가	그/NP+가/JKS
서울	서울/NNP
복판에	복판/NNG+에/JKB
남긴	남기/VV+ㄴ/ETM
이	이/MMD
‘붙박이	‘/SS+붙박이/NNG
필수	필수/NNG
관람	관람/NNG
코스’에	코스/NNG+’/SS+에/JKB
얽힌	얽히/VV+ㄴ/ETM
사연에	사연/NNG+에/JKB
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.208.4.1
1998년 미국 뉴욕으로 가 큰딸 이혜선 씨(70) 집에 머물던 고인은 2003년 뇌출혈로 쓰러진 것으로 전해졌다.

1998년	1998/SN+년/NNB
미국	미국/NNP
뉴욕으로	뉴욕/NNP+으로/JKB
가	가/VV+아/EC
큰딸	큰딸/NNG
이혜선	이혜선/NNP
씨(70)	씨/NNB+(/SS+70/SN+)/SS
집에	집/NNG+에/JKB
머물던	머물/VV+던/ETM
고인은	고인/NNG+은/JX
2003년	2003/SN+년/NNB
뇌출혈로	뇌출혈/NNG+로/JKB
쓰러진	쓰러지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.208.4.2
간간이 사망설이 돌았으나 가족이 외부와의 연락을 차단해 확인이 어려웠다.

간간이	간간이/MAG
사망설이	사망설/NNG+이/JKS
돌았으나	돌/VV+았/EP+으나/EC
가족이	가족/NNG+이/JKS
외부와의	외부/NNG+와/JKB+의/JKG
연락을	연락/NNG+을/JKO
차단해	차단/NNG+하/XSV+아/EC
확인이	확인/NNG+이/JKS
어려웠다.	어렵/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.208.4.3
뇌출혈 소식 직후 천 작가와 막역했던 고 권옥연 화백이 문병을 위해 뉴욕의 천 화백 큰딸 집을 찾아갔지만 면회를 거절당한 일도 있었다.

뇌출혈	뇌출혈/NNG
소식	소식/NNG
직후	직후/NNG
천	천/NNP
작가와	작가/NNG+와/JKB
막역했던	막역하/VA+았/EP+던/ETM
고	고/MMA
권옥연	권옥연/NNP
화백이	화백/NNG+이/JKS
문병을	문병/NNG+을/JKO
위해	위하/VV+아/EC
뉴욕의	뉴욕/NNP+의/JKG
화백	화백/NNG
큰딸	큰딸/NNG
집을	집/NNG+을/JKO
찾아갔지만	찾아가/VV+았/EP+지만/EC
면회를	면회/NNG+를/JKO
거절당한	거절/NNG+당하/XSV+ㄴ/ETM
일도	일/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.208.5.1
천 화백의 그림 93점과 저작권을 기증받아 관리 중인 서울시립미술관 측은 22일 “이 씨가 8월 모친 유골함을 들고 미술관 수장고를 다녀갔다.

천	천/NNP
화백의	화백/NNG+의/JKG
그림	그림/NNG
93점과	93/SN+점/NNB+과/JC
저작권을	저작/NNG+권/XSN+을/JKO
기증받아	기증/NNG+받/XSV+아/EC
관리	관리/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울시립미술관	서울시립미술관/NNP
측은	측/NNB+은/JX
22일	22/SN+일/NNB
“이	“/SS+이/NNP
씨가	씨/NNB+가/JKS
8월	8/SN+월/NNB
모친	모친/NNG
유골함을	유골함/NNG+을/JKO
들고	들/VV+고/EC
미술관	미술관/NNG
수장고를	수장고/NNG+를/JKO
다녀갔다.	다녀가/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.208.5.2
사망 사실을 외부에 알리지 말아 달라고 요청했다”고 밝혔다.

사망	사망/NNG
사실을	사실/NNG+을/JKO
외부에	외부/NNG+에/JKB
알리지	알리/VV+지/EC
말아	말/VX+아/EC
달라고	달/VX+라고/EC
요청했다”고	요청/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.208.6.1
활달한 성품으로 김환기 고은 박경리 등 문화예술인들과 폭넓게 교류하고 언론 인터뷰에도 적극적이던 천 화백이 한국 예술계로부터 멀어지기 시작한 건 1991년 국립현대미술관과의 ‘미인도’ 위작 분쟁 이후다.

활달한	활달하/VA+ㄴ/ETM
성품으로	성품/NNG+으로/JKB
김환기	김환기/NNP
고은	고은/NNP
박경리	박경리/NNP
등	등/NNB
문화예술인들과	문화/NNG+예술인/NNG+들/XSN+과/JKB
폭넓게	폭넓/VA+게/EC
교류하고	교류/NNG+하/XSV+고/EC
언론	언론/NNG
인터뷰에도	인터뷰/NNG+에/JKB+도/JX
적극적이던	적극/NNG+적/XSN+이/VCP+던/ETM
천	천/NNP
화백이	화백/NNG+이/JKS
한국	한국/NNP
예술계로부터	예술/NNG+계/XSN+로부터/JKB
멀어지기	멀/VA+어/EC+지/VX+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
1991년	1991/SN+년/NNB
국립현대미술관과의	국립현대미술관/NNP+과/JKB+의/JKG
‘미인도’	‘/SS+미인도/NNG+’/SS
위작	위작/NNG
분쟁	분쟁/NNG
이후다.	이후/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.208.6.2
1979년 10·26사태 후 김재규 당시 중앙정보부장 집에서 압류돼 국립현대미술관이 소장하던 이 작품이 전시에 나오자 천 화백은 “내가 그린 게 아니다”라고 주장했다.

1979년	1979/SN+년/NNB
10·26사태	10/SN+·/SP+26/SN+사태/NNG
후	후/NNG
김재규	김재규/NNP
당시	당시/NNG
중앙정보부장	중앙정보부장/NNG
집에서	집/NNG+에서/JKB
압류돼	압류/NNG+되/XSV+어/EC
국립현대미술관이	국립현대미술관/NNP+이/JKS
소장하던	소장/NNG+하/XSV+던/ETM
이	이/MMD
작품이	작품/NNG+이/JKS
전시에	전시/NNG+에/JKB
나오자	나오/VV+자/EC
천	천/NNP
화백은	화백/NNG+은/JX
“내가	“/SS+내/NP+가/JKS
그린	그리/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.208.6.3
이에 대해 미술관 측도 “3차례 감정 결과 진품으로 확인했다”고 반박했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
미술관	미술관/NNG
측도	측/NNB+도/JX
“3차례	“/SS+3/SN+차례/NNG
감정	감정/NNG
결과	결과/NNG
진품으로	진품/NNG+으로/JKB
확인했다”고	확인/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.208.6.4
장엽 국립현대미술관 학예연구2실장은 동아일보와의 통화에서 “여전히 이 그림을 소장하고 있지만 지난해 이혜선 씨의 요청으로 인터넷 홈페이지 소장품 목록에서 삭제했다.

장엽	장엽/NNP
국립현대미술관	국립현대미술관/NNP
학예연구2실장은	학예/NNG+연구/NNG+2/SN+실장/NNG+은/JX
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“여전히	“/SS+여전히/MAG
이	이/MMD
그림을	그림/NNG+을/JKO
소장하고	소장/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
지난해	지난해/NNG
이혜선	이혜선/NNP
씨의	씨/NNB+의/JKG
요청으로	요청/NNG+으로/JKB
인터넷	인터넷/NNG
홈페이지	홈페이지/NNG
소장품	소장품/NNG
목록에서	목록/NNG+에서/JKB
삭제했다.	삭제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.208.6.5
위작 논란에 대한 미술관 견해가 바뀐 것은 아니다”라고 했다.

위작	위작/NNG
논란에	논란/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
미술관	미술관/NNG
견해가	견해/NNG+가/JKS
바뀐	바뀌/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.208.7.1
