# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.181
metadata : {}


# id : NWRW1800000053.181.1.1
“석달 뒤 첫 손주 본다며 손꼽아 기다리시더니…”

“석달	“/SS+석/MMN+달/NNB
뒤	뒤/NNG
첫	첫/MMN
손주	손주/NNG
본다며	보/VV+ㄴ다며/EC
손꼽아	손꼽/VV+아/EC
기다리시더니…”	기다리/VV+시/EP+더니/EC+…/SE+”/SS


# id : NWRW1800000053.181.2.1
‘고속道 참변 50대 부부’ 외아들 눈물

‘고속道	‘/SS+고속/NNG+道/SH
참변	참변/NNG
50대	50/SN+대/NNB
부부’	부부/NNG+’/SS
외아들	외아들/NNG
눈물	눈물/NNG


# id : NWRW1800000053.181.3.1
“석 달만 있으면 첫 손주 본다고 기뻐하셨는데….”

“석	“/SS+석/MMN
달만	달/NNG+만/JX
있으면	있/VV+으면/EC
첫	첫/MMN
손주	손주/NNG
본다고	보/VV+ㄴ다고/EC
기뻐하셨는데….”	기쁘/VA+어/EC+하/VX+시/EP+었/EP+는데/EC+…/SE+./SF+”/SS


# id : NWRW1800000053.181.4.1
10일 서울 동대문구 경희의료원 장례식장.

10일	10/SN+일/NNB
서울	서울/NNP
동대문구	동대문구/NNP
경희의료원	경희의료원/NNP
장례식장.	장례식장/NNG+./SF


# id : NWRW1800000053.181.4.2
전날 오후 경부고속도로 상행선에서 발생한 광역급행버스(M버스) 7중 추돌사고로 숨진 신모(58) 설모 씨(56·여) 부부의 빈소에서 만난 신 씨의 조카는 더 이상 말을 잇지 못한 채 고개를 숙였다.

전날	전날/NNG
오후	오후/NNG
경부고속도로	경부고속도로/NNP
상행선에서	상행선/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
광역급행버스(M버스)	광역/NNG+급행/NNG+버스/NNG+(/SS+M/SL+버스/NNG+)/SS
7중	7/SN+중/NNB
추돌사고로	추돌/NNG+사고/NNG+로/JKB
숨진	숨지/VV+ㄴ/ETM
신모(58)	신/NNP+모/NP+(/SS+58/SN+)/SS
설모	설/NNP+모/NP
씨(56·여)	씨/NNB+(/SS+56/SN+·/SP+여/NNG+)/SS
부부의	부부/NNG+의/JKG
빈소에서	빈소/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
신	신/NNP
씨의	씨/NNB+의/JKG
조카는	조카/NNG+는/JX
더	더/MAG
이상	이상/NNG
말을	말/NNG+을/JKO
잇지	잇/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
고개를	고개/NNG+를/JKO
숙였다.	숙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.181.4.3
날벼락 같은 사고로 하루아침에 부모를 잃은 30대 아들은 입관식을 마친 뒤 하염없이 눈물만 흘렸다.

날벼락	날/XPN+벼락/NNG
같은	같/VA+은/ETM
사고로	사고/NNG+로/JKB
하루아침에	하루아침/NNG+에/JKB
부모를	부모/NNG+를/JKO
잃은	잃/VV+은/ETM
30대	30/SN+대/NNB
아들은	아들/NNG+은/JX
입관식을	입관식/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
하염없이	하염없이/MAG
눈물만	눈물/NNG+만/JX
흘렸다.	흘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.181.5.1
신 씨 부부는 10대 시절 봉제 일을 하면서 만나 결혼했다.

신	신/NNP
씨	씨/NNB
부부는	부부/NNG+는/JX
10대	10/SN+대/NNB
시절	시절/NNG
봉제	봉제/NNG
일을	일/NNG+을/JKO
하면서	하/VV+면서/EC
만나	만나/VV+아/EC
결혼했다.	결혼/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.181.5.2
가정 형편은 넉넉지 않았지만 부부는 집과 일터에서 한시도 떨어지지 않을 정도로 금실이 좋았다고 한다.

가정	가정/NNG
형편은	형편/NNG+은/JX
넉넉지	넉넉하/VA+지/EC
않았지만	않/VX+았/EP+지만/EC
부부는	부부/NNG+는/JX
집과	집/NNG+과/JC
일터에서	일터/NNG+에서/JKB
한시도	한시/NNG+도/JX
떨어지지	떨어지/VV+지/EC
않을	않/VX+을/ETM
정도로	정도/NNG+로/JKB
금실이	금실/NNG+이/JKS
좋았다고	좋/VA+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.181.5.3
최근 남편은 신장병이 발병해 정기적으로 투석을 받아야 하는 상황이었다.

최근	최근/NNG
남편은	남편/NNG+은/JX
신장병이	신장병/NNG+이/JKS
발병해	발병/NNG+하/XSV+아/EC
정기적으로	정기/NNG+적/XSN+으로/JKB
투석을	투석/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.181.6.1
하지만 신 씨는 손에서 일을 놓지 않았다.

하지만	하지만/MAJ
신	신/NNP
씨는	씨/NNB+는/JX
손에서	손/NNG+에서/JKB
일을	일/NNG+을/JKO
놓지	놓/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.181.6.2
부부가 서울 동대문구 용두동에 있는 작은 봉제공장에서 20년 넘게 함께 일하며 느끼는 소소한 행복을 잃고 싶지 않았기 때문이다.

부부가	부부/NNG+가/JKS
서울	서울/NNP
동대문구	동대문구/NNP
용두동에	용두동/NNP+에/JKB
있는	있/VA+는/ETM
작은	작/VA+은/ETM
봉제공장에서	봉제/NNG+공장/NNG+에서/JKB
20년	20/SN+년/NNB
넘게	넘/VV+게/EC
함께	함께/MAG
일하며	일/NNG+하/XSV+며/EC
느끼는	느끼/VV+는/ETM
소소한	소소하/VA+ㄴ/ETM
행복을	행복/NNG+을/JKO
잃고	잃/VV+고/EC
싶지	싶/VX+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.181.6.3
부인 설 씨가 재봉틀로 옷감을 박음질해 넘기면 신 씨가 가위질과 다리미질을 해 수선 작업을 마무리하곤 했다.

부인	부인/NNG
설	설/NNP
씨가	씨/NNB+가/JKS
재봉틀로	재봉틀/NNG+로/JKB
옷감을	옷감/NNG+을/JKO
박음질해	박음질/NNG+하/XSV+아/EC
넘기면	넘기/VV+면/EC
신	신/NNP
가위질과	가위/NNG+질/XSN+과/JC
다리미질을	다리미/NNG+질/XSN+을/JKO
해	하/VV+아/EC
수선	수선/NNG
작업을	작업/NNG+을/JKO
마무리하곤	마무리/NNG+하/XSV+곤/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.181.6.4
공장을 운영하다 직원 인건비를 주지 못하는 등 여러 차례 위기가 있었지만 부부는 함께 극복했다.

공장을	공장/NNG+을/JKO
운영하다	운영/NNG+하/XSV+다/EF
직원	직원/NNG
인건비를	인건비/NNG+를/JKO
주지	주/VV+지/EC
못하는	못하/VX+는/ETM
등	등/NNB
여러	여러/MMN
차례	차례/NNG
위기가	위기/NNG+가/JKS
