# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.180
metadata : {}


# id : NWRW1800000049.180.1.1
[단독]“‘가습기 살균제’ 옥시, 인체유해 여부 독성실험 안해”

[단독]“‘가습기	[/SS+단독/NNG+]/SS+“/SS+‘/SS+가습기/NNG
살균제’	살균제/NNG+’/SS
옥시,	옥시/NNP+,/SP
인체유해	인체/NNG+유해/NNG
여부	여부/NNG
독성실험	독성/NNG+실험/NNG
안해”	안/MAG+하/VV+아/EF+”/SS


# id : NWRW1800000049.180.2.1
檢 “회사 매각 과정서 흐지부지”… 회사측 “안전성 실험 끝난걸로 알아” 피해자 모임, 이마트 추가 고발

檢	檢/SH
“회사	“/SS+회사/NNG
매각	매각/NNG
과정서	과정/NNG+서/JKB
흐지부지”…	흐지부지/MAG+”/SS+…/SE
회사측	회사/NNG+측/NNB
“안전성	“/SS+안전/NNG+성/XSN
실험	실험/NNG
끝난걸로	끝나/VV+ㄴ/ETM+거/NNB+ㄹ로/JKB
알아”	알/VV+아/EF+”/SS
피해자	피해자/NNG
모임,	모임/NNG+,/SP
이마트	이마트/NNP
추가	추가/NNG
고발	고발/NNG


# id : NWRW1800000049.180.3.1
2011년 임산부와 영유아 143명이 원인을 알 수 없는 폐 손상으로 숨진 ‘가습기 살균제 사망 사건’을 수사 중인 서울중앙지검 특별수사팀(팀장 이철희 형사2부장)은 가습기 살균제 제조사인 옥시레킷벤키저가 2001년 원료 성분을 PHMG(폴리헥사메틸렌구아니딘)로 변경하면서 동물을 대상으로 실시할 예정이던 ‘흡입독성’ 실험을 하지 않은 단서를 포착한 것으로 14일 확인됐다.

2011년	2011/SN+년/NNB
임산부와	임산부/NNG+와/JC
영유아	영유아/NNG
143명이	143/SN+명/NNB+이/JKS
원인을	원인/NNG+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
폐	폐/NNG
손상으로	손상/NNG+으로/JKB
숨진	숨지/VV+ㄴ/ETM
‘가습기	‘/SS+가습기/NNG
살균제	살균제/NNG
사망	사망/NNG
사건’을	사건/NNG+’/SS+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울중앙지검	서울중앙지검/NNP
특별수사팀(팀장	특별/NNG+수사/NNG+팀/NNG+(/SS+팀장/NNG
이철희	이철희/NNP
형사2부장)은	형사/NNG+2/SN+부장/NNG+)/SS+은/JX
가습기	가습기/NNG
제조사인	제조사/NNG+이/VCP+ㄴ/ETM
옥시레킷벤키저가	옥시레킷벤키저/NNP+가/JKS
2001년	2001/SN+년/NNB
원료	원료/NNG
성분을	성분/NNG+을/JKO
PHMG(폴리헥사메틸렌구아니딘)로	PHMG/SL+(/SS+폴리헥사메틸렌구아니딘/NNG+)/SS+로/JKB
변경하면서	변경/NNG+하/XSV+면서/EC
동물을	동물/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
실시할	실시/NNG+하/XSV+ㄹ/ETM
예정이던	예정/NNG+이/VCP+던/ETM
‘흡입독성’	‘/SS+흡입/NNG+독성/NNG+’/SS
실험을	실험/NNG+을/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
단서를	단서/NNG+를/JKO
포착한	포착/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
14일	14/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.180.4.1
흡입독성 실험은 호흡할 때 몸 안으로 들어간 가루나 가스가 인체에 얼마나 유해한지 확인하는 작업이다.

흡입독성	흡입/NNG+독성/NNG
실험은	실험/NNG+은/JX
호흡할	호흡/NNG+하/XSV+ㄹ/ETM
때	때/NNG
몸	몸/NNG
안으로	안/NNG+으로/JKB
들어간	들어가/VV+ㄴ/ETM
가루나	가루/NNG+나/JC
가스가	가스/NNG+가/JKS
인체에	인체/NNG+에/JKB
얼마나	얼마나/MAG
유해한지	유해/NNG+하/XSA+ㄴ지/EC
확인하는	확인/NNG+하/XSV+는/ETM
작업이다.	작업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.180.4.2
검찰은 제조사 내부에서 독성 실험을 검토했다가 흐지부지된 배경과 2001년 제품 출시 당시 연구진 및 경영진의 의사결정 과정을 면밀히 들여다보고 있다.

