# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.310
metadata : {}


# id : NWRW1800000024.310.1.1
‘키코 효력정지 신청’ 첫 항고심서 기각

‘키코	‘/SS+키코/NNG
효력정지	효력/NNG+정지/NNG
신청’	신청/NNG+’/SS
첫	첫/MMN
항고심서	항고심/NNG+서/JKB
기각	기각/NNG


# id : NWRW1800000024.310.2.1
서울고법에 계류된 키코 상품 관련 가처분사건의 첫 결정에서 ‘수출기업이라면 환율 변동에 따른 상품 가입의 위험성이 예견 가능했을 것’이라며 은행의 책임을 인정하지 않는 판단이 나왔다.

서울고법에	서울고법/NNP+에/JKB
계류된	계류/NNG+되/XSV+ㄴ/ETM
키코	키코/NNG
상품	상품/NNG
관련	관련/NNG
가처분사건의	가/XPN+처분/NNG+사건/NNG+의/JKG
첫	첫/MMN
결정에서	결정/NNG+에서/JKB
‘수출기업이라면	‘/SS+수출/NNG+기업/NNG+이/VCP+라면/EC
환율	환율/NNG
변동에	변동/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
가입의	가입/NNG+의/JKG
위험성이	위험/NNG+성/XSN+이/JKS
예견	예견/NNG
가능했을	가능/NNG+하/XSA+았/EP+을/ETM
것’이라며	것/NNB+’/SS+이/VCP+라며/EC
은행의	은행/NNG+의/JKG
책임을	책임/NNG+을/JKO
인정하지	인정/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
판단이	판단/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.310.2.2
설명 의무 위반이라는 쟁점에 대해 은행 쪽에 상대적으로 관대한 기준을 적용한 이번 결정은 1·2심 법원이 심리중인 다른 사건들에 영향을 끼칠 것으로 보인다.

설명	설명/NNG
의무	의무/NNG
위반이라는	위반/NNG+이/VCP+라는/ETM
쟁점에	쟁점/NNG+에/JKB
대해	대하/VV+아/EC
은행	은행/NNG
쪽에	쪽/NNB+에/JKB
상대적으로	상대/NNG+적/XSN+으로/JKB
관대한	관대하/VA+ㄴ/ETM
기준을	기준/NNG+을/JKO
적용한	적용/NNG+하/XSV+ㄴ/ETM
이번	이번/NNG
결정은	결정/NNG+은/JX
1·2심	1/SN+·/SP+2심/NNG
법원이	법원/NNG+이/JKS
심리중인	심리/NNG+중/NNB+이/VCP+ㄴ/ETM
다른	다른/MMD
사건들에	사건/NNG+들/XSN+에/JKB
영향을	영향/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.310.3.1
