# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.340
metadata : {}


# id : NWRW1800000049.340.1.1
靑 “여기서 밀리면 레임덕” 정면돌파

靑	靑/SH
“여기서	“/SS+여기/NP+서/JKB
밀리면	밀리/VV+면/EC
레임덕”	레임덕/NNG+”/SS
정면돌파	정면/NNG+돌파/NNG


# id : NWRW1800000049.340.2.1
우병우 사퇴거부, 대통령 의중 담긴듯

우병우	우병우/NNP
사퇴거부,	사퇴/NNG+거부/NNG+,/SP
대통령	대통령/NNG
의중	의중/NNG
담긴듯	담기/VV+ㄴ/ETM+듯/NNB


# id : NWRW1800000049.340.3.1
우병우 대통령민정수석비서관 관련 의혹이 꼬리를 물고 있지만 박근혜 대통령은 20일 사흘째 침묵을 지키고 있다.

우병우	우병우/NNP
대통령민정수석비서관	대통령/NNG+민정/NNG+수석/NNG+비서관/NNG
관련	관련/NNG
의혹이	의혹/NNG+이/JKS
꼬리를	꼬리/NNG+를/JKO
물고	물/VV+고/EC
있지만	있/VX+지만/EC
박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
20일	20/SN+일/NNB
사흘째	사흘/NNG+째/XSN
침묵을	침묵/NNG+을/JKO
지키고	지키/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.340.3.2
몽골을 방문했다가 18일 귀국한 박 대통령은 공식 일정을 잡지 않은 채 국정을 챙기며 사태를 예의주시하고 있는 것으로 전해졌다.

몽골을	몽골/NNP+을/JKO
방문했다가	방문/NNG+하/XSV+았/EP+다가/EC
18일	18/SN+일/NNB
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
박	박/NNP
대통령은	대통령/NNG+은/JX
공식	공식/NNG
일정을	일정/NNG+을/JKO
잡지	잡/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
국정을	국정/NNG+을/JKO
챙기며	챙기/VV+며/EC
사태를	사태/NNG+를/JKO
예의주시하고	예의/NNG+주시/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.340.4.1
다만 박 대통령은 ‘정면 돌파’ 방침을 갖고 있는 것으로 알려졌다.

다만	다만/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
‘정면	‘/SS+정면/NNG
돌파’	돌파/NNG+’/SS
방침을	방침/NNG+을/JKO
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.340.4.2
언론 접촉을 하지 않아온 우 수석이 직접 나서 사퇴 거부 의사를 밝힌 것도 박 대통령의 의중이 담긴 것이라는 분석이 나온다.

언론	언론/NNG
접촉을	접촉/NNG+을/JKO
하지	하/VV+지/EC
않아온	않/VX+아/EC+오/VX+ㄴ/ETM
우	우/NNP
수석이	수석/NNG+이/JKS
직접	직접/MAG
나서	나서/VV+어/EC
사퇴	사퇴/NNG
거부	거부/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
것도	것/NNB+도/JX
박	박/NNP
대통령의	대통령/NNG+의/JKG
의중이	의중/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.340.4.3
이는 여기서 물러서면 레임덕(권력 누수)이 가속화될 수 있다는 우려 때문으로 보인다.

이는	이/NP+는/JX
여기서	여기/NP+서/JKB
물러서면	물러서/VV+면/EC
레임덕(권력	레임덕/NNG+(/SS+권력/NNG
누수)이	누수/NNG+)/SS+이/JKS
가속화될	가속/NNG+화/XSN+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려	우려/NNG
